"Discipline","Faculty","1984-85","1990-91","1992-93","1993-94","1995-96","1996-97","1997-98","1998-99*","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06"
"Science & Technology Disciplines (A)","Science",2922.0,2950.0,3386.0,3467.0,3861.0,3498.0,3894.0,3836.0,3885.0,3727.0,3955.0,4497.0,5612.0,5549.0,5625.0
"Science & Technology Disciplines (A)","Engineering/Technology",509.0,629.0,323.0,329.0,374.0,298.0,744.0,696.0,723.0,778.0,734.0,779.0,882.0,968.0,1058.0
"Science & Technology Disciplines (A)","Medicine",70.0,140.0,116.0,145.0,135.0,133.0,200.0,190.0,228.0,221.0,219.0,243.0,317.0,456.0,438.0
"Science & Technology Disciplines (A)","Agriculture",576.0,715.0,611.0,769.0,780.0,968.0,849.0,785.0,787.0,889.0,838.0,1042.0,1026.0,888.0,1119.0
"Science & Technology Disciplines (A)","Veterinary Science",102.0,145.0,112.0,114.0,138.0,152.0,122.0,101.0,146.0,110.0,110.0,153.0,116.0,132.0,180.0
"Science & Technology Disciplines Total (A)","Total (A)",4179.0,4579.0,4548.0,4824.0,5288.0,5049.0,5809.0,5608.0,5769.0,5725.0,5856.0,6714.0,7953.0,7993.0,8420.0
"Other Disciplines (B)","Arts",2754.0,3210.0,3621.0,4039.0,3957.0,4245.0,4058.0,4189.0,4280.0,4398.0,4524.0,5034.0,7473.0,7532.0,7605.0
"Other Disciplines (B)","Commerce",185.0,290.0,453.0,515.0,612.0,502.0,541.0,541.0,571.0,621.0,728.0,857.0,1096.0,1010.0,1115.0
"Other Disciplines (B)","Education",239.0,188.0,247.0,308.0,295.0,295.0,342.0,310.0,364.0,399.0,420.0,554.0,613.0,491.0,599.0
"Other Disciplines (B)","Law",25.0,51.0,72.0,73.0,75.0,65.0,67.0,75.0,74.0,105.0,110.0,138.0,144.0,179.0,182.0
"Other Disciplines (B)","Others*",56.0,65.0,129.0,164.0,170.0,252.0,249.0,228.0,238.0,296.0,336.0,436.0,574.0,693.0,809.0
"Other Disciplines Total (B)","Total (B)",3259.0,3804.0,4522.0,5099.0,5109.0,5359.0,5257.0,5343.0,5527.0,5819.0,6118.0,7019.0,9900.0,9905.0,10310.0
"Grand Total (A+B)","Grand Total (A+B)",7438.0,8383.0,9070.0,9923.0,10397.0,10408.0,11066.0,10951.0,11296.0,11544.0,11974.0,13733.0,17853.0,17898.0,18730.0
