"GROUP","PRODUCT","2006-2007 QTY","2006-2007 VAL","2007-2008 QTY","2007-2008 VAL","2008-2009 QTY","2008-2009 VAL","2009-2010 QTY","2009-2010 VAL","2010-2011 QTY","2010-2011 VAL","2011-2012 QTY","2011-2012 VAL"
"SYNTHETIC FIBRES","ACRYLIC FIBRE",11958.0,12210.0,9427.0,9611.0,14015.0,15659.0,14568.0,16723.0,23611.0,33365.0,20200.0,27538.0
"SYNTHETIC FIBRES","NYLON FILAMENT YARN",10144.0,15650.0,3974.0,5674.0,4840.0,7221.0,3190.0,5612.0,3746.0,6594.0,2910.0,5877.0
"SYNTHETIC FIBRES","NYLON INDUSTRIAL YARN/TYRE CORD",14402.0,21060.0,7659.0,11903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SYNTHETIC FIBRES","POLYESTER FILAMENT YARN",103148.0,70560.0,100088.0,65910.0,83075.0,63013.0,40491.0,34852.0,30335.0,30166.0,40246.0,46539.0
"SYNTHETIC FIBRES","POLYESTER STAPLE FIBRE",14213.0,9266.0,16119.0,10654.0,16483.0,11412.0,14417.0,10040.0,31549.0,23070.0,44677.0,36811.0
"SYNTHETIC FIBRES","POLYPROPYLENE FILAMENT YARN",3197.0,2977.0,2500.0,2516.0,1711.0,1704.0,1214.0,1283.0,1489.0,1827.0,1899.0,2396.0
"SYNTHETIC FIBRES","POLYPROPYLENE STAPLE FIBRE",320.0,352.0,272.0,290.0,103.0,128.0,150.0,162.0,122.0,158.0,179.0,217.0
"FIBRE INTERMEDIATES","ACRYLONITRILE",83816.0,59227.0,81832.0,61838.0,81568.0,57315.0,64693.0,42104.0,72618.0,73592.0,77357.0,77714.0
"FIBRE INTERMEDIATES","CAPROLACTUM",7060.0,7104.0,24903.0,24396.0,16981.0,19745.0,11292.0,8933.0,6334.0,8158.0,5381.0,9121.0
"FIBRE INTERMEDIATES","DIMETHYL TEREPHTHALATE",11076.0,5082.0,4060.0,1855.0,4088.0,2760.0,4171.0,1906.0,4428.0,2554.0,2815.0,2021.0
"FIBRE INTERMEDIATES","MONO EHYLENE GLYCOL",162603.0,65133.0,254734.0,117025.0,424427.0,145042.0,682182.0,225455.0,771189.0,318756.0,634589.0,356418.0
"FIBRE INTERMEDIATES","PURIFIED TEREPHTHALIC ACID",174224.0,70693.0,61725.0,21724.0,181488.0,76987.0,474488.0,206149.0,744370.0,374660.0,594914.0,355686.0
"POLYMERS","LOW DENSITY POLYETHYLENE",65905.0,42045.0,82025.0,46454.0,88875.0,55719.0,161628.0,98082.0,196418.0,129714.0,197507.0,143289.0
"POLYMERS","HIGH DENSITY POLYTHYLENE",138792.0,83131.0,255190.0,150540.0,274868.0,176619.0,468120.0,279273.0,514445.0,306105.0,422712.0,298381.0
"POLYMERS","POLYESTYRENE",20570.0,11847.0,21046.0,12218.0,14699.0,11796.0,18221.0,17790.0,29461.0,26062.0,29218.0,30824.0
"POLYMERS","POLYPROPYLENE (INC. CO-POLYMER)",129812.0,76283.0,211695.0,122776.0,285074.0,162450.0,425307.0,256504.0,425286.0,285760.0,398100.0,317819.0
"POLYMERS","EXPANDABLE POLYESTYRENE",2912.0,2093.0,8947.0,6097.0,4703.0,3585.0,5369.0,3595.0,7454.0,5257.0,5722.0,4740.0
"POLYMERS","POLY VINYL CHLORIDE",223531.0,87969.0,355702.0,143614.0,338650.0,152028.0,629102.0,270822.0,671309.0,329720.0,851336.0,443759.0
"POLYMERS","LINEAR LOW DENSITY POLYTHYLENE",129746.0,80067.0,170471.0,102261.0,223250.0,146465.0,378338.0,228495.0,584888.0,374061.0,464211.0,316607.0
"SYNTHETIC RUBBER (ELASTOMERS)","STYRENE BUTADIENE RUBBER",100510.0,69604.0,112794.0,80051.0,98297.0,96105.0,144393.0,103912.0,190300.0,186607.0,212549.0,329092.0
"SYNTHETIC RUBBER (ELASTOMERS)","POLY BUTADIENE RUBBER",23863.0,19292.0,28245.0,21872.0,23312.0,27877.0,50385.0,39186.0,49000.0,62256.0,65935.0,111555.0
"SYNTHETIC RUBBER (ELASTOMERS)","ETHYL PROPYLENE DIMERS",13406.0,14063.0,17539.0,17048.0,15837.0,18996.0,21187.0,23819.0,28391.0,37231.0,29231.0,54698.0
"SYNTHETIC RUBBER (ELASTOMERS)","ETHYL VINYL ACETATE",87213.0,50857.0,117775.0,71162.0,89773.0,76757.0,77807.0,67380.0,90773.0,87925.0,83186.0,92285.0
"SYNTHETIC RUBBER (ELASTOMERS)","NITRILE BUTADIENE RUBBER",14095.0,13161.0,13270.0,12428.0,9924.0,14113.0,14916.0,14811.0,16887.0,23822.0,19615.0,34667.0
"SYNTHETIC RUBBER (ELASTOMERS)","BUTYL RUBBER",46901.0,58216.0,52007.0,70335.0,53287.0,109561.0,67196.0,103602.0,70891.0,142952.0,82117.0,172550.0
"SYNTHETIC DETERGENT INTERMEDIATES","LINEAR ALKYL BENZENE",26325.0,12503.0,48753.0,23255.0,76115.0,46829.0,91248.0,55862.0,78759.0,60557.0,106813.0,96564.0
"SYNTHETIC DETERGENT INTERMEDIATES","ETHYLENE OXIDE",169.0,229.0,298.0,288.0,242.0,514.0,86.0,267.0,100.0,217.0,39.0,268.0
"PERFORMANCE PLASTICS","ABS RESIN",12383.0,10858.0,13365.0,11550.0,21073.0,19409.0,30368.0,26744.0,46224.0,50870.0,45470.0,53929.0
"PERFORMANCE PLASTICS","NYLON-6",23061.0,32751.0,31035.0,41317.0,34919.0,50607.0,44865.0,60807.0,60739.0,93809.0,74662.0,135583.0
"PERFORMANCE PLASTICS","POLYMETHYL METHACRYLATE",5590.0,5367.0,6244.0,5847.0,5022.0,5741.0,6636.0,7089.0,17230.0,11664.0,11707.0,16220.0
"PERFORMANCE PLASTICS","STYRENE ACRYLONITRILE",4315.0,3019.0,6195.0,4318.0,6061.0,3377.0,2899.0,2088.0,4910.0,4507.0,4480.0,4494.0
"OLEFINS","BUTADIENE",249.0,244.0,4512.0,1522.0,3776.0,1443.0,15.0,39.0,3077.0,1761.0,5035.0,4539.0
"OLEFINS","ETHYLENE",16243.0,10203.0,14079.0,6982.0,19881.0,9163.0,34549.0,16505.0,114550.0,51549.0,14667.0,8223.0
"OLEFINS","PROPYLENE",78.0,157.0,121.0,228.0,69.0,274.0,44.0,278.0,164.0,357.0,153.0,609.0
"AROMATICS","BENZENE",6053.0,2749.0,20342.0,9675.0,51859.0,15208.0,123011.0,46067.0,48410.0,22786.0,43465.0,23677.0
"AROMATICS","MIXED XYLENE",17.0,50.0,0.0,1.0,1.0,1.0,2802.0,1149.0,11.0,21.0,24.0,75.0
"AROMATICS","ORTHO-XYLENE",33667.0,16172.0,109947.0,49924.0,87240.0,44327.0,44246.0,19829.0,39866.0,20455.0,35499.0,23839.0
"AROMATICS","TOLUENE",129118.0,53632.0,142896.0,53918.0,145719.0,57228.0,198906.0,78644.0,187442.0,77449.0,245391.0,139206.0
"AROMATICS","PARAXYLENE",182237.0,94982.0,359833.0,168762.0,235440.0,115826.0,292945.0,144485.0,403296.0,205231.0,435785.0,317886.0
"OTHER PETRO-BASED CHEMICALS","ETHYLENE DICHLORIDE",216594.0,39029.0,184235.0,31418.0,210965.0,30979.0,191648.0,35963.0,284997.0,65400.0,263401.0,46737.0
"OTHER PETRO-BASED CHEMICALS","BUTANOL",19399.0,10732.0,25237.0,15080.0,24623.0,15158.0,37647.0,18804.0,25381.0,17294.0,31564.0,23498.0
"OTHER PETRO-BASED CHEMICALS","OXO ALCOHOL",996.0,1085.0,697.0,794.0,669.0,967.0,1193.0,1438.0,528.0,1036.0,842.0,1842.0
"OTHER PETRO-BASED CHEMICALS","2-ETHYL HEXANOL",8882.0,6674.0,10629.0,5680.0,21205.0,11748.0,38597.0,21344.0,34155.0,27996.0,29184.0,27396.0
"OTHER PETRO-BASED CHEMICALS","VINYL CHLORIDE MONOMER",121811.0,41052.0,114988.0,40148.0,120303.0,43350.0,154636.0,62300.0,385101.0,163983.0,302327.0,147439.0
"OTHER PETRO-BASED CHEMICALS","EPICHLOHYDRINE",6821.0,7100.0,11452.0,9555.0,13693.0,10764.0,16927.0,10787.0,19786.0,19868.0,19068.0,19743.0
"OTHER PETRO-BASED CHEMICALS","ISO BUTYLENE",37540.0,21387.0,39350.0,25490.0,32713.0,29472.0,40105.0,22883.0,42939.0,32730.0,23351.0,20485.0
"OTHER PETRO-BASED CHEMICALS","METAXYLENE",3317.0,1728.0,7273.0,4707.0,5263.0,4448.0,468.0,304.0,1541.0,981.0,9564.0,5960.0
"OTHER PETRO-BASED CHEMICALS","METHYL ISOBUTYL KETONE",11797.0,7326.0,14620.0,8597.0,14919.0,10690.0,16698.0,10474.0,16399.0,12388.0,19209.0,17173.0
"OTHER PETRO-BASED CHEMICALS","PIB",6190.0,3948.0,5490.0,3771.0,5113.0,5323.0,5238.0,4294.0,6091.0,4825.0,7536.0,7281.0
"OTHER PETRO-BASED CHEMICALS","POLYCARBONATE",48251.0,62086.0,47846.0,54450.0,41638.0,52817.0,54315.0,62610.0,105264.0,140607.0,116029.0,162876.0
