"Programme / Scheme","Budget Estimates-Plan (2013-14)","Budget Estimates-N-Plan (2013-14)"
"e-Government Programmes",1530.0,0.0
"e-Learning Programmes",555.86,1.7
"e-Security Programmes",60.37,0.0
"e-Industry (Electronics Hardware)",220.0,7.0
"e-Industry (IT-ITeS)",52.5,0.0
"e-Innovation/R&D",536.27,6.6
"Other Programmes",45.0,36.7
"Total",3000.0,52.0
