-----
{
 "description": "Index of Industrial Production (Base: 1980-81=100) at use-based industry level indices (NIC-1970) with weights from April 1990 to March 1998, annual average (Apr-Mar) indices and growth over corresponding period of previous year.", 
 "file_name": "Use-based_Indices_And_Growth_1980-81.xls", 
 "title": "Monthly Time Series Use-based Indices And Growth (1980-81 Series)  ", 
 "url": "http://data.gov.in/sites/default/files/Use-based_Indices_And_Growth_1980-81.xls"
}
-----
"Period","Basic Goods","Capital Goods","Intermediate Goods","Total","Consumer Goods Durables","Consumer Goods Non-durables","GENERAL"
"1990-91",213.0,291.8,177.1,188.0,359.0,167.3,212.6
"1991-92",226.9,266.8,173.2,190.8,320.5,175.1,213.9
"1992-93",232.9,266.4,182.6,194.2,318.1,179.3,218.9
"1993-94",254.9,255.4,203.9,202.0,369.4,181.7,232.0
"1994-95",269.0,318.8,211.4,219.6,407.2,196.9,253.7
"1995-96",291.4,376.0,236.3,251.0,554.2,214.3,284.5
"1996-97",315.1,398.0,259.5,261.3,584.4,222.2,304.6
"1997-98",337.3,382.2,277.4,273.3,642.0,228.7,317.3
