-----
{
 "description": "Data provides state-wise consumer price index for industrial workers from 2007 to 2011.", 
 "file_name": "CONSUMER_PRICE_INDEX_NUMBER_FOR_INDUSTRIAL_WORKERS.xls", 
 "title": "Consumer Price Index For Industrial Workers ", 
 "url": "http://data.gov.in/sites/default/files/CONSUMER_PRICE_INDEX_NUMBER_FOR_INDUSTRIAL_WORKERS.xls"
}
-----
"Item","State","Centre","Weight",2007.0,2008.0,2009.0,2010.0,2011.0
"Food","Andhra Pradesh","Godavarikhani",0.55,134.0,159.0,193.0,217.0,212.0
"Clothing,bedding,footwear","Andhra Pradesh","Godavarikhani",0.1,124.0,126.0,132.0,137.0,159.0
"General","Andhra Pradesh","Godavarikhani",1.17,135.0,150.0,169.0,193.0,200.0
"Food","Andhra Pradesh","Guntur",0.45,127.0,145.0,177.0,201.0,215.0
"Clothing,bedding,footwear","Andhra Pradesh","Guntur",0.04,118.0,118.0,120.0,131.0,143.0
"General","Andhra Pradesh","Guntur",1.81,126.0,139.0,161.0,181.0,194.0
"Food","Andhra Pradesh","Hyderabad",0.63,133.0,152.0,178.0,195.0,202.0
"Clothing,bedding,footwear","Andhra Pradesh","Hyderabad",0.1,111.0,108.0,109.0,112.0,127.0
"General","Andhra Pradesh","Hyderabad",1.51,123.0,135.0,152.0,165.0,174.0
"Food","Andhra Pradesh","Vijaywada",0.56,129.0,145.0,181.0,207.0,210.0
"Clothing,bedding,footwear","Andhra Pradesh","Vijaywada",0.1,118.0,123.0,137.0,148.0,169.0
"General","Andhra Pradesh","Vijaywada",1.18,126.0,137.0,161.0,180.0,188.0
"Food","Andhra Pradesh","Visakhapatnam",0.79,132.0,147.0,175.0,196.0,202.0
"Clothing,bedding,footwear","Andhra Pradesh","Visakhapatnam",0.15,118.0,122.0,131.0,142.0,182.0
"General","Andhra Pradesh","Visakhapatnam",1.98,126.0,135.0,153.0,173.0,192.0
"Food","Andhra Pradesh","Warangal",0.47,136.0,163.0,194.0,224.0,219.0
"Clothing,bedding,footwear","Andhra Pradesh","Warangal",0.09,133.0,134.0,137.0,142.0,148.0
"General","Andhra Pradesh","Warangal",0.98,133.0,149.0,172.0,199.0,204.0
"Food","Assam","Doom Dooma - Tinsukia",0.28,129.0,139.0,155.0,166.0,174.0
"Clothing,bedding,footwear","Assam","Doom Dooma - Tinsukia",0.03,113.0,118.0,124.0,127.0,151.0
"General","Assam","Doom Dooma - Tinsukia",0.44,125.0,133.0,147.0,160.0,170.0
"Food","Assam","Guwahati",0.22,121.0,135.0,158.0,174.0,184.0
"Clothing,bedding,footwear","Assam","Guwahati",0.04,107.0,110.0,121.0,145.0,166.0
"General","Assam","Guwahati",0.5,120.0,128.0,143.0,156.0,168.0
"Food","Assam","Labac - Silchar",0.22,136.0,152.0,164.0,190.0,195.0
"Clothing,bedding,footwear","Assam","Labac - Silchar",0.03,114.0,120.0,128.0,140.0,157.0
"General","Assam","Labac - Silchar",0.33,130.0,143.0,155.0,178.0,186.0
"Food","Assam","Mariani - Jorhat",0.3,127.0,134.0,150.0,159.0,170.0
"Clothing,bedding,footwear","Assam","Mariani - Jorhat",0.03,108.0,114.0,118.0,126.0,147.0
"General","Assam","Mariani - Jorhat",0.46,127.0,133.0,147.0,158.0,171.0
"Food","Assam","Rangapara - Tezpur",0.28,137.0,143.0,159.0,171.0,180.0
"Clothing,bedding,footwear","Assam","Rangapara - Tezpur",0.02,120.0,124.0,132.0,161.0,195.0
