-----
{
 "description": "Data provides all India (from 2001 to 2011) and state/UT-wise (2010 and 2011) details of companies (public and private) newly created by industrial activity (number and authorised capital) as on 31st March.", 
 "file_name": "COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls", 
 "title": "Companies Newly Registered By Industrial Activity - Number And Authorised Capital As On 31st March ", 
 "url": "http://data.gov.in/sites/default/files/COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls"
}
-----
"State/U.T.","Classification","Public - No.","Public - Authorised Capital","Private - No. ","Private - Authorised Capital","Total - No.","Total - Authorised Capital"
"Andhra Pradesh","Agriculture and Allied Activities",2.0,0.6,179.0,32.04,181.0,32.64
"Arunachal Pradesh","Agriculture and Allied Activities","NA","NA",6.0,0.6,6.0,0.6
"Assam","Agriculture and Allied Activities","NA","NA",21.0,5.6,21.0,5.6
"Bihar","Agriculture and Allied Activities",2.0,5.05,32.0,4.12,34.0,9.17
"Chhatisgarh","Agriculture and Allied Activities",4.0,10.1,17.0,6.04,21.0,16.14
"Goa","Agriculture and Allied Activities","NA","NA",6.0,0.52,6.0,0.52
"Gujarat","Agriculture and Allied Activities",2.0,0.15,60.0,3.2,62.0,3.35
"Haryana","Agriculture and Allied Activities",4.0,1.6,29.0,8.13,33.0,9.73
"Himachal Pradesh","Agriculture and Allied Activities","NA","NA",13.0,5.17,13.0,5.17
"Jammu & Kashmir","Agriculture and Allied Activities","NA","NA",5.0,3.34,5.0,3.34
"Jharkhand","Agriculture and Allied Activities",1.0,1.0,13.0,1.71,14.0,2.71
"Karnataka","Agriculture and Allied Activities",1.0,0.05,76.0,12.98,77.0,13.03
"Kerala","Agriculture and Allied Activities",4.0,1.85,54.0,4.91,58.0,6.76
"Madhya Pradesh","Agriculture and Allied Activities",7.0,0.61,51.0,3.8,58.0,4.41
"Maharashtra ","Agriculture and Allied Activities",13.0,7.06,291.0,30.83,304.0,37.89
"Manipur","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Meghalaya","Agriculture and Allied Activities",1.0,16.0,1.0,0.1,2.0,16.1
"Mizoram","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Nagaland","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Orissa","Agriculture and Allied Activities",4.0,1.25,39.0,3.33,43.0,4.58
"Punjab","Agriculture and Allied Activities","NA","NA",23.0,3.52,23.0,3.52
"Rajasthan","Agriculture and Allied Activities",5.0,1.15,65.0,2.06,70.0,3.21
"Sikkim","Agriculture and Allied Activities","NA","NA","NA",0.0,"NA","NA"
"Tamil Nadu","Agriculture and Allied Activities",15.0,2.98,104.0,17.02,119.0,20.0
"Tripura","Agriculture and Allied Activities","NA","NA",2.0,0.15,2.0,0.15
"Uttar Pradesh","Agriculture and Allied Activities",2.0,4.0,63.0,19.12,65.0,23.12
"Uttrakhand","Agriculture and Allied Activities","NA",0.0,8.0,1.2,8.0,1.2
"West Bengal","Agriculture and Allied Activities",39.0,67.89,188.0,71.51,227.0,139.4
"A. & N. Islands","Agriculture and Allied Activities","NA","NA",3.0,0.4,3.0,0.4
"Chandigarh","Agriculture and Allied Activities","NA","NA",2.0,0.02,2.0,0.02
"D. & N. Haveli","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Delhi","Agriculture and Allied Activities",9.0,3.65,102.0,130.63,111.0,134.28
"Daman & Diu","Agriculture and Allied Activities","NA","NA",1.0,0.01,1.0,"NA"
"Lakshadweep","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Puducherry","Agriculture and Allied Activities","NA","NA",2.0,0.06,2.0,0.06
