-----
{
 "description": "Approved Outlay for all States and Union Territories for Eight Plan Period and its Annual Plan period", 
 "file_name": "Approved_Outlay_8th_Plan_State-wise.xls", 
 "title": "Approved Outlay State-wise for Eight Plan and all its Annual Plan  ", 
 "url": "http://data.gov.in/sites/default/files/Approved_Outlay_8th_Plan_State-wise.xls"
}
-----
"Sl. No.","States/UTs (all figures in Rs. Crore)","Approved Outlay Annual Plan - 1992-93","Approved Outlay Annual Plan - 1993-94","Approved Outlay Annual Plan - 1994-95","Approved Outlay Annual Plan - 1995-96","Approved Outlay Annual Plan - 1996-97","Approved Outlay - Eight Plan "
"1.","Andhra Pradesh",1660.0,1851.0,2130.0,3159.0,2989.0,11789.0
"2.","Arunachal Pradesh",245.0,290.0,335.0,471.0,520.0,1861.0
"3.","Assam",960.0,1027.0,1051.0,1418.32,1434.0,5890.32
"4.","Bihar",2202.73,2300.0,2400.0,2500.0,2143.91,11546.64
"5.","Goa",152.5,170.0,182.0,210.0,250.0,964.5
"6.","Gujarat",1875.0,2137.0,2240.0,2610.0,3378.0,12240.0
"7.","Haryana",830.0,920.0,1025.0,1250.0,1433.65,5458.65
"8.","Himachal Pradesh",486.0,560.0,650.0,750.0,900.5,3346.5
"9.","Jammu & Kashmir",820.0,880.0,950.0,1050.0,1250.0,4950.0
"10.","Karnataka",1915.0,3025.0,3275.0,3575.0,4360.0,16150.0
"11.","Kerala",913.0,1000.0,1260.0,1550.0,2207.27,6930.27
"12.","Madhya Pradesh",2400.0,2400.0,2750.0,2900.0,3144.8,13594.8
"13.","Maharashtra",3160.0,3804.0,4400.0,5907.0,8319.67,25590.67
"14.","Manipur",210.0,230.0,240.0,300.0,350.0,1330.0
"15.","Meghalaya",241.0,281.0,281.0,306.52,370.0,1479.52
"16.","Mizoram",160.0,185.0,207.66,227.0,281.0,1060.66
"17.","Nagaland",185.0,203.5,220.0,240.0,290.0,1138.5
"18.","Orissa",1405.0,1450.0,1951.0,1650.0,2205.5,8661.5
"19.","Punjab",1500.0,1250.0,1450.0,1675.0,1857.05,7732.05
"20.","Rajasthan",1400.0,1700.0,2450.0,3200.0,3310.49,12060.49
"21.","Sikkim",110.0,120.0,135.0,192.0,192.0,749.0
"22.","Tamil Nadu",1751.0,2101.0,2750.0,3200.0,3719.05,13521.05
"23.","Tripura",282.0,310.0,310.0,350.0,370.0,1622.0
"24.","Uttar Pradesh",3853.0,4050.0,4562.0,5477.5,6549.03,24491.53
"25.","West Bengal",1501.0,1550.0,1706.0,2065.0,3158.63,9980.63
"26.","A & N Islands",155.0,156.5,205.0,215.0,225.0,956.5
"27.","Chandigarh",68.0,80.0,88.0,100.0,105.34,441.34
"28.","D & N Haveli",18.15,22.0,25.0,29.0,30.09,124.24
"29.","Daman & Diu",14.5,16.0,18.5,23.0,23.91,95.91
"30.","Delhi",920.0,1075.0,1560.0,1720.0,2102.94,7377.94
"31.","Lakshadweep",25.0,32.0,32.0,38.6,40.07,167.67
"32.","Puducherry",90.0,108.0,135.0,175.52,200.66,709.18
"33.","India",31507.88,35284.0,40974.16,48534.46,57711.56,214012.06
