-----
{
 "description": "This table gives All India (2001-02 to 2009-10) and State-wise (2008-09 to 2009-10) Number of Teachers in Educational Institutions like primary/junior basic schools, middle/senior basic school, high/post basic school, higher secondary schools, universities and affiliated colleges.", 
 "file_name": "NUMBER_OF_TEACHERS_IN_EDUCATIONAL_INSTITUTIONS.xls", 
 "title": "Number Of Teachers In Educational Institutions (All India And State wise) ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_TEACHERS_IN_EDUCATIONAL_INSTITUTIONS.xls"
}
-----
"State/U.T.","    Primary/Junior Basic Schools(#)Total  2008-09","    Primary/Junior Basic Schools(#)Total   2009-10","    Primary/Junior Basic Schools(#)Women  2008-09","    Primary/Junior Basic Schools(#)Women   2009-10","    Primary/Junior Basic Schools(#)% age ofTrained Teachers  2008-09","    Primary/Junior Basic Schools(#)% age ofTrained Teachers   2009-10","    Middle /Sr Basic SchoolsTotal  2008-09","    Middle /Sr Basic SchoolsTotal   2009-10","    Middle /Sr Basic SchoolsWomen  2008-09","    Middle /Sr Basic SchoolsWomen   2009-10","    Middle /Sr Basic Schools% age ofTrained Teachers  2008-09","    Middle /Sr Basic Schools% age ofTrained Teachers   2009-10","High/Post BasicSchoolsTotal  2008-09","High/Post BasicSchoolsTotal   2009-10","High/Post BasicSchoolsWomen  2008-09","High/Post BasicSchoolsWomen   2009-10","High/Post BasicSchools% age ofTrained Teachers  2008-09","High/Post BasicSchools% age ofTrained Teachers   2009-10","Higher SecondarySchools(**)Total  2008-09","Higher SecondarySchools(**)Total   2009-10","Higher SecondarySchools(**)Women  2008-09","Higher SecondarySchools(**)Women   2009-10","Higher SecondarySchools(**)% age ofTrained Teachers  2008-09","Higher SecondarySchools(**)% age ofTrained Teachers   2009-10","Total No. ofTeachers in allTotal  2008-09","Total No. ofTeachers in allTotal ","Total No. ofTeachers in allWomen   2009-10","Total No. ofTeachers in allWomen "
" Andhra Pradesh",183197.0,169159.0,87711.0,83045.0,93.0,93.0,94662.0,90077.0,41311.0,40507.0,88.0,88.0,167159.0,187709.0,68146.0,75708.0,96.0,96.0,46339.0,46339.0,12907.0,12907.0,90.0,90.0,491357.0,493284.0,210075.0,212167.0
" Arunachal Pradesh",6306.0,6363.0,2145.0,2174.0,11.0,9.0,5191.0,5792.0,1836.0,2046.0,17.0,18.0,2407.0,2734.0,756.0,875.0,37.0,36.0,2442.0,2719.0,550.0,659.0,62.0,60.0,16346.0,17608.0,5287.0,5754.0
" Assam",89102.0,86676.0,31265.0,31562.0,64.0,83.0,100129.0,81637.0,26129.0,19541.0,90.0,41.0,58013.0,61012.0,14363.0,15308.0,29.0,29.0,18078.0,16845.0,5384.0,4976.0,29.0,29.0,265322.0,246170.0,77141.0,71387.0
" Bihar",147341.0,141298.0,53804.0,53535.0,85.0,85.0,117992.0,124342.0,42225.0,45807.0,90.0,90.0,27406.0,25593.0,4234.0,3805.0,98.0,98.0,15743.0,31837.0,2463.0,9678.0,95.0,95.0,308482.0,323070.0,102726.0,112825.0
" Chhattisgarh",96314.0,107481.0,32751.0,39519.0,67.0,72.0,45952.0,53995.0,14095.0,18864.0,72.0,74.0,15702.0,12206.0,6786.0,4455.0,73.0,68.0,22152.0,28303.0,7032.0,9789.0,70.0,78.0,180120.0,201985.0,60664.0,72627.0
" Goa",3812.0,3904.0,3389.0,3524.0,94.0,94.0,2228.0,2515.0,1606.0,1808.0,100.0,99.0,3446.0,3218.0,2028.0,1930.0,100.0,100.0,1287.0,1349.0,698.0,742.0,92.0,91.0,10773.0,10986.0,7721.0,8004.0
" Gujarat",44480.0,44946.0,17474.0,17504.0,100.0,100.0,198436.0,199385.0,106873.0,106922.0,100.0,100.0,36714.0,42829.0,9890.0,11930.0,100.0,100.0,47687.0,43946.0,14836.0,14187.0,100.0,100.0,327317.0,331106.0,149073.0,150543.0
" Haryana",22916.0,31574.0,11835.0,15277.0,95.0,95.0,15610.0,20128.0,7250.0,8870.0,85.0,85.0,25888.0,36947.0,11128.0,16201.0,94.0,94.0,38710.0,54459.0,18237.0,"NA",97.0,97.0,103124.0,143108.0,48450.0,40348.0
" Himachal Pradesh",30162.0,30336.0,13793.0,13484.0,100.0,100.0,26427.0,34389.0,9147.0,14357.0,100.0,100.0,6301.0,8841.0,2325.0,4316.0,100.0,100.0,16756.0,16885.0,5864.0,5950.0,100.0,100.0,79646.0,90451.0,31129.0,38107.0
" Jammu & Kashmir",31899.0,59376.0,13077.0,23466.0,53.0,40.0,50232.0,45151.0,21096.0,20144.0,61.0,48.0,19358.0,25370.0,7633.0,11060.0,64.0,54.0,10161.0,18489.0,3988.0,7732.0,66.0,59.0,111650.0,148386.0,45794.0,62402.0
" Jharkhand",50537.0,50537.0,18563.0,18563.0,100.0,100.0,53800.0,53800.0,10105.0,10105.0,100.0,100.0,9178.0,9178.0,2700.0,2700.0,100.0,100.0,4057.0,4057.0,1822.0,1822.0,100.0,100.0,117572.0,117572.0,33190.0,33190.0
" Karnataka",62540.0,59457.0,30481.0,28883.0,100.0,100.0,214354.0,223272.0,120960.0,128109.0,100.0,100.0,99106.0,109503.0,43125.0,49992.0,100.0,100.0,23229.0,26622.0,7098.0,8416.0,100.0,100.0,399229.0,418854.0,201664.0,215400.0
" Kerala",40850.0,40069.0,24405.0,30280.0,100.0,100.0,44726.0,44136.0,31186.0,30944.0,100.0,100.0,101932.0,97141.0,73012.0,69332.0,100.0,100.0,16770.0,27350.0,13352.0,21783.0,100.0,100.0,204278.0,208696.0,141955.0,152339.0
" Madhya Pradesh",292062.0,292062.0,90641.0,90641.0,90.0,90.0,142395.0,142395.0,30920.0,30920.0,90.0,90.0,42340.0,46948.0,16554.0,19010.0,76.0,78.0,62895.0,68353.0,23952.0,27773.0,79.0,78.0,539692.0,549758.0,162067.0,168344.0
" Maharashtra",195350.0,199415.0,121900.0,122361.0,99.0,96.0,206673.0,205769.0,96927.0,96785.0,96.0,96.0,187957.0,282957.0,59020.0,89020.0,96.0,96.0,129062.0,15055.0,41037.0,5231.0,99.0,99.0,719042.0,703196.0,318884.0,313397.0
" Manipur",7675.0,7667.0,2972.0,2959.0,36.0,36.0,8584.0,8597.0,3527.0,3536.0,35.0,35.0,8719.0,8750.0,3516.0,3530.0,42.0,42.0,2996.0,3006.0,1351.0,1366.0,38.0,43.0,27974.0,28020.0,11366.0,11391.0
" Meghalaya",14034.0,14745.0,6477.0,9985.0,45.0,45.0,9407.0,9407.0,4335.0,5091.0,36.0,36.0,4445.0,4837.0,1878.0,2543.0,36.0,36.0,1155.0,1344.0,626.0,710.0,36.0,36.0,29041.0,30333.0,13316.0,18329.0
" Mizoram",8716.0,8477.0,4488.0,4473.0,39.0,44.0,7754.0,7564.0,2687.0,2506.0,50.0,53.0,3886.0,3853.0,1173.0,1144.0,40.0,43.0,1058.0,1224.0,460.0,537.0,30.0,31.0,21414.0,21118.0,8808.0,8660.0
" Nagaland",7956.0,7956.0,2961.0,2961.0,24.0,24.0,5804.0,5804.0,2101.0,2101.0,19.0,19.0,6628.0,6628.0,2627.0,2627.0,25.0,25.0,2394.0,2394.0,1201.0,1201.0,32.0,32.0,22782.0,22782.0,8890.0,8890.0
"Odisha",117250.0,136064.0,45658.0,57306.0,88.0,88.0,44387.0,54707.0,13354.0,17863.0,91.0,91.0,63303.0,64967.0,15190.0,15757.0,92.0,92.0,22571.0,24303.0,5239.0,5842.0,100.0,100.0,247511.0,280041.0,79441.0,96768.0
" Punjab",51740.0,55858.0,36760.0,38893.0,100.0,100.0,50503.0,50031.0,29231.0,29203.0,100.0,100.0,38466.0,27180.0,24153.0,17163.0,100.0,100.0,16244.0,38775.0,9223.0,24800.0,100.0,100.0,156953.0,171844.0,99367.0,110059.0
" Rajasthan",117576.0,113639.0,36783.0,35656.0,86.0,86.0,211138.0,219555.0,67772.0,70676.0,80.0,81.0,81049.0,86832.0,20751.0,22528.0,83.0,91.0,82691.0,91775.0,23254.0,25905.0,92.0,91.0,492454.0,511801.0,148560.0,154765.0
" Sikkim",7845.0,7845.0,4523.0,4523.0,68.0,68.0,2229.0,2229.0,1113.0,1113.0,42.0,42.0,1512.0,1512.0,657.0,657.0,55.0,55.0,661.0,563.0,243.0,209.0,58.0,58.0,12247.0,12149.0,6536.0,6502.0
" Tamil Nadu",162792.0,124657.0,120421.0,90004.0,100.0,100.0,68507.0,67612.0,41248.0,39065.0,100.0,100.0,31079.0,30301.0,17363.0,17248.0,100.0,100.0,54265.0,90347.0,31965.0,50017.0,100.0,100.0,316643.0,312917.0,210997.0,196334.0
" Tripura",7805.0,7936.0,1640.0,1727.0,74.0,94.0,8687.0,9522.0,1844.0,2021.0,47.0,47.0,8952.0,8952.0,2417.0,2417.0,63.0,86.0,9546.0,9546.0,3611.0,3611.0,63.0,90.0,34990.0,35956.0,9512.0,9776.0
" Uttar Pradesh",331652.0,354976.0,141314.0,166071.0,98.0,98.0,87940.0,98072.0,24761.0,30800.0,95.0,95.0,65914.0,76917.0,12455.0,16215.0,97.0,97.0,123326.0,125775.0,21552.0,22966.0,97.0,97.0,608832.0,655740.0,200082.0,236052.0
" Uttarakhand",48455.0,46345.0,24900.0,24531.0,100.0,100.0,20654.0,19829.0,7881.0,7371.0,100.0,100.0,17227.0,19122.0,4164.0,5383.0,100.0,100.0,21190.0,22243.0,4800.0,5413.0,100.0,100.0,107526.0,107539.0,41745.0,42698.0
" West Bengal",150032.0,236720.0,42866.0,107848.0,83.0,48.0,8620.0,21679.0,2394.0,6074.0,80.0,35.0,63309.0,727.0,18088.0,275.0,80.0,69.0,78620.0,139927.0,25361.0,53201.0,86.0,66.0,300581.0,399053.0,88709.0,167398.0
" A. & N. Islands",976.0,1109.0,604.0,703.0,95.0,95.0,802.0,856.0,475.0,507.0,99.0,99.0,897.0,1029.0,506.0,591.0,99.0,99.0,2051.0,2094.0,1091.0,1146.0,100.0,100.0,4726.0,5088.0,2676.0,2947.0
" Chandigarh",368.0,385.0,332.0,345.0,96.0,96.0,377.0,353.0,287.0,250.0,96.0,96.0,2172.0,1998.0,1772.0,1615.0,99.0,99.0,3349.0,3933.0,2717.0,3437.0,98.0,98.0,6266.0,6669.0,5108.0,5647.0
" D. & N. Haveli",872.0,998.0,387.0,451.0,93.0,98.0,436.0,537.0,151.0,208.0,93.0,96.0,333.0,360.0,167.0,195.0,94.0,94.0,104.0,105.0,56.0,47.0,92.0,95.0,1745.0,2000.0,761.0,901.0
" Daman and Diu",538.0,538.0,390.0,390.0,100.0,93.0,436.0,436.0,210.0,210.0,96.0,96.0,261.0,261.0,124.0,124.0,100.0,100.0,65.0,65.0,23.0,23.0,96.0,96.0,1300.0,1300.0,747.0,747.0
" Delhi",26446.0,28166.0,18729.0,19791.0,100.0,100.0,7873.0,7297.0,6293.0,6075.0,100.0,100.0,10085.0,10613.0,6777.0,7148.0,100.0,100.0,61113.0,64158.0,43356.0,45471.0,100.0,100.0,105517.0,110234.0,75155.0,78485.0
