-----
{
 "description": "This table gives All India (from 2000-01 to 2009-10) and State-wise (2008-09 and 2009-10) pattern of land utilisation under categories such as orest, permanent pastures and another grazing lands, land not available for cultivation etc. ", 
 "file_name": "PATTERN_OF_LAND_UTILISATION_0.xls", 
 "title": "Pattern of Land Utilisation ", 
 "url": "http://data.gov.in/sites/default/files/PATTERN_OF_LAND_UTILISATION_0.xls"
}
-----
"Year/State/Union Territory","Reporting area for land utilisation statistics"," Forests  "," Not available for cultivation"," Permanent pastures & other grazing lands","Land under misc. tree crops & groves"," Culturable waste","Fallow lands other than current fallows","  Current fallows"," Net area sown "," Total cropped area"," Area sown more than once"
" 2009-10 ",305611.0,70042.0,42954.0,10149.0,3351.0,12857.0,10484.0,15753.0,140022.0,192197.0,52175.0
" Andhra Pradesh",27505.0,6210.0,4808.0,566.0,295.0,647.0,1627.0,3361.0,9991.0,12560.0,2569.0
" Arunachal Pradesh ",5660.0,5154.0,64.0,18.0,38.0,64.0,70.0,40.0,212.0,276.0,64.0
" Assam *",7850.0,1853.0,2626.0,160.0,196.0,77.0,50.0,79.0,2811.0,4099.0,1289.0
" Bihar *",9360.0,622.0,2121.0,16.0,244.0,45.0,122.0,858.0,5332.0,7491.0,2159.0
"Chhattisgarh",13790.0,6349.0,1012.0,859.0,1.0,351.0,262.0,272.0,4683.0,5561.0,878.0
" Goa",361.0,125.0,37.0,1.0,1.0,53.0,"NA",12.0,132.0,160.0,29.0
" Gujarat *",18810.0,1913.0,3528.0,690.0,4.0,1976.0,16.0,379.0,10302.0,11138.0,836.0
" Haryana",4371.0,40.0,574.0,28.0,12.0,29.0,5.0,133.0,3550.0,6351.0,2801.0
" Himachal Pradesh *",4550.0,1103.0,1123.0,1500.0,68.0,136.0,18.0,60.0,542.0,932.0,390.0
" Jammu & Kashmir",1757.0,2023.0,580.0,120.0,63.0,149.0,26.0,84.0,735.0,1145.0,409.0
" Jharkhand ",7970.0,2239.0,1332.0,110.0,93.0,336.0,1045.0,1564.0,1250.0,1399.0,149.0
" Karnataka",19050.0,3072.0,2174.0,914.0,288.0,413.0,484.0,1301.0,10404.0,12873.0,2469.0
" Kerala",3886.0,1082.0,501.0,"NA",4.0,98.0,45.0,77.0,2079.0,2669.0,590.0
" Madhya Pradesh",30756.0,8689.0,3432.0,1338.0,24.0,1147.0,608.0,547.0,14972.0,21411.0,6440.0
" Maharashtra *",30758.0,5215.0,3172.0,1242.0,250.0,917.0,1189.0,1373.0,17401.0,22612.0,5211.0
" Manipur *",2010.0,1742.0,27.0,1.0,6.0,1.0,"NA","NA",233.0,233.0,"NA"
" Meghalaya",2229.0,946.0,231.0,"NA",162.0,394.0,155.0,58.0,283.0,336.0,53.0
" Mizoram ",2101.0,1585.0,95.0,5.0,39.0,7.0,181.0,66.0,123.0,123.0,"NA"
" Nagaland",1621.0,861.0,89.0,"NA",107.0,43.0,101.0,59.0,361.0,486.0,126.0
" Orissa",15571.0,5813.0,2138.0,494.0,342.0,375.0,229.0,606.0,5574.0,9107.0,3533.0
" Punjab ",5033.0,295.0,528.0,4.0,5.0,3.0,4.0,37.0,4158.0,7875.0,3717.0
" Rajasthan",34270.0,2735.0,4268.0,1697.0,17.0,4475.0,2048.0,2055.0,16974.0,21745.0,4770.0
" Sikkim *",693.0,584.0,11.0,"NA",8.0,3.0,4.0,5.0,77.0,144.0,67.0
" Tamil Nadu",13033.0,2127.0,2666.0,110.0,253.0,326.0,1542.0,1117.0,4892.0,5572.0,680.0
" Tripura *",1049.0,606.0,134.0,"NA",27.0,1.0,1.0,1.0,280.0,309.0,29.0
" Uttarakhand ",5672.0,3485.0,441.0,198.0,383.0,309.0,80.0,34.0,741.0,1166.0,425.0
" Uttar Pradesh ",24170.0,1662.0,3295.0,65.0,360.0,431.0,537.0,1232.0,16589.0,24764.0,8175.0
" West Bengal",8684.0,1174.0,1820.0,6.0,55.0,31.0,20.0,323.0,5256.0,9530.0,4274.0
" A. & N. Islands *",757.0,717.0,9.0,4.0,4.0,3.0,3.0,3.0,15.0,17.0,2.0
" Chandigarh *",6.0,"NA",5.0,"NA","NA","NA","NA","NA",1.0,2.0,1.0
" D. & N. Haveli*",49.0,20.0,4.0,1.0,"NA","NA",2.0,2.0,20.0,24.0,4.0
" Daman & Diu *",4.0,"NA","NA","NA","NA","NA","NA","NA",4.0,4.0,"NA"
" Delhi ",147.0,1.0,93.0,"NA",1.0,10.0,8.0,12.0,22.0,46.0,23.0
" Lakshadweep*",3.0,"NA","NA","NA","NA","NA","NA","NA",3.0,3.0,"NA"
" Puducherry",49.0,"NA",19.0,"NA",1.0,4.0,3.0,3.0,19.0,32.0,13.0
"","","","","","","","","","","",""
1.0,"","","","","","","","","","",""
