-----
{
 "description": "This dataset provides information about the Field Crop Varieties released and notified  during  2010 (State Release) by Indian Council of Agricultural Research, Department of Agricultural Research & Education, Ministry of Agriculture, Government of India.", 
 "file_name": "Varieties__released_notified_Field_crop.xls", 
 "title": "Varities Released/notified during 2010 (State release) ", 
 "url": "http://data.gov.in/sites/default/files/Varieties__released_notified_Field_crop.xls"
}
-----
"Field Crop Type","Crop","Variety","Recommended Zone"
"CEREAL CROPS","Paddy","VTL-8","Kerala/2010"
"CEREAL CROPS","Paddy","MO 21(Pratheeksha)","Kerala/2010"
"CEREAL CROPS","Paddy","ANNA(R) 4","Tamil Nadu/2009"
"CEREAL CROPS","Paddy","CO(R) 49","Tamil Nadu/ 2008"
"CEREAL CROPS","Paddy","GAR – 13(IET-20930)","Gujarat/2009"
"CEREAL CROPS","Paddy","NAUR-1","Gujarat/2009"
"CEREAL CROPS","Paddy","Ratnagiri-4(RTN 49-1-1-2)","Maharashtra/2009"
"CEREAL CROPS","Paddy","(IET 20980)","Maharashtra/2010"
"CEREAL CROPS","Paddy","Karjat – 184","Maharashtra/2009"
"CEREAL CROPS","Paddy","Ratnagiri-24(RTN-24)","Maharashtra/2009"
"CEREAL CROPS","Paddy","(IET-19812)","Maharashtra/2010"
"CEREAL CROPS","Paddy","VAMSADHARA (RGL-11414)","Andhra Pradesh / 2010"
"CEREAL CROPS","Paddy","Akshaya","Andhra Pradesh / 2010"
"CEREAL CROPS","Paddy","JGL 11470 (Jagtial Mahsuri)","Andhra Pradesh / 2010"
"CEREAL CROPS","Paddy","JGL 3855 (Karimnagar Samba)","Andhra Pradesh / 2010"
"CEREAL CROPS","Paddy","Bhavapuri Sannalu","Andhra Pradesh / 2010"
"CEREAL CROPS","Paddy","SUGANDHA SAMBA (RNR-2465)","Andhra Pradesh / 2010"
"CEREAL CROPS","Paddy","Luna Sampad (IET 19470)","Orissa/ 2010"
"CEREAL CROPS","Paddy","REETA (IET 19969)","Orissa/ 2010"
"CEREAL CROPS","Paddy","MANDAKINI (OR 2077-4)(IET 17847)","Orissa/ 2010"
"CEREAL CROPS","Paddy","Nua Chinikamini (IET 18394)(CR 2580)","Orissa/ 2010"
"CEREAL CROPS","Paddy","Phalguni (IET 18720) (CRAC 2224-1041)","Orissa/ 2010"
"CEREAL CROPS","Paddy","Luna Suvarna (IET 18697)","Orissa/ 2010"
"CEREAL CROPS","Paddy","MRUNALINI (OR 1898-18) (IET 18649)","Orissa/ 2009"
"CEREAL CROPS","Paddy","TEJASWINI (OR 1912-22) (IET 20005)","Orissa/ 2009"
"CEREAL CROPS","Wheat","Raj 4079","Rajasthan / 2010"
"CEREAL CROPS","Wheat","CCNNRV01 (Raj Molya Rodhak-1)","Rajasthan / 2010"
"CEREAL CROPS","Maize","KMH-22168","Maharashtra/2009"
"CEREAL CROPS","Pearl Millet","RHRBH-9808","Maharashtra/2006"
"CEREAL CROPS","Barley","HBL 391(Gokul)","Himachal Pradesh/ 2009"
"CEREAL CROPS","Barnyard Millet","CO(KV)2","TamilNadu/2009"
"CEREAL CROPS","Sorghum","Phule Anuradha (RSV 458)","Maharashtra/2008"
"CEREAL CROPS","Sorghum","Pratap Chari 1080","Rajasthan / 2010"
"OIL SEEDS","Sesame","TMV(Sv)7","TamilNadu/2007"
"OIL SEEDS","Niger","Phule Karala(IGPN 2004-1)","Maharashtra/2008"
"OIL SEEDS","Sunflower ","PSH 569","Punjab/2008"
"OIL SEEDS","Soybean","MAUS 158","Maharashtra"
"OIL SEEDS","Soybean","RKS-24","Rajasthan / 2010"
"OIL SEEDS","Indian mustard/Yellow sarson","RH 0119","Haryana"
"OIL SEEDS","Indian mustard/Yellow sarson","Chhattisgarh Sarson","Chhattisgarh/2007"
"OIL SEEDS","Groundnut","GJG-HPS-1(JSP-HPS-44)","Gujarat/2008"
"OIL SEEDS","Groundnut","RARS-T-1 Groundnut","Andhra Pradesh / 2010"
"OIL SEEDS","Groundnut","RARS-T-2 Groundnut","Andhra Pradesh / 2010"
"OIL SEEDS","Groundnut","Pratap Raj Mungphali","Rajasthan / 2010"
"OIL SEEDS","Groundnut","RG 425","Rajasthan / 2010"
"OIL SEEDS","Castor","K-8501(Chandra Prabha)","Uttar Pradesh/2008"
"OIL SEEDS","Castor","YRCH-1","TamilNadu/2009"
"OIL SEEDS","Taramira","Vallabh  Taramira-1 (PUT 93-11)","Uttar Pradesh/2009"
"OIL SEEDS","Taramira","Vallabh  Taramira-2 (PUT 93-1)","Uttar Pradesh/2009"
"OIL SEEDS","Linseed","Bhagsu","Himachal Pradesh/2009"
"OIL SEEDS","Babchi","Pratap Babchi-1","Rajasthan / 2010"
"PULSE CROPS","Chickpea","Gujarat Junagadh Gram-3","Gujarat/2008"
"PULSE CROPS","Chickpea","(GJG 0207)","Gujarat/2009"
"PULSE CROPS","Chickpea","Kripa","Maharashtra/2009"
"PULSE CROPS","Chickpea","GPF 2","Himachal Pradesh/2008"
"PULSE CROPS","Chickpea","RSG-974 (ABHILASHA)","Rajasthan / 2010"
"PULSE CROPS","Cowpea","Hissar Cowpea-46","Haryana/2009"
"PULSE CROPS","Cowpea","(HC 98-46)","Haryana/2010"
"PULSE CROPS","Cowpea","C 519(Himachal Lobiya 11)","Himachal Pradesh/2008"
"PULSE CROPS","Cowpea","Hidrudaya","Kerala/2010"
"PULSE CROPS","Urdbean/","Mash 114","Punjab/2008"
"PULSE CROPS","Black Gram","UPU 00-31(Himachal Mash 1)","Himachal Pradesh/ 2008"
"PULSE CROPS","Mungbean/Green Gram","VBN(Gg) 3","TamilNadu/2009"
"PULSE CROPS","Mungbean/Green Gram","PKV GREEN GOLD","Maharashtra / 2007"
"PULSE CROPS","Pigeonpea/Red Gram","Rajeevlochan","Chhattisgarh/2006"
"PULSE CROPS","Indian Bean","Gujarat Wal-2","Gujarat/2007"
"SUGAR CROP","Sugarcane","CoC(SC)24","TamilNadu/2009"
"SUGAR CROP","Sugarcane","Co 92005","Maharashtra / 2009"
"FORAGE CROPS","Cluster Bean","HG 870","Haryana/2009"
"FORAGE CROPS","Cluster Bean","GUAR KUNJAL (RGC- 1033)","Rajasthan / 2010"
"FORAGE CROPS","Marvel Grass","Gujarat Anand Marvel Grass-2","Gujarat/2009"
"FIBRE CROPS ","Cotton","LH 2076","Punjab/2008"
"FIBRE CROPS ","Cotton","Phule-688(RHC-688)","Maharashtra/2008"
"FIBRE CROPS ","Cotton","SVPR 4","TamilNadu/2009"
"FIBRE CROPS ","Cotton","HD 432","Haryana/2009"
"FIBRE CROPS ","Cotton","H 1236","Haryana/2009"
"FIBRE CROPS ","Cotton","H 1098 – improved","Haryana/2009"
"FIBRE CROPS ","Cotton","Orugallu Krishna (WGHH-2)","Andhra Pradesh/2010"
