-----
{
 "description": "Approved Outlay for all States and Union Territories for Tenth Plan Period and its Annual Plan period", 
 "file_name": "Approved_Outlay_10th_Plan_State-wise.xls", 
 "title": "Approved Outlay State-wise for Tenth Plan and its period ", 
 "url": "http://data.gov.in/sites/default/files/Approved_Outlay_10th_Plan_State-wise.xls"
}
-----
"Sl. No.","States/UTs (all figures in Rs. Crore)","Approved Annual Plan - 2002-03","Approved Annual Plan - 2003-04","Approved Annual Plan - 2004-05","Approved Annual Plan - 2005-06","Approved Annual Plan - 2006-07","Approved Annual Plan - 10th Plan"
"1.","Andhra Pradesh",10100.0,10970.4568,12790.43,15650.7689,20000.0,69511.6557
"2.","Arunachal Pradesh",676.0,708.0,760.35,950.0,1056.0,4150.35
"3.","Assam",1750.0,1779.9966,2175.0,3000.0,3798.0,12502.9966
"4.","Bihar",2964.4,3319.9977,4000.0,5329.65,8250.0,23864.0477
"5.","Chhatisgarh",1757.0,2335.0,3322.46,4275.0,5378.06,17067.52
"6.","Goa",586.0,649.99029,883.33114,1025.0,1200.0,4344.32143
"7.","Gujarat",7600.0,7860.0,8518.2075,11000.0,12503.5,47481.7075
"8.","Haryana",2034.0,2068.0,2305.71,3000.0,3300.0,12707.71
"9.","Himachal Pradesh",1840.0,1334.9977,1400.38,1600.0,1800.0,7975.3777
"10.","Jammu & Kashmir",2265.15,2500.0,3008.03,4200.0,4347.67,16320.85
"11.","Jharkhand",2651.94,2935.8487,4110.19,4510.12,6500.0,20708.0987
"12.","Karnataka",8610.61,9620.0011,12322.92,13555.0,16166.0,60274.5311
"13.","Kerala",4026.0,4430.0,4852.03,5369.0,6210.0,24887.03
"14.","Madhya Pradesh",4821.0,5702.999,6709.96,7471.0,9020.0,33724.959
"15.","Maharashtra",11562.0,12050.0,9446.73,11000.0,14829.0,58887.73
"16.","Manipur",550.0,590.0,787.72,985.37,1160.0,4073.09
"17.","Meghalaya",545.0,555.0,716.34,800.0,900.0,3516.34
"18.","Mizoram",430.0,479.9973,616.52,685.0,758.0,2969.5173
"19.","Nagaland",424.0,500.0,538.79,620.0,760.0,2842.79
"20.","Orissa",3100.0,3200.0036,2500.0,3000.0,3500.0,15300.0036
"21.","Punjab",2793.0,2822.0,3479.8,3550.0,4000.0,16644.8
"22.","Rajasthan",5160.0,4257.9999,6797.5,8350.0,8501.42,33066.9199
"23.","Sikkim",350.0,405.0,491.07,500.0,550.0,2296.07
"24.","Tamil Nadu",5750.0,7000.003,8001.0,9100.0,12500.0,42351.003
"25.","Tripura",625.0,650.0,700.27,804.001,950.0,3729.271
"26.","Uttar Pradesh",7250.0,7728.0,9661.51,13500.0,19000.0,57139.51
"27.","Uttarakhand",1533.13,1575.0041,1810.4,2700.0,4000.0,11618.5341
"28.","West Bengal",6307.0,3894.0,5019.62,6476.0,8024.36,29720.98
"29.","A & N Islands",402.06,410.0,410.0,661.2906,1119.07,3002.4206
"30.","Chandigarh",165.42,168.0,187.0,201.43,216.66,938.51
"31.","D & N Haveli",56.5,56.0,60.0,65.01,70.42,307.93
"32.","Daman & Diu",44.92,46.0,54.0,59.3,64.12,268.34
"33.","Delhi",4701.16,5025.0,5000.0,5100.0,5200.0,25026.16
"34.","Lakshadweep",92.81,70.0,69.95,82.95,201.69,517.4
"35.","Puducherry",400.0,452.77,615.0,810.0,1410.0,3687.77
"36.","India",103924.1,108150.06579,124122.21864,149985.8905,187243.97,673426.24493
