-----
{
 "description": "This table gives All India (2000 onwards), State wise (2007 onwards) statistics of injuries in factories. The number of injuries is given by the number of persons receiving injuries as a result of an accident. This number is more than the actual number of accidents because one accident may result...", 
 "file_name": "INDUSTRIAL_INJURIES_IN_FACTORIES.XLS", 
 "title": "Industrial Injuries In Factories ", 
 "url": "http://data.gov.in/sites/default/files/INDUSTRIAL_INJURIES_IN_FACTORIES.XLS"
}
-----
"State/ Union Territory"," Fatal Number 2007"," Fatal Number 2008"," Fatal Number 2009"," Fatal Incidence rate(#) 2007"," Fatal Incidence rate(#) 2008"," Fatal Incidence rate(#) 2009","Non-Fatal Number 2007","Non-Fatal Number 2008","Non-Fatal Number 2009","Non-Fatal Incidence rate(#) 2007","Non-Fatal Incidence rate(#) 2008","Non-Fatal Incidence rate(#) 2009"," Total Number 2007"," Total Number 2008"," Total Number 2009"," Total Incidence rate(#) 2007"," Total Incidence rate(#) 2008"," Total Incidence rate(#) 2009"
" Andhra Pradesh",162.0,170.0,139.0,0.19,0.19,0.15,1593.0,1600.0,1061.0,1.91,1.83,1.11,1765.0,1770.0,1200.0,2.11,2.03,1.26
" Assam",11.0,15.0,5.0,0.09,0.14,0.04,65.0,67.0,47.0,0.54,0.62,0.34,76.0,82.0,52.0,0.63,0.76,0.38
" Bihar",11.0,"NA",27.0,0.11,"NA",0.22,151.0,39.0,129.0,1.46,0.34,1.05,162.0,39.0,156.0,1.56,0.34,1.27
" Goa",10.0,7.0,10.0,0.19,0.13,0.15,181.0,161.0,134.0,3.44,2.91,2.07,191.0,168.0,144.0,3.63,3.04,2.23
" Gujarat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Haryana",43.0,33.0,31.0,0.06,0.05,0.04,102.0,90.0,87.0,0.15,0.13,0.12,145.0,123.0,118.0,0.21,0.18,0.16
" Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jharkhand",21.0,23.0,"NA",0.07,0.07,"NA",105.0,214.0,"NA",0.35,0.69,"NA",126.0,237.0,"NA",0.42,0.76,"NA"
" Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Karnataka",23.0,22.0,"NA",0.02,0.02,"NA",2128.0,533.0,"NA",2.02,0.47,"NA",2151.0,555.0,"NA",2.04,0.49,"NA"
" Kerala","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Madhya Pradesh",53.0,54.0,"NA",0.12,0.12,"NA",1570.0,1422.0,"NA",3.5,3.17,"NA",1623.0,1476.0,"NA",3.62,3.29,"NA"
" Maharashtra",342.0,"NA",217.0,0.25,"NA",0.14,6874.0,"NA",3032.0,5.11,"NA",1.98,7216.0,"NA",3249.0,5.37,"NA",2.12
" Manipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Meghalaya","NA",1.0,"NA","NA",0.16,"NA","NA",17.0,28.0,"NA",2.68,4.64,"NA",18.0,28.0,"NA",2.84,4.64
" Orissa",81.0,81.0,122.0,0.49,0.46,0.56,469.0,483.0,426.0,2.85,2.76,1.95,550.0,564.0,548.0,3.34,3.22,2.51
" Punjab","NA",3.0,35.0,"NA",0.01,0.06,"NA",226.0,248.0,"NA",0.38,0.42,"NA",229.0,283.0,"NA",0.39,0.48
" Rajasthan",60.0,49.0,56.0,0.13,0.08,0.09,1145.0,607.0,699.0,2.45,1.01,1.15,1205.0,656.0,755.0,2.58,1.1,1.25
" Tamil Nadu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Tripura",1.0,"NA",2.0,0.02,"NA",0.04,2.0,1.0,4.0,0.05,0.02,0.08,3.0,1.0,6.0,0.07,0.02,0.12
"Uttarakhand","NULL",20.0,24.0,"NULL",0.19,0.15,"NULL",34.0,40.0,"NULL",0.33,0.24,"NULL",54.0,64.0,"NULL",0.52,0.39
" Uttar Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" West Bengal",1.0,"NA","NA","NA","NA","NA",42.0,"NA","NA",0.04,"NA","NA",43.0,"NA","NA",0.05,"NA","NA"
" A. & N. Islands","NA","NA","NA","NA","NA","NA",38.0,"NA",40.0,"NA","NA",7.33,38.0,"NA",40.0,7.39,"NA",7.33
" Chandigarh",2.0,"NA","NA",0.08,"NA","NA",4.0,"NA",8.0,0.08,"NA",0.72,6.0,"NA",8.0,0.5,"NA",0.72
" Dadra and Nagar Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Puducherry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
