"Year","Coal (Million Tonnes)","Lignite (Million Tonnes)","Crude Petroleum (Million Tonnes)","Natural Gas (Billion Cubic Metres)","Electricity* Hydro & Nuclear (GWh)"
"2000-01",325.448,24.588,106.523,27.86,91264.0
"2001-02",343.12,24.57,110.74,28.04,93054.0
"2002-03 ",361.75,26.03,115.03,29.96,83404.0
"2003-04",379.41,28.48,123.81,30.91,93022.0
"2004-05",404.69,30.09,129.84,30.78,101621.0
"2005-06",432.271,30.239,131.599,31.325,118818.0
"2006-07",462.353,30.808,145.49,30.791,132304.0
"2007-08",502.818,34.654,155.79,31.478,137344.0
"2008-09 ",549.57,31.85,166.283,31.77,142576.0
"2009-10 ",585.3,34.41,192.77,46.51,125316.0
"2010-2011 (P)",589.87,37.73,206.15,51.25,140524.0
