-----
{
 "description": "This table give All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of Fruits like Apple, Banana, Citrus, Grape, Guava, Litchi, Mango, Papaya, Pineapple, Pomegranate, Sapota, and Others.", 
 "file_name": "AREA_AND_PRODUCTION_OF_FRUITS.xls", 
 "title": "All India and State Wise Area and Production of Fruits ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_FRUITS.xls"
}
-----
"State/Union Territory","Apple 2009-10 Area (in '000 Hectare)","Apple 2010-11 Area (in '000 Hectare)","Apple 2009-10 Production (in '000 Tonne)","Apple 2010-11 Production (in '000 Tonne)","Banana 2009-10 Area (in '000 Hectare)","Banana 2010-11 Area (in '000 Hectare)","Banana 2009-10 Production (in '000 Tonne)","Banana 2010-11 Production (in '000 Tonne)","Citrus 2009-10 Area (in '000 Hectare)","Citrus 2010-11 Area (in '000 Hectare)","Citrus 2009-10 Production (in '000 Tonne)","Citrus 2010-11 Production (in '000 Tonne)","Grape 2009-10 Area (in '000 Hectare)","Grape 2010-11 Area (in '000 Hectare)","Grape 2009-10 Production (in '000 Tonne)","Grape 2010-11 Production (in '000 Tonne)","Guava 2009-10 Area (in '000 Hectare)","Guava 2010-11 Area (in '000 Hectare)","Guava 2009-10 Production (in '000 Tonne)","Guava 2010-11 Production (in '000 Tonne)","Litchi 2009-10 Area (in '000 Hectare)","Litchi 2010-11 Area (in '000 Hectare)","Litchi 2009-10 Production (in '000 Tonne)","Litchi 2010-11 Production (in '000 Tonne)","Mango 2009-10 Area (in '000 Hectare)","Mango 2010-11 Area (in '000 Hectare)","Mango 2009-10 Production (in '000 Tonne)","Mango 2010-11 Production (in '000 Tonne)","Papaya 2009-10 Area (in '000 Hectare)","Papaya 2010-11 Area (in '000 Hectare)","Papaya 2009-10 Production (in '000 Tonne)","Papaya 2010-11 Production (in '000 Tonne)","Pineapple 2009-10 Area (in '000 Hectare)","Pineapple 2010-11 Area (in '000 Hectare)","Pineapple 2009-10 Production (in '000 Tonne)","Pineapple 2010-11 Production (in '000 Tonne)","Pomegranate 2009-10 Area (in '000 Hectare)","Pomegranate 2010-11 Area (in '000 Hectare)","Pomegranate 2009-10 Production (in '000 Tonne)","Pomegranate 2010-11 Production (in '000 Tonne)","Sapota 2009-10 Area (in '000 Hectare)","Sapota 2010-11 Area (in '000 Hectare)","Sapota 2009-10 Production (in '000 Tonne)","Sapota 2010-11 Production (in '000 Tonne)","Others 2009-10 Area (in '000 Hectare)","Others 2010-11 Area (in '000 Hectare)","Others 2009-10 Production (in '000 Tonne)","Others 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Andhra Pradesh","NA",12.8,"NA","NA",80.6,79.3,2819.6,2774.8,281.3,128.2,3883.7,1805.6,1.4,1.3,29.8,27.6,10.1,8.5,150.8,128.2,"NA","NA","NA","NA",480.4,391.1,4058.3,3363.4,18.8,14.2,1500.7,1138.4,"NA","NA","NA","NA",5.6,2.8,56.4,27.8,17.1,12.2,171.4,122.1,25.9,"NA",247.6,"NA",921.2,650.4,12918.3,9387.9
" Arunachal Pradesh",12.8,"NA",10.0,10.0,5.4,5.4,13.3,13.3,34.1,34.1,35.6,35.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.9,10.9,34.4,34.4,"NA","NA","NA","NA","NA","NA","NA","NA",8.8,"NA",14.7,"NA",72.0,50.4,108.0,93.3
" Assam","NA","NA","NA","NA",53.4,47.6,805.2,723.6,24.2,27.4,225.9,268.2,"NA","NA","NA","NA",4.7,4.9,88.2,97.3,5.1,5.2,39.2,40.5,4.6,4.8,46.5,47.5,7.2,7.4,119.1,134.4,14.2,14.0,223.0,220.7,"NA","NA","NA","NA","NA","NA","NA","NA",3.9,"NA",28.3,"NA",117.3,111.3,1575.4,1532.2
" Bihar","NA","NA","NA","NA",31.5,31.9,1435.3,1517.1,17.9,18.0,131.2,130.7,"NA","NA","NA","NA",29.2,29.4,231.5,235.2,30.6,31.1,215.1,227.0,146.0,147.0,995.9,1334.9,1.5,1.6,35.6,38.2,4.7,4.9,125.0,129.4,"NA","NA","NA","NA","NA","NA","NA","NA",32.2,"NA",295.3,"NA",293.6,263.9,3464.9,3612.5
" Chhattisgarh","NA","NA","NA","NA",11.5,14.8,296.9,351.4,8.6,10.2,55.4,67.2,"NA",0.0,0.1,0.0,11.6,13.4,90.8,102.8,3.0,3.9,17.8,21.4,43.3,49.8,191.8,237.0,9.3,10.6,211.7,247.1,"NA","NA","NA","NA",0.1,0.1,0.4,0.3,0.2,0.2,0.7,0.8,37.6,"NA",320.2,"NA",125.2,103.0,1185.8,1028.0
" Goa","NA","NA","NA","NA",2.3,2.3,25.1,25.1,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.6,4.6,7.6,7.6,"NA","NA","NA","NA",0.3,0.3,4.5,4.7,"NA","NA","NA","NA","NA","NA","NA","NA",3.8,"NA",41.2,"NA",11.0,7.2,78.4,37.4
" Gujarat","NA","NA","NA","NA",61.9,64.7,3779.8,3978.0,37.1,39.2,385.6,409.1,"NA","NA","NA","NA",9.8,10.2,156.6,150.7,"NA","NA","NA","NA",121.5,130.1,856.7,911.3,15.3,17.8,832.9,974.0,"NA","NA","NA","NA",4.4,5.8,45.6,60.3,27.4,28.8,272.6,288.0,75.5,"NA",655.2,"NA",352.9,296.6,6985.0,6771.4
" Haryana","NA",101.5,"NA","NA","NA","NA","NA","NA",13.8,17.2,98.3,130.0,0.1,0.1,1.9,1.1,7.8,9.3,55.8,71.6,0.2,0.2,0.4,1.1,9.1,8.7,64.6,72.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.1,1.3,5.7,6.3,9.3,"NA",77.2,"NA",41.4,138.3,303.9,282.9
" Himachal Pradesh",99.6,141.7,280.1,892.1,0.1,0.1,0.3,0.4,22.1,22.3,28.1,28.7,0.1,0.1,0.2,0.1,2.2,2.2,2.3,3.1,4.3,4.4,3.4,3.0,38.7,39.2,24.0,31.5,0.2,0.2,1.0,0.9,"NA","NA","NA","NA",1.3,1.4,0.5,0.6,0.1,0.1,"NA",0.0,39.9,"NA",42.9,"NA",208.6,211.7,382.8,960.4
" Jammu & Kashmir",138.1,"NA",1373.0,1852.4,"NA","NA","NA","NA",12.8,13.4,19.1,19.0,0.3,0.3,0.5,0.6,2.0,2.3,7.2,5.4,"NA",0.6,"NA",1.7,10.7,11.8,12.1,41.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",45.9,"NA",122.8,"NA",209.8,28.4,1534.7,1920.2
