-----
{
 "description": "This data provides state-wise percentage of distribution of rural and urban households by type of dwellings such as independent house, flat and others.", 
 "file_name": "DISTRIBUTION_OF_RURAL_HOUSEHOLDS_BY_TYPE_OF_DWELLINGS.xls", 
 "title": "State-wise Percentage Of Distribution Of Rural And Urban Households By Type Of Dwellings ", 
 "url": "http://data.gov.in/sites/default/files/DISTRIBUTION_OF_RURAL_HOUSEHOLDS_BY_TYPE_OF_DWELLINGS.xls"
}
-----
"India/State/Union Territory"," Independent House- NSS 59th Round (Jan. 2003-Dec. 2003)","Flat- NSS 59th Round (Jan. 2003-Dec. 2003)"," others- NSS 59th Round (Jan. 2003-Dec. 2003)"," Independent House- NSS 65th Round (July. 2008-June. 2009)","Flat- NSS 65th Round (July. 2008-June. 2009)"," others- NSS 65th Round (July. 2008-June. 2009)"
"All India ",63.3,20.6,16.0,58.1,24.4,17.4
"Andhra Pradesh",58.8,32.3,8.9,37.5,53.1,9.4
"Arunachal Pradesh","NA","NA","NA",74.0,6.7,18.4
"Assam",80.8,9.4,9.8,74.8,12.8,12.0
"Bihar",68.3,19.0,12.7,58.6,17.2,23.9
"Chattisgarh","NA","NA","NA",57.7,10.7,29.5
"Goa","NA","NA","NA",42.1,46.1,11.8
"Gujarat",73.6,13.2,13.1,74.1,13.8,12.2
"Haryana",77.5,16.8,5.7,72.6,8.7,18.7
"Himachal Pradesh","NA","NA","NA",35.5,54.5,10.0
"Jammu and Kashmir",85.1,8.1,6.8,63.3,14.5,22.2
"Jharkhand",55.0,25.1,20.0,68.3,20.4,11.2
"Karnataka",74.9,15.2,9.8,65.7,31.7,2.7
"Kerala",86.0,9.0,5.0,81.4,11.9,6.7
"Madhya Pradesh",84.7,9.7,5.6,76.0,15.1,8.8
"Maharashtra",32.6,23.8,43.6,41.4,24.9,33.7
"Manipur","NA","NA","NA",96.4,0.5,3.0
"Meghalaya","NA","NA","NA",67.6,18.1,14.3
"Mizoram","NA","NA","NA",66.1,31.6,0.5
"Nagaland","NA","NA","NA",67.2,12.2,20.1
"Orissa",79.5,13.8,6.6,79.3,12.7,8.0
"Punjab",75.7,14.6,9.6,69.7,16.9,13.4
"Rajasthan",79.6,10.7,9.7,68.8,4.8,26.4
"Sikkim","NA","NA","NA",15.3,79.6,5.1
"Tamil Nadu",57.1,34.5,8.3,55.3,35.0,9.7
"Tripura","NA","NA","NA",88.2,1.7,10.1
"Uttarakhand","NA","NA","NA",54.2,37.1,8.7
"Uttar Pradesh",78.3,11.8,9.9,65.7,15.1,19.2
"West Bengal",55.7,24.0,20.2,48.7,23.5,27.8
"North Eastern States*",78.4,8.4,13.2,"NA","NA","NA"
"Union Territories**",62.0,33.4,4.7,"NA","NA","NA"
"A. & N. Islands","NA","NA","NA",30.4,54.9,14.7
"Chandigarh","NA","NA","NA",59.9,22.7,17.3
"D. & N. Haveli","NA","NA","NA",26.2,49.3,24.6
"Daman and Diu","NA","NA","NA",70.4,19.9,9.7
"Delhi",50.6,31.1,18.3,48.7,25.9,25.3
"Lakshadweep","NA","NA","NA",93.7,2.4,3.9
"Puducherry","NA","NA","NA",54.3,37.8,7.9
