-----
{
 "description": "This table shows the state-wise (2010-11), all India (2000 onwards) distribution of number of disputes, workers involved and the number of mandays lost on account of industrial disputes resulting in work - stoppages.", 
 "file_name": "INDUSTRIAL_DISPUTES_1.xls", 
 "title": "Industrial Disputes ", 
 "url": "http://data.gov.in/sites/default/files/INDUSTRIAL_DISPUTES_1.xls"
}
-----
" State/ Union Territory","No. of disputes 2010","No. of disputes 2011","No. of workers involved 2010","No. of workers involved 2011","No. of mandays lost 2010","No. of mandays lost 2011"
" Andhra Pradesh",17.0,21.0,29096.0,64222.0,439877.0,372108.0
" Arunachal Pradesh","NA","NA","NA","NA","NA","NA"
" Assam","NA",6.0,"NA",6991.0,"NA",37303.0
" Bihar",2.0,2.0,9422.0,18456.0,73209.0,88826.0
" Chattisgarh",12.0,3.0,36229.0,1468.0,36666.0,1595.0
" Goa ","NA","NA","NA","NA","NA","NA"
" Gujarat",34.0,28.0,17703.0,4658.0,145821.0,43439.0
" Haryana",11.0,5.0,2865.0,6558.0,141461.0,120018.0
" Himachal Pradesh",3.0,"NA",745.0,"NA",21517.0,"NA"
" Jammu & Kashmir","NA","NA","NA","NA","NA","NA"
" Jharkhand",1.0,"NA",2000.0,"NA",110000.0,"NA"
" Karnataka",12.0,15.0,68179.0,60259.0,85870.0,116490.0
" Kerala",27.0,31.0,45608.0,44448.0,274483.0,381818.0
" Madhya Pradesh",8.0,3.0,22117.0,124428.0,22626.0,124428.0
" Maharashtra",15.0,4.0,97240.0,50007.0,99294.0,50007.0
" Manipur","NA","NA","NA","NA","NA","NA"
" Meghalaya",1.0,"NA",440.0,"NA",416.0,"NA"
" Mizoram","NA","NA","NA","NA","NA","NA"
" Nagaland","NA","NA","NA","NA","NA","NA"
" Orissa","NA",2.0,"NA",1179.0,"NA",16850.0
" Punjab",3.0,1.0,1172.0,2015.0,9422.0,34255.0
" Rajasthan",14.0,15.0,32019.0,32640.0,172619.0,140208.0
" Sikkim","NA","NA","NA","NA","NA","NA"
" Tamil Nadu",89.0,64.0,106931.0,152249.0,1171128.0,3348342.0
" Tripura","NA","NA","NA","NA","NA","NA"
" Uttar Pradesh",5.0,2.0,12742.0,12455.0,12742.0,12455.0
" Uttarakhand",2.0,"NA",13632.0,"NA",15479.0,"NA"
" West Bengal",16.0,4.0,186297.0,62437.0,268803.0,62450.0
" A. & N. Islands","NA","NA","NA","NA","NA","NA"
" Chandigarh","NA","NA","NA","NA","NA","NA"
" D. and N. Haveli","NA","NA","NA","NA","NA","NA"
" Delhi","NA","NA","NA","NA","NA","NA"
" Daman & Diu","NA","NA","NA","NA","NA","NA"
" Lakshadeweep","NA","NA","NA","NA","NA","NA"
" Puducherry",2.0,4.0,329.0,950.0,622.0,24018.0
