-----
{
 "description": "This table gives the statistics on electricity-installed capacity, generation and consumption (utilities only).", 
 "file_name": "ELECTRICITY-INSTALLED_CAPACITY_GENERATION_AND_CONSUMPTION.xls", 
 "title": "Electricity-Installed Capacity / Generation And Consumption (Utilities Only) ", 
 "url": "http://data.gov.in/sites/default/files/ELECTRICITY-INSTALLED_CAPACITY_GENERATION_AND_CONSUMPTION.xls"
}
-----
" Year","                      Installed Capacity (1) Hydro","                      Installed Capacity (1) Steam","                      Installed Capacity (1)  Diesel and Wind","                      Installed Capacity (1) Gas","                      Installed Capacity (1) Nuclear","                      Installed Capacity (1) Total","  Electricity gener  ated (gross) Hydro","  Electricity gener  ated (gross) Steam","  Electricty generated(gross)-Concld. Diesel and Wind","  Electricty generated(gross)-Concld. Gas","  Electricty generated(gross)-Concld. Nuclear","  Electricty generated(gross)-Concld. Total","Consumption in power station auxiliaries","Electricity generated  (net)","Consumption","Utilities/
Non Utilities","Non-Utilities","Total@"
" 2000-01",25153.0,61011.0,2141.0,10462.0,2860.0,101626.0,74362.0,357178.0,4581.0,48182.0,16902.0,501204.0,34932.03,466271.97,316599.61,314.74,51.38,366.12
" 2001-02",26269.0,62131.0,2763.0,11163.0,2720.0,105046.0,73580.0,370884.0,6402.0,47099.0,19475.0,517440.0,36605.68,480834.32,322459.33,310.67,50.3,360.97
" 2002-03",26767.0,63951.0,2806.0,11633.0,2720.0,107877.0,64014.0,389550.0,7052.0,52687.0,19390.0,532693.0,38257.0,494436.0,339598.27,321.9,51.1,373.0
" 2003-04",29507.0,64956.0,3661.0,11840.0,2720.0,112684.0,75243.0,407284.0,6867.0,57928.0,17780.0,565102.0,39801.0,525301.0,360937.2,336.5,53.5,390.0
" 2004-05",30942.0,67791.0,5013.0,11910.0,2770.0,118426.0,84610.0,424244.0,7066.0,61525.0,17011.0,594456.0,41590.0,552866.0,386133.7,354.3,56.8,411.1
" 2005-06",32326.0,68519.0,7393.0,12690.0,3360.0,124288.0,101494.0,435494.0,8706.0,60802.0,17324.0,623818.0,41970.0,581848.0,411886.9,372.1,56.5,428.6
" 2006-07",34654.0,71121.0,8963.0,13692.0,3900.0,132330.0,113502.0,461794.0,12399.0,64157.0,18802.0,670654.0,43577.0,627077.0,455748.5,671.9,"NA",671.9
" 2007-08",35909.0,76019.0,12327.0,14686.0,4120.0,143061.0,120387.0,486998.0,28567.0,69716.0,16957.0,722625.0,45531.0,677094.0,501977.1,717.0,"NA",717.0
" 2008-09",36878.0,77649.0,14442.0,14877.0,4120.0,147966.0,110099.0,511895.0,32649.0,71597.0,14927.0,741167.0,47404.0,693763.0,527564.0,733.5,"NA",733.5
