-----
{
 "description": "This data provides value of exports of merchandise (Indian produce and manufactures), from India by principal countries of destination from 2000-01 to 2011-12.", 
 "file_name": "VALUE_OF_EXPORTS_OF_MERCHANDISE.xls", 
 "title": "Value Of Exports Of Merchandise From India By Principal Countries Of Destination From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/VALUE_OF_EXPORTS_OF_MERCHANDISE.xls"
}
-----
"Country","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Argentina",4500.1,3081.8,2917.7,4012.9,8371.5,8832.77,9536.446,11656.9,16096.7,12764.7,18432.1642,22767.0681
"Australia",18541.9,19936.3,24399.8,26849.1,32361.7,36358.627,41839.721,46301.3,65763.3,65589.5,78029.7641,119902.198
"Austria",3701.4,3640.5,3925.4,4888.2,5263.5,5864.935,5969.83,7372.5,23228.1,12003.9,26926.8201,16314.037
"BahrainIslands",3593.8,3605.2,4817.1,5129.5,7030.2,8511.486,8256.115,10133.4,13140.7,11850.7,29327.6837,21183.4431
"Barbados",139.7,50.8,119.2,54.4,78.0,102.438,120.186,101.4,176.2,204.2,248.2313,361.5882
"Bangladesh",42716.8,47795.8,56912.9,79989.8,73288.8,73687.218,73692.403,117432.1,113172.1,115010.7,147525.0796,183867.4037
"Belgium",67181.4,66321.3,80425.0,82975.6,112764.8,127119.559,157168.011,169431.0,203094.0,177570.5,263472.2527,342080.8414
"Brazil",10326.7,10444.9,23183.0,12665.2,30471.2,48285.341,66861.535,101317.8,118744.1,113648.3,183364.82,275768.8268
"Cambodia","NA","NA","NA",854.7,"NA",1071.002,2338.623,2151.0,2150.8,2155.3,3048.3233,4775.3351
"Canada",29990.5,27891.0,33792.8,35070.0,38946.8,45228.703,52218.063,50940.1,62467.9,53205.8,61400.3415,99238.2309
"Chile",4954.6,3970.5,3490.7,3814.8,4996.6,6736.105,16979.592,10044.4,17767.7,13188.8,23133.6649,25144.5378
"China,People'sRepublicof",37977.6,45400.4,95603.9,135790.6,252329.7,299249.128,375148.651,435974.2,426613.3,547139.3,704139.4186,876693.6876
"Congo(People'sRepublicofCongo)",1800.3,1833.6,2582.9,2815.3,4190.2,4941.863,6094.317,168.6,963.0,9300.2,11003.2043,16366.4342
"Cuba",220.1,282.3,232.5,227.5,334.2,527.466,1214.867,770.2,1707.6,1078.1,1162.7082,1740.7179
"Czechoslovakia",1753.6,1959.4,2779.0,4044.6,3953.8,4288.759,4631.288,7258.1,8329.9,8413.9,9819.0703,13065.8506
"Denmark",7966.6,7242.4,8888.6,11115.4,13737.4,18164.703,20713.497,19965.1,26765.2,27497.7,31424.6575,36164.4071
"Egypt,ArabRepublicof",16331.4,22068.6,14433.5,16886.5,19982.4,29770.624,34336.287,56213.1,75946.4,66381.8,90264.3287,117357.3378
"Ethiopia",3041.1,4331.7,2998.9,3696.1,2493.9,3308.999,5184.347,7958.0,11429.2,12061.4,12454.5391,22416.5383
"France",46598.6,45068.9,51981.1,58858.4,75527.2,92070.758,95708.162,104541.5,137767.1,179994.1,236880.6598,220219.2071
"Germany,FederalRepublic",87146.0,85290.1,101953.4,116926.1,126987.5,158770.178,180433.5,205989.3,291947.5,256329.3,307331.4597,379817.3999
"Ghana",2690.1,3262.7,5112.3,8394.1,8226.2,8890.982,20844.578,32496.2,24971.7,18444.5,26368.3545,38430.588
"Greece",5184.6,5080.6,7196.2,9192.0,13764.2,24974.387,30408.984,21366.0,40632.4,21497.7,16573.872,37722.564
"HongKong",120646.2,112856.0,126472.7,149885.2,165879.0,197961.04,211954.926,253852.5,303906.9,373005.3,470384.1627,618772.3464
"Hungary",1949.0,2226.9,2335.7,4221.5,4856.9,3726.13,4684.621,9246.6,19966.8,12818.3,9680.513,15159.2275
"Indonesia",18262.4,25453.5,39977.4,51796.8,59875.7,61106.322,91736.028,86927.8,115778.3,146046.4,259248.3386,321007.5115
"Iran",10369.0,12067.6,31685.8,42188.5,55328.3,52612.379,65646.358,78448.3,115651.7,88074.3,113371.0752,115118.0346
"Iraq",3838.5,9862.1,10399.2,3454.0,5894.5,6904.106,9206.655,10913.0,19812.7,22633.1,30750.5704,37084.9874
"Ireland",4713.7,4882.5,6572.7,6935.6,9525.0,12386.437,10221.454,12641.5,20349.7,12356.4,12299.4576,18382.8941
