-----
{
 "description": "This table shows department wise expenditure incurred on pay and allowances on civilian employees by the central ministries/departments.", 
 "file_name": "EXPENDITURE_INCURRED_ON_PAY_AND_ALLOWANCES_OF_CIVILIAN_EMPLOYEES_BY_THE_CENTRAL_MINISTRIES-DEPARTMENTS.xls", 
 "title": "Expenditure Incurred On Pay And Allowances On Civilian Employees By The Central Ministries/Departments ", 
 "url": "http://data.gov.in/sites/default/files/EXPENDITURE_INCURRED_ON_PAY_AND_ALLOWANCES_OF_CIVILIAN_EMPLOYEES_BY_THE_CENTRAL_MINISTRIES-DEPARTMENTS.xls"
}
-----
"Ministry/
Department","Pay* (Crore)","DA (Crore)","HRA (Crore)","CCA (Crore)","OTA (Crore)","TPT (Crore)","Others (Crore)"," Total (Crore)","Travel Allowance (Crore)","Bonus (Crore)","Honararium (Crore)","Encashment of E.L. (Crore)"
"2005-06",27394.84,5718.8,2785.26,424.86,928.16,276.13,1711.4,39239.45,1189.49,1243.18,37.65,518.18
"2006-07",27834.68,7727.1,2678.02,417.93,796.84,286.73,1935.03,41676.33,1418.14,1220.18,42.18,542.83
"2007-08",27658.65,10748.22,2732.86,383.64,746.83,291.13,2225.58,44786.91,1445.3,1244.39,49.2,621.61
"2008-09","44808.96","10338.76","4060.34","190.89","869.72","1770.33","3571.18","65610.18","1844.81","1970.91","49.27",896.27
"2009-10","59623.22","11689.30","5183.43","NULL","881.24","3334.65","6626.41","87338.25","2489.45","1666.04","69.84",1301.52
"2010-11","48575.18","19963.52","5479.36","NULL","1203.82","4076.44","6965.18","85963.50","2896.50","1512.91","80.28",1348.82
