"Year/States","Ayurveda - Hosp. 2010","Ayurveda - Beds 2010","Ayurveda - Hosp. 2011","Ayurveda - Beds 2011","Unani - Hosp. 2010","Unani - Beds 2010","Unani - Hosp. 2011","Unani - Beds 2011","Siddha - Hosp. 2010","Siddha - Beds 2010","Siddha - Hosp. 2011","Siddha - Beds 2011","Yoga - Hosp. 2010","Yoga - Beds 2010","Yoga - Hosp. 2011","Yoga - Beds 2011","Naturopathy - Hosp. 2010","Naturopathy - Beds 2010","Naturopathy - Hosp. 2011","Naturopathy - Beds 2011","Homoeopathy - Hosp. 2010","Homoeopathy - Beds 2010","Homoeopathy - Hosp. 2011","Homoeopathy - Beds 2011","Amchi - Hosp. 2010","Amchi - Beds 2010","Amchi - Hosp. 2011","Amchi - Beds 2011","Total - Hosp. 2010","Total - Beds 2010","Total - Hosp. 2011","Total - Beds 2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOTAL",2458.0,44820.0,2420.0,"NA",269.0,4894.0,258.0,"NA",275.0,2576.0,269.0,"NA",4.0,35.0,6.0,"NA",24.0,661.0,23.0,"NA",245.0,9631.0,215.0,"NA",32.0,2.0,32.0,"NA",3277.0,62649.0,3193.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andhra Pradesh",8.0,514.0,8.0,"NA",6.0,310.0,6.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.0,300.0,6.0,"NA","NA","NA","NA","NA",20.0,1124.0,20.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arunachal Pradesh",11.0,110.0,11.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,25.0,1.0,"NA","NA","NA","NA","NA",12.0,135.0,12.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Assam",1.0,100.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.0,105.0,3.0,"NA","NA","NA","NA","NA",4.0,205.0,4.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bihar",11.0,1356.0,11.0,"NA",4.0,459.0,4.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.0,510.0,11.0,"NA","NA","NA","NA","NA",26.0,2325.0,26.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chhattisgarh",9.0,690.0,9.0,"NA",1.0,90.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,50.0,1.0,"NA",3.0,100.0,3.0,"NA","NA","NA","NA","NA",14.0,930.0,14.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Delhi",17.0,718.0,3.0,"NA",3.0,222.0,2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,150.0,2.0,"NA","NA","NA","NA","NA",22.0,1090.0,7.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Goa",1.0,120.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,25.0,1.0,"NA","NA","NA","NA","NA",2.0,145.0,2.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gujarat",51.0,2059.0,41.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.0,873.0,16.0,"NA","NA","NA","NA","NA",67.0,2932.0,57.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haryana",8.0,735.0,8.0,"NA",1.0,10.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,50.0,1.0,"NA","NA","NA","NA","NA",10.0,795.0,10.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
