"Year","  Men","Women","Total"
" 2001-02",33820.0,19299.0,53119.0
" 2002-03",41483.0,23874.0,65357.0
" 2003-04",40275.0,25250.0,65525.0
" 2004-05",32526.0,22826.0,55352.0
" 2005-06",21728.0,14291.0,36019.0
" 2006-07",22020.0,15528.0,37548.0
" 2007-08",62153.0,38891.0,101044.0
" 2008-09",0.0,0.0,0.0
" 2009-10",54775.0,37436.0,92211.0
