-----
{
 "description": "This data provides the summary of the value of import and export of merchandise trade by revised economic regions from 2008-09 to 2011-12.", 
 "file_name": "SUMMARY_OF_THE_VALUE_OF_MERCHANDISE_TRADE_BY_REVISED_ECONOMIC_REGIONS_1.xls", 
 "title": "Summary Of The Value Of Merchandise Trade By Revised Economic Regions From 2008-09 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/SUMMARY_OF_THE_VALUE_OF_MERCHANDISE_TRADE_BY_REVISED_ECONOMIC_REGIONS_1.xls"
}
-----
"Economic Region","Imports (2008-09)","Exports (2008-09)","Balance (2008-09)","Imports (2009-10)","Exports (2009-10)","Balance (2009-10)","Imports (2010-11)","Exports (2010-11)","Balance (2010-11)","Imports (2010-11)","Exports (2010-11)","Balance (2010-11)"
"REGION 01:WEST AFRICA",501718.350356,154659.719886,-347058.63047,465589.966665,148520.203261,-317069.763404,585046.563159,195383.680582,-389662.882577,867516.792127,311101.915669,-556414.876458
"REGION 02:SOUTHERN AFRICAN CUSTOMS UNION(SACU)",251716.387317,98937.00434,-152779.382977,272933.216771,103181.158623,-169752.058148,333261.954905,187665.513459,-145596.441446,482001.608521,234919.797538,-247081.810983
"REGION 03:OTHER SOUTH AFRICAN COUNTRIES",77458.252445,43900.630188,-33557.622257,209178.155053,53480.247116,-155697.907937,239387.781725,68724.711238,-170663.070487,331753.861336,63871.390838,-267882.470498
"REGION 04:CENTRAL AFRICA",6397.52851,17718.233098,11320.704588,12667.841798,16566.056563,3898.214765,2073.886531,21162.3434,19088.456869,2467.026666,34053.9605,31586.933834
"REGION 05: EAST AFRICA",16612.081769,201496.903904,184884.822135,18345.540422,166571.342114,148225.801692,26346.481202,243105.758144,216759.276942,25990.762875,317480.038681,291489.275806
"REGION 06:NORTH AFRICA",262486.53638,154805.802899,-107680.733481,231560.531365,148060.218816,-83500.312549,268439.138561,181412.418955,-87026.719606,358306.511128,225943.389381,-132363.121747
"REGION 07:NORTH AMERICA",1041130.4901,1057157.26689,16026.77679,954468.696814,1005481.75611,51013.059292,1058706.34456,1255088.97495,196382.630388,1437134.14536,1829806.1152,392671.969845
"REGION 08:LATIN AMERICA",368559.476367,248598.668955,-119960.807412,440418.769482,264583.657917,-175835.111565,593073.516256,425059.04877,-168014.467486,769034.298036,586519.97531,-182514.322726
"REGION 09:EAST ASIA",536546.688467,79966.09055,-456580.597917,615896.320945,80148.130595,-535748.19035,530710.982489,113871.750178,-416839.232311,765449.062344,136213.330018,-629235.732326
"REGION 10:ASEAN COUNTRIES",1194214.54037,865251.873567,-328962.666805,1222197.78032,859024.719997,-363173.060327,1394393.26035,1166583.22896,-227810.031385,2029753.1594,1759266.22258,-270486.936822
"REGION 11:WEST ASIA GCC",2665987.03861,1447333.10415,-1218653.93446,2522887.79396,1442574.04739,-1080313.74657,3410939.77283,1931936.85162,-1479002.92121,4814646.01902,2176241.72928,-2638404.28974
"REGION 12:OTHER WEST ASIAN COUNTRIES",1117785.30846,279039.973441,-838745.335019,1089028.704,272364.904696,-816663.7993,1129210.84538,352924.055057,-776286.790327,1813132.60252,457224.021728,-1355908.58079
"REGION 13:NORTH-EAST ASIA",2660966.61121,1160280.81212,-1500685.7991,2532297.88752,1363210.2269,-1169087.66062,3466315.74597,1696711.79215,-1769603.95382,4726338.57195,2181180.15909,-2545158.41286
"REGION 14:SOUTH ASIA",82644.533003,388208.205657,305563.672654,78368.424465,396459.923023,318091.498558,98878.392071,530187.25205,431308.859979,124735.138421,640480.932124,515745.793703
"REGION 16:EUROPEAN UNION(EU)",1944348.88994,1792144.24442,-152204.645516,1819368.94053,1704266.12282,-115102.817709,2027785.81719,2097076.16776,69290.350564,2801818.89822,2519507.88676,-282311.011458
"REGION 17:EUROPEAN FREE TRADE ASSOCIATION(EFTA)",578431.762147,53246.398195,-525185.363952,735913.054834,39534.067355,-696378.987479,1171003.67705,43441.886962,-1127561.79009,1593049.0158,70082.753144,-1522966.26265
"REGION 18:OTHER EUROPEAN COUNTRIES",67858.74865,69536.865736,1678.117086,79424.532414,78481.945433,-942.586981,39777.353357,131665.752822,91888.399465,52208.914754,177731.668919,125522.754165
"REGION 19:CAR COUNTRIES",12033.22134,11833.252249,-199.969091,10081.783071,12766.963828,2685.180757,8792.810527,13783.662549,4990.852022,12125.028936,20620.395234,8495.366298
"REGION 20:OTHER COMMONWEALTH OF INDEPENDENT STATES(CIS) COUNTRIES",290642.582353,75455.813657,-215186.768696,279225.053773,67013.232101,-212211.821672,249321.650023,108363.625563,-140958.02446,391310.133995,126667.193139,-264642.940856
"UNCLASSIFIED",66823.637732,207979.723211,141156.085479,47502.481913,233047.513608,185545.031695,201203.583138,665070.742628,463867.15949,55860.89342,790681.070481,734820.177061
"Total",13744362.6655,8407550.58711,-5336812.07842,13637355.4761,8455336.43826,-5182019.03786,16834669.5573,11429219.2178,-5405450.33949,23454632.4448,14659593.9456,-8795038.4992
