-----
{
 "description": "Data provides all India (from 2001 to 2010) and state-wise (2008-09 and 2009-10) details on the number of registered newspapers and periodicals.", 
 "file_name": "NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_STATES_AND_PERIODICITY.xls", 
 "title": "Number of Registered Newspapers And Periodicals By States And Periodicity ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_STATES_AND_PERIODICITY.xls"
}
-----
"State/U. T.","Dailies-2008-09","Dailies-2009-10","Bi/Tri Weekly-2008-09","Bi/Tri Weekly-2009-10","Weekly-2008-09","Weekly-2009-10","Fortnightly-2008-09","Fortnightly-2009-10","Monthly-2008-09","Monthly-2009-10","Quarterly-2008-09","Quarterly-2009-10","Annual-2008-09","Annual-2009-10","Others-2008-09","Others-2009-10","Total-2008-09","Total-2009-10"
" Andhra Pradesh",764.0,912.0,9.0,9.0,830.0,861.0,554.0,587.0,1481.0,1591.0,150.0,155.0,7.0,7.0,89.0,91.0,3884.0,7333.0
" Arunachal Pradesh",4.0,4.0,1.0,1.0,6.0,7.0,"NA","NA",2.0,2.0,2.0,2.0,"NA","NA","NA","NA",15.0,27.0
" Assam",73.0,83.0,14.0,18.0,210.0,213.0,76.0,76.0,129.0,133.0,30.0,30.0,4.0,4.0,21.0,22.0,557.0,1063.0
" Bihar",391.0,396.0,33.0,32.0,660.0,662.0,165.0,167.0,271.0,275.0,77.0,80.0,2.0,2.0,35.0,38.0,1634.0,2895.0
" Chhatishgarh",126.0,143.0,1.0,1.0,301.0,326.0,40.0,47.0,106.0,122.0,31.0,35.0,2.0,2.0,9.0,10.0,616.0,1176.0
" Goa",18.0,19.0,"NA","NA",19.0,20.0,15.0,15.0,41.0,42.0,11.0,11.0,1.0,1.0,5.0,5.0,110.0,205.0
" Gujarat",279.0,298.0,14.0,15.0,1506.0,1575.0,341.0,365.0,969.0,1060.0,110.0,112.0,8.0,8.0,97.0,102.0,3324.0,6580.0
" Haryana",157.0,166.0,10.0,10.0,470.0,488.0,234.0,242.0,319.0,336.0,72.0,76.0,8.0,8.0,34.0,36.0,1304.0,1363.0
" Himachal Pradesh",18.0,19.0,"NA","NA",79.0,83.0,30.0,30.0,65.0,65.0,32.0,32.0,5.0,5.0,10.0,10.0,239.0,465.0
" Jammu & Kashmir",142.0,166.0,4.0,4.0,299.0,315.0,67.0,72.0,54.0,59.0,15.0,15.0,"NA","NA",16.0,17.0,597.0,1103.0
" Jharkhand",60.0,62.0,0.0,"NA",68.0,69.0,32.0,35.0,89.0,92.0,22.0,23.0,1.0,1.0,2.0,2.0,274.0,498.0
