-----
{
 "description": "This table gives All india (2001-02 to 2009-10) data on Enrolment in School Education by Courses and Stages in Recognised Institutions.", 
 "file_name": "ENROLMENT_IN_SCHOOL_EDUCATION_BY_COURSES_AND_STAGES.xls", 
 "title": "Enrolment in School Education By Courses And Stages In Recognised Institutions ", 
 "url": "http://data.gov.in/sites/default/files/ENROLMENT_IN_SCHOOL_EDUCATION_BY_COURSES_AND_STAGES.xls"
}
-----
"Year","     Nursery (Pre-  Primary/Pre-Basic)  Total","     Nursery (Pre-  Primary/Pre-Basic)  Women"," Primary (1st to 5th) Total","         Primary (1st to 5th) Women","        Middle (6th to 8th)  Total","        Middle (6th to 8th)  Women","High/Higher Secondary (9th-12th) (1)  Total","High/Higher Secondary (9th-12th) (1)  Women"," (Pre-Primary to 12th)  Total"," (Pre-Primary to 12th)  Women","Technical/ Industrial/Arts and Craft Schools  Total","Technical/ Industrial/Arts and Craft Schools  Women","Teacher TrainingSchools  Total","Teacher TrainingSchools  Women","  (General and Vocational/Professional)  Total","  (General and Vocational/Professional)  Women"
"2001-02",4623168.0,2143099.0,113883060.0,50263565.0,44828235.0,18739277.0,30507215.0,12063696.0,193841678.0,83209637.0,581174.0,89792.0,107519.0,54981.0,"NA",83354410.0
"2002-03",5507559.0,2643826.0,122397715.0,57313336.0,46845207.0,20579740.0,33214100.0,13718507.0,207964581.0,94255409.0,678247.0,92531.0,93395.0,47782.0,208736223.0,94395722.0
"2003-04",5050006.0,2404070.0,128266291.0,59905868.0,48746998.0,21460895.0,35009349.0,14396677.0,217072644.0,98167510.0,710814.0,46824.0,107934.0,54485.0,217891392.0,98268819.0
"2004-05",4761485.0,2267044.0,130763067.0,61088524.0,51245426.0,22741769.0,37075386.0,15388506.0,223845364.0,101485843.0,742330.0,47391.0,123933.0,64172.0,224711627.0,101597406.0
"2005-06",5264053.0,2508509.0,132048727.0,61552233.0,52195171.0,23330066.0,38386019.0,16095563.0,227893970.0,103486371.0,749510.0,49336.0,160280.0,78743.0,228803760.0,103614450.0
"2006-07",5366340.0,2501557.0,133719922.0,62632501.0,54476096.0,24622548.0,39938127.0,16950579.0,233500485.0,106707185.0,742330.0,185583.0,198010.0,100301.0,234440825.0,106993069.0
"2007-08",6576483.0,3057985.0,135470561.0,64381014.0,57204704.0,26154263.0,44475476.0,19319218.0,243727224.0,112912480.0,"NA","NA","NA","NA",243727224.0,112912480.0
"2000-09","NA","NA","NA "," NA","NA ","NA ","NA ","NA","NA","NA","NA","NA","NA","NA",241911360.0,113393830.0
"2000-10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",243356708.0,113952912.0
"2008-09",6234660.0,2921408.0,134566314.0,64472422.0,55463959.0,26047083.0,45646427.0,19952917.0,241911360.0,113393830.0,"NA","NA","NA","NA",241911360.0,113393830.0
"2009-10",5799329.0,2758059.0,135669843.0,64824741.0,195090845.0,92417562.0,48265853.0,21535350.0,243356708.0,113952912.0,"NA","NA","NA","NA",243356708.0,113952912.0
