-----
{
 "description": "The table provide annual survey of industries (Factory Sector) on selected characteristics on all India basis by industry group for 2008-09 and 2009-10.", 
 "file_name": "ANNUAL_SURVEY_OF_INDUSTRIES_FACTORY_SECTOR_II.xls", 
 "title": "All India - Annual Survey of Industries (Factory Sector) by Industry Group ", 
 "url": "http://data.gov.in/sites/default/files/ANNUAL_SURVEY_OF_INDUSTRIES_FACTORY_SECTOR_II.xls"
}
-----
"Industry Code","Industry Group","Industry description","No of factories 2008-09","Productive capital 2008-09","No. of Employees 2008-09","Total 
output 2008-09","Net value added 2008-09","No of factories 2009-10","Productive capital 2009-10","No. of Employees 2009-10","Total 
output 2009-10","Net value added 2009-10"
"0163","016","Post-harvest crop activities",2902.0,3840.08,106798.0,15206.88,840.26,2771.0,5521.0,92437.0,27496.0,2718.0
"0893","089","Extraction of salt. ",80.0,148.75,5423.0,203.65,102.32,101.0,610.0,7117.0,668.0,139.0
1010.0,101.0,"Processing and preserving of meat",90.0,1576.68,14546.0,6611.66,757.93,85.0,1466.0,15052.0,6775.0,846.0
1020.0,102.0,"Processing and preserving of fish, crustaceans and molluscs and products thereof ",352.0,1430.78,33061.0,7293.14,636.02,359.0,2776.0,37637.0,8896.0,788.0
1030.0,103.0,"Processing and preserving of fruit and vegetables",709.0,3479.03,45001.0,5722.83,449.78,832.0,4263.0,54733.0,6614.0,837.0
1040.0,104.0,"Manufacture of Vegetable and animal oils and fats ",2429.0,12160.19,106800.0,118857.9,5807.76,2421.0,16239.0,106560.0,100940.0,4693.0
1050.0,105.0,"Manufacture of dairy product",1100.0,6968.83,102245.0,42647.21,3655.29,1112.0,12573.0,110014.0,51849.0,4322.0
1061.0,"NA","Manufacture of grain mill products ",13464.0,15227.24,329589.0,88033.8,7365.04,13397.0,21235.0,327938.0,99134.0,6972.0
1062.0,"NA","Manufacture of starches and starch products",589.0,1150.13,17190.0,2989.13,340.79,670.0,2365.0,20540.0,4873.0,617.0
"NA",106.0,"Manufacture of grain mill products, starches and starch products",14053.0,16377.37,346779.0,91022.93,7705.83,14067.0,23600.0,348478.0,104007.0,7589.0
1071.0,"NA","Manufacture of bakery products",993.0,2897.79,60671.0,11951.95,2031.19,1056.0,3425.0,61558.0,12395.0,2110.0
1072.0,"NA","Manufacture of sugar ",733.0,32572.94,261931.0,38639.37,2482.68,744.0,39040.0,259979.0,60090.0,5387.0
1073.0,"NA","Manufacture of cocoa, chocolate and sugar confectionery",456.0,1984.48,28384.0,5617.82,1368.13,466.0,1903.0,29536.0,5798.0,1485.0
1074.0,"NA","Manufacture of macaroni, noodles, couscous and similar farinaceous products",61.0,376.95,3717.0,625.71,120.65,51.0,571.0,3658.0,1265.0,335.0
1075.0,"NA","Manufacture of prepared meals and dishes",45.0,289.2,5688.0,452.69,138.34,139.0,1358.0,18828.0,2988.0,811.0
1079.0,"NA","Manufacture of other food products n.e.c.",4290.0,9249.3,402402.0,32408.28,5761.75,4225.0,10957.0,397068.0,38476.0,6219.0
"NA",107.0,"Manufacture of other food products",6578.0,47370.66,762793.0,89695.82,11902.74,6681.0,57254.0,770627.0,121011.0,16347.0
1080.0,108.0,"Manufacture of prepared animal feeds",547.0,1584.65,28395.0,10392.57,687.26,606.0,2435.0,30888.0,13011.0,1193.0
1101.0,"NA","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",291.0,5399.17,43265.0,12315.37,3103.46,296.0,7097.0,42501.0,12292.0,2712.0
1102.0,"NA","Manufacture of wines",79.0,1560.52,8153.0,2593.04,853.11,69.0,626.0,6611.0,2227.0,1019.0
1103.0,"NA","Manufacture of malt liquors and malt",96.0,3932.64,24160.0,6553.02,1288.55,117.0,4898.0,27348.0,8203.0,1743.0
1104.0,"NA","Manufacture of soft drinks; production of mineral waters and other bottled waters",896.0,6194.25,48321.0,11661.74,3977.19,834.0,6747.0,55505.0,10867.0,1754.0
"NA",110.0,"Manufacture of beverages",1362.0,17086.58,123899.0,33123.17,9222.31,1316.0,19368.0,131965.0,33589.0,7228.0
1200.0,120.0,"Manufacture of tobacco products ",3280.0,5321.67,452026.0,20192.6,9050.4,3120.0,6452.0,419736.0,22165.0,7131.0
1311.0,"NA","Preparation and spinning of textile fibers",4082.0,54142.02,612789.0,82096.52,7705.2,4432.0,72159.0,672597.0,106218.0,13614.0
1312.0,"NA","Weaving of textiles",2420.0,19799.3,227483.0,28986.91,3733.0,2313.0,18730.0,190015.0,29437.0,4363.0
1313.0,"NA","Finishing of textiles",3115.0,14406.05,252650.0,24807.12,3236.36,3129.0,17382.0,249146.0,26427.0,3254.0
"NA",131.0,"Spinning, weaving and finishing of textiles.",9617.0,88347.37,1092922.0,135890.55,14674.56,9874.0,108271.0,1111758.0,162082.0,21231.0
1391.0,"NA","Manufacture of knitted and crocheted fabrics",1310.0,7487.93,136192.0,14125.83,2091.54,736.0,3646.0,67745.0,8793.0,1235.0
1392.0,"NA","Manufacture of made-up textile articles, except apparel",766.0,4700.15,64723.0,9994.06,1191.53,822.0,6736.0,83701.0,12483.0,1707.0
1393.0,"NA","Manufacture of carpets and rugs",354.0,1429.37,28795.0,3672.98,401.16,355.0,1644.0,24319.0,3990.0,407.0
1394.0,"NA","Manufacture of cordage, rope, twine and netting",603.0,1181.1,36211.0,2674.84,726.87,638.0,1459.0,47837.0,3486.0,679.0
1399.0,"NA","Manufacture of other textiles n.e.c.",709.0,2674.53,41365.0,5341.83,735.91,919.0,3159.0,49528.0,6874.0,1075.0
"NA",139.0,"Manufacture of other textiles",3742.0,17473.08,307286.0,35809.54,5147.01,3470.0,16634.0,273130.0,35626.0,5103.0
1410.0,141.0,"Manufacture of wearing apparel, except fur apparel",3959.0,17728.25,624664.0,40005.1,8868.18,3760.0,18341.0,643204.0,45318.0,8928.0
1420.0,142.0,"Manufacture of articles of fur",44.0,255.97,2884.0,231.8,64.83,14.0,260.0,694.0,120.0,45.0
1430.0,143.0,"Manufacture of knitted and crocheted apparel",1758.0,4340.14,170330.0,13520.16,1966.94,2370.0,6338.0,221164.0,18269.0,2990.0
1511.0,"NA","Tanning and dressing of leather; dressing and dyeing of fur",789.0,1573.32,33579.0,5816.86,613.45,987.0,1806.0,39347.0,6769.0,810.0
1512.0,"NA","Manufacture of luggage, handbags and the like, saddlery and harness",439.0,965.14,36926.0,3597.07,544.11,527.0,1386.0,48157.0,4559.0,821.0
"NA",151.0,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1228.0,2538.46,70505.0,9413.93,1157.56,1514.0,3192.0,87504.0,11328.0,1631.0
1520.0,152.0,"Manufacture of footwear.",1331.0,5417.31,180478.0,15167.45,2252.67,1307.0,6042.0,167591.0,19227.0,2976.0
1610.0,161.0,"Saw milling and planing of wood",1127.0,523.48,9924.0,1391.25,79.23,1100.0,253.0,9230.0,1087.0,76.0
1621.0,"NA","Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and board",1355.0,2617.79,41540.0,5477.49,497.62,1518.0,3357.0,42907.0,6655.0,964.0
1622.0,"NA","Manufacture of builders’ carpentry and joinery",171.0,312.39,6077.0,562.12,107.22,151.0,321.0,5771.0,794.0,156.0
1623.0,"NA","Manufacture of wooden containers",201.0,227.32,4778.0,493.31,-61.4,209.0,345.0,5920.0,621.0,-185.0
1629.0,"NA","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",249.0,285.55,6043.0,571.26,156.99,397.0,496.0,11786.0,1455.0,257.0
"NA",162.0,"Manufacture of products of wood, cork, straw and plaiting materials",1976.0,3443.05,58438.0,7104.18,700.43,2275.0,4519.0,66384.0,9525.0,1192.0
1701.0,"NA","Manufacture of pulp, paper and paperboard",887.0,13578.63,87760.0,18274.15,3050.83,921.0,23954.0,97940.0,21866.0,1789.0
1702.0,"NA","Manufacture of corrugated paper and paperboard and containers of paper and paperboard",2859.0,5086.28,82911.0,9248.16,1415.56,2906.0,6850.0,85846.0,12985.0,1963.0
1709.0,"NA","Manufacture of other articles of paper and paperboard",891.0,12246.04,60744.0,13554.86,2312.74,771.0,8254.0,44727.0,9453.0,1663.0
"NA",170.0,"Manufacture of paper and paper products",4637.0,30910.95,231415.0,41077.17,6779.13,4598.0,39088.0,228513.0,44304.0,5415.0
1811.0,"NA","Printing",2790.0,11193.55,114364.0,17949.4,3464.28,2776.0,9963.0,123155.0,18952.0,4533.0
1812.0,"NA","Service activities related to printing",482.0,818.05,14261.0,1354.69,185.31,384.0,699.0,8530.0,1429.0,259.0
"NA",181.0,"Printing and service activites related to printing",3272.0,12011.6,128625.0,19304.09,3649.59,3160.0,10662.0,131685.0,20381.0,4792.0
1820.0,182.0,"Reproduction of recorded media ",18.0,125.97,743.0,204.88,74.11,14.0,308.0,2216.0,923.0,345.0
1910.0,191.0,"Manufacture of coke oven products",515.0,6919.77,40136.0,15153.85,2703.65,550.0,7780.0,29881.0,11729.0,1974.0
1920.0,192.0,"Manufacture of refined petroleum products",438.0,87862.74,73031.0,465744.7,67503.15,617.0,157125.0,92574.0,527824.0,59988.0
2011.0,"NA","Manufacture of basic chemicals",2316.0,33384.09,133379.0,52708.87,8693.75,2332.0,35470.0,131192.0,61941.0,12779.0
2012.0,"NA","Manufacture of fertilizers and nitrogen compounds",542.0,24509.69,66318.0,83240.14,9778.23,573.0,28847.0,65954.0,60050.0,6672.0
2013.0,"NA","Manufacture of plastics and synthetic rubber in primary forms",371.0,38079.32,32242.0,47803.59,6111.92,315.0,36540.0,35952.0,48300.0,9052.0
"NA",201.0,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",3229.0,95973.1,231939.0,183752.6,24583.9,3220.0,100857.0,233098.0,170291.0,28503.0
2021.0,"NA","Manufacture of pesticides and other agrochemical products",498.0,8698.47,43327.0,15764.28,3145.33,459.0,8259.0,48177.0,21944.0,5510.0
2022.0,"NA","Manufacture of paints, varnishes and similar coatings, printing ink and mastics",911.0,5275.32,36611.0,15659.43,3068.4,901.0,5796.0,43389.0,19755.0,4011.0
2023.0,"NA","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1246.0,10795.09,90276.0,34735.16,9295.91,1323.0,11796.0,98806.0,29217.0,7290.0
2029.0,"NA","Manufacture of other chemical products n.e.c.",2482.0,11721.59,153667.0,29803.2,5235.42,2442.0,11211.0,145897.0,29670.0,6902.0
"NA",202.0,"Manufacture of other chemical products",5137.0,36490.47,323881.0,95962.07,20745.06,5125.0,37062.0,336269.0,100586.0,23713.0
2030.0,203.0,"Manufacture of man-made fibers",90.0,6558.74,25233.0,9681.88,591.79,72.0,5672.0,19303.0,8238.0,1138.0
2100.0,210.0,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",3420.0,65514.14,379083.0,102000.34,31801.05,3477.0,80119.0,414703.0,111629.0,34184.0
2211.0,"NA","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres",555.0,10413.08,79662.0,28333.69,6162.05,529.0,14800.0,90659.0,32635.0,7170.0
2219.0,"NA","Manufacture of other rubber products",1422.0,4164.72,69663.0,9352.7,1386.71,1555.0,5846.0,82444.0,12948.0,1996.0
"NA",221.0,"Manufacture of rubber products",1977.0,14577.8,149325.0,37686.39,7548.76,2084.0,20646.0,173103.0,45583.0,9166.0
2220.0,222.0,"Manufacture of plastics products",6357.0,28368.26,281655.0,61673.38,10109.84,6260.0,38982.0,304404.0,80333.0,12051.0
