"Area-Wise Number of Ongoing  Project","Ongoing  Project  as on Date 06/03/2013"
"Agriculture-I",10.0
"Agriculture-II",54.0
"Agriculture-III",38.0
"ANIMAL BIOTECHNOLOGY",47.0
"ANIMAL DIAGNOSTIC AND VACCINE",21.0
"AQUACULTURE AND MARINE BIOTECHNOLOGY",46.0
"BASIC RESEARCH IN MODERN BIOLOGY",198.0
"BIOCARE",62.0
"BIOENGINEERING",38.0
"BIOINFORMATICS R&D PROJECTS",44.0
"BIOPESTICIDES AND CROP MANAGEMENT",40.0
"BIOTECH BASED PROGRAMMES FOR RURAL DEVELOPMENT",50.0
"BIOTECH BASED PROGRAMMES FOR SC/ST",40.0
"BIOTECH BASED PROGRAMMES FOR WOMEN",36.0
"BIOTECHNOLOGY OF BIOFERTILISERS",27.0
"BPPD- MICROBIAL AND INDUSTRIAL BIOTECHNOLOGY",42.0
"CENTRE OF EXCELLENCE",28.0
"ENERGY BIOSCIENCES - BIOFUELS",42.0
"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION",59.0
"FOOD AND NUTRITION SECURITY",68.0
"INDO AUSTRALIA",7.0
"INDO-JAPAN",4.0
"INFRASTRUCTURE FACILITIES",26.0
"INTERNATIONAL COLLABORATION-I",27.0
"INTERNATIONAL COLLABORATION-II ",1.0
"MEDICAL BIOTECHNOLOGY",1.0
"MEDICAL BIOTECHNOLOGY - DEVELOPMENTAL AND DISEASE ",15.0
"MEDICAL BIOTECHNOLOGY - HUMAN GENETICS AND GENOME ",68.0
"MEDICAL BIOTECHNOLOGY - INFECTIOUS DISEASES",104.0
"MEDICAL BIOTECHNOLOGY - NON-INFECTIOUS DISEASES",221.0
"MEDICAL BIOTECHNOLOGY - STEM CELL BIOLOGY",30.0
"Medical Biotechnology -HIV/AIDS and Microbicides",5.0
"MEDICAL BIOTECHNOLOGY-VACCINE RESEARCH AND DIAGNOS",34.0
"MEDICINAL AND AROMATIC PLANTS",26.0
"NANOSCIENCE AND NANOTECHNOLOGY APPLICATION IN BIOL",54.0
"NATIONAL BIO-RESOURCE DEVELOPMENT BOARD - BIOPROSPECTING",43.0
"NORTH EASTERN REGION (NER BPMC)",2.0
"PLANT BIOTECHNOLOGY",42.0
"RAPID - GENERAL BIOTECHNOLOGY",151.0
"RNAi TECHNOLOGY",74.0
"SERIBIOTECHNOLOGY",14.0
"Total",1939.0
