-----
{
 "description": "Data provides all India (from 2001 to 2010) and state-wise (2008-09 and 2009-10) details on the number of registered newspapers and periodicals by language.", 
 "file_name": "NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_LANGUAGE.xls", 
 "title": "Number of Registered Newspapers And Periodicals By Language (All India And State wise) ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_LANGUAGE.xls"
}
-----
"Year","English","Hindi"," Assamese"," Bengali","Gujarati","Kannada","Kashmiri","Malyalam","Marathi","Oriya"," Punjabi","Sanskrit","  Sindhi","  Tamil","  Telugu","   Urdu","Bi-lingual","  Multi-lingual","  Others","  Total"
2001.0,7596.0,20589.0,226.0,2741.0,2215.0,1816.0,1.0,1505.0,2943.0,752.0,911.0,56.0,110.0,2119.0,1289.0,2906.0,3088.0,586.0,511.0,51960.0
"2002-03",8141.0,22067.0,235.0,2869.0,2421.0,2042.0,0.0,1578.0,3138.0,800.0,956.0,63.0,115.0,2304.0,1476.0,2983.0,3437.0,628.0,529.0,55782.0
"2003-04",8492.0,23169.0,244.0,2933.0,2535.0,2163.0,1.0,1646.0,3288.0,846.0,978.0,60.0,115.0,2424.0,1628.0,3047.0,3699.0,657.0,544.0,58469.0
"2004-05",8768.0,24017.0,254.0,2988.0,2603.0,2237.0,1.0,1685.0,3387.0,866.0,1003.0,61.0,116.0,2498.0,1744.0,3078.0,3864.0,689.0,554.0,60413.0
"2005-06",9064.0,24924.0,267.0,3050.0,2700.0,2314.0,1.0,1720.0,3550.0,900.0,1026.0,63.0,118.0,2579.0,1815.0,3126.0,3999.0,709.0,558.0,62483.0
"2006-07",9445.0,25831.0,273.0,3113.0,2841.0,2379.0,3.0,1785.0,3752.0,952.0,1046.0,66.0,119.0,2674.0,1961.0,3186.0,4237.0,752.0,583.0,64998.0
"2007-08",10529.0,29090.0,296.0,3317.0,3129.0,2743.0,3.0,1953.0,4422.0,1086.0,1084.0,67.0,121.0,2983.0,2392.0,3496.0,4893.0,910.0,683.0,73197.0
"2008--09",10529.0,29090.0,296.0,3317.0,3130.0,2743.0,3.0,1949.0,4422.0,1086.0,1084.0,67.0,121.0,2983.0,2392.0,3496.0,4893.0,862.0,683.0,73146.0
"2009-2010",10972.0,30865.0,302.0,3415.0,3318.0,2959.0,3.0,2031.0,4705.0,1149.0,1114.0,69.0,122.0,3150.0,2648.0,3682.0,5229.0,913.0,594.0,77384.0
