-----
{
 "description": "This dataset provides information about the actual and estimated budget for year 2011, 2012 and 2013 of various organisations under DeitY.", 
 "file_name": "ACTIVITYWISE_CLASSIFICATION-ACTUAL_2011-12_BUDGET_ESTIMATE_2012-13_REVISED_ESTIMATE_2012-13.xls", 
 "title": "Actual, Estimated Budget from year 2011 to 2012  ", 
 "url": "http://data.gov.in/sites/default/files/ACTIVITYWISE_CLASSIFICATION-ACTUAL_2011-12_BUDGET_ESTIMATE_2012-13_REVISED_ESTIMATE_2012-13.xls"
}
-----
"Programme/Scheme","Type","BE-Plan ( 2012-13)","BE-N-Plan ( 2012-13)","BE-Total ( 2012-13)","RE-Plan ( 2012-13)","RE-N-Plan ( 2012-13)","RE-Total ( 2012-13)","Actual Expenditure-Plan (2012-13)             (up to 31.12.2012)","Actual Expenditure  -N-Plan (2012-13)             (up to 31.12.2012)","Actual Expenditure-Total (2012-13)             (up to 31.12.2012)"
"Electronic Governance ","e-Government ",975.0,0.0,975.0,450.0,0.0,450.0,283.68,0.0,283.68
"National Informatic Centre (NIC)","e-Government ",754.0,0.0,754.0,754.0,0.0,754.0,502.19,0.0,502.19
"National Knowledge Network (NKN)","e-Learning",360.0,0.0,360.0,152.19,0.0,152.19,3.39,0.0,3.39
"Manpower Development (including Skill Development in IT)","e-Learning",127.69,0.0,127.69,103.98,0.0,103.98,61.84,0.0,61.84
"NIELIT (erstwhile DOEACC)","e-Learning",10.75,1.7,12.45,8.83,1.7,10.53,5.28,1.7,6.98
"Education & Research Network (ERNET)","e-Learning",0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
"Technology Development for Indian Languages (TDIL)","e-Learning",35.0,0.0,35.0,23.0,0.0,23.0,18.32,0.0,18.32
"Facilitation of setting-up of Integrated Townships","e-Learning",0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"Cyber Security (including CERT-In, IT Act)","e-Security",45.2,0.0,45.2,36.06,0.0,36.06,21.14,0.0,21.14
"Controller of Certifying Authorities (CCA)","e-Security",6.0,0.0,6.0,3.0,0.0,3.0,1.41,0.0,1.41
"Promotion of Electronics/IT Hardware Manufacturing","e-Industry (Electronic Hardware)",5.0,0.0,5.0,5.0,0.0,5.0,2.89,0.0,2.89
"Standardisation Testing and Quality Certification (STQC)","e-Industry (Electronic Hardware)",120.0,7.0,127.0,80.0,7.0,87.0,50.94,5.94,56.88
"Software Technology Parks of India (STPI) and EHTP","e-Industry (IT-ITeS)",2.5,0.0,2.5,2.33,0.0,2.33,1.5,0.0,1.5
"","","","","","","","","","",""
"Centre for Development of Advanced Computing (C-DAC)","e-Innovation/R&D",203.4,3.0,206.4,121.06,3.0,124.06,94.91,3.0,97.91
"Technology Development Council Projects (Including ITRA)","e-Innovation/R&D",79.0,0.0,79.0,48.05,0.0,48.05,31.71,0.0,31.71
"Micro - Electronics and Nano-Technology Development Programme","e-Innovation/R&D",100.0,0.0,100.0,60.0,0.0,60.0,30.07,0.0,30.07
"Society for Applied Microwave Electronics Engineering & Research (SAMEER)","e-Innovation/R&D",42.94,3.0,45.94,42.94,3.0,45.94,40.0,3.0,43.0
"Convergence, Communication and Strategic Electronics","e-Innovation/R&D",25.0,0.0,25.0,25.0,0.0,25.0,17.66,0.0,17.66
"Media Lab Asia                                                         ","e-Innovation/R&D",11.3,0.0,11.3,3.73,0.0,3.73,0.0,0.0,0.0
"Component & Material Development Programme","e-Innovation/R&D",25.0,0.6,25.6,25.0,0.2,25.2,19.91,0.0,19.91
"Electronics in Health & Telemedicine","e-Innovation/R&D",11.5,0.0,11.5,5.1,0.0,5.1,2.9,0.0,2.9
"IT for Masses","e-Inclusion",16.94,0.0,16.94,7.06,0.0,7.06,6.92,0.0,6.92
"Secretariat- Economic Services","Others",43.67,31.3,74.97,43.67,30.13,73.8,34.04,20.14,54.18
"Secretariat- Economic Services - Exhibition in Electronics","Others",0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.59,0.59
"Secretariat- Economic Services - Foreign Trade","Others",0.0,3.1,3.1,0.0,3.1,3.1,0.0,0.0,0.0
"Secretariat- Economic Services - Other Scheme","Others",0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.03,0.03
"Total","",3000.0,51.0,3051.0,2000.0,49.43,2049.43,1230.7,34.4,1265.1
