-----
{
 "description": "The table provide details on the mill production (Mn. sq. metre) of cotton cloth from 2000-01 to 2011-12.", 
 "file_name": "PRODUCTION_OF_COTTON_CLOTH.xls", 
 "title": "Mill Production of Cotton Cloth ", 
 "url": "http://data.gov.in/sites/default/files/PRODUCTION_OF_COTTON_CLOTH.xls"
}
-----
"State/
Union Territory","2003-04 (in 000 Sq.Mtr.)","2004-05 (in 000 Sq.Mtr.)","2005-06 (in 000 Sq.Mtr.)","2006-07 (in 000 Sq.Mtr.)","2007-08 (in 000 Sq.Mtr.)","2008-09 (in 000 Sq.Mtr.)","2009-10  (in 000 Sq.Mtr.)","2010-11 (in 000 Sq.Mtr.)","2011-12(P) (in 000 Sq.Mtr.)"
"    Himachal Pradesh","NA","NA","NA","NA","NA",47762.0,45331.0,52130.0,82736.0
"    Gujarat                     ",321570.0,328957.0,367224.0,415150.0,415950.0,409791.0,482361.0,513394.0,520846.0
"    Karnataka                    ",2470.0,2534.0,3670.0,3390.0,3670.0,2328.0,2161.0,2235.0,1388.0
"    Kerala                    ",1607.0,445.0,"NA",0.5,"NA","NA","NA","NA","NA"
"   Madhya Pradesh                  ",39035.0,37858.0,36186.0,55880.0,55400.0,69355.0,102950.0,110356.0,108821.0
"   Maharashtra                     ",334191.0,355416.0,304649.0,259840.0,173740.0,139247.0,152005.0,160998.0,165338.0
"   Punjab                    ",72281.0,95818.0,119240.0,170090.0,160470.0,169107.0,167576.0,178498.0,178193.0
"   Rajasthan                    ",34169.0,35889.0,36443.0,62800.0,58230.0,48014.0,49868.0,61200.0,52384.0
"   Tamil Nadu                    ",54956.0,84434.0,99353.0,117650.0,108050.0,91574.0,102023.0,107554.0,84245.0
"   Uttar Pradesh                 ",31490.0,26272.0,26808.0,22400.0,12190.0,4281.0,629.0,197.0,2206.0
"   D &N Haveli","NA","NA","NA","NA","NA",272957.0,357823.0,414772.0,521388.0
"   Puduchery                  ",24897.0,27517.0,"NA",21240.0,10510.0,5120.0,2420.0,2649.0,652.0
"   Others","NA","NA","NA",175920.0,250370.0,"NA","NA","NA","NA"
"       Total",916666.0,995140.0,993573.0,1304361.0,1248580.0,1259536.0,1465147.0,1603983.0,1718197.0
