-----
{
 "description": "Data provides details on the number of post office savings banks, depositors and amount of deposits from 2000-01 to 2011-12.", 
 "file_name": "NUMBER_OF_POST_OFFICE_SAVINGS_BANKS_DEPOSITORS_AND_AMOUNT_OF_DEPOSITS.xls", 
 "title": "Number of Post Office Savings Banks / Depositors And Amount of Deposits From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_POST_OFFICE_SAVINGS_BANKS_DEPOSITORS_AND_AMOUNT_OF_DEPOSITS.xls"
}
-----
"Particular","2000-01","2001-02","2002-03"," 2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"No. of depositors (000')",61116.0,60163.0,60594.0,56400.0,60321.0,61493.0,61493.0,64343.0,65773.0,78047.0,88565.0,96477.0
"Deposits  (` 000)",122793155.0,140773355.0,176105413.0,219262673.0,254165500.0,314322800.0,359584100.0,431649200.0,535635000.0,680469595.0,843550353.0,859045613.0
"Withdrawals (1)  (` 000)",114277432.0,128623224.0,160616947.0,201526679.0,234831000.0,299431000.0,341834800.0,419408700.0,506629500.0,642793441.0,807123066.0,819359684.0
"Balance of deposits",88298697.0,100448823.0,115937289.0,133673284.0,153007800.0,167899600.0,185648900.0,197889400.0,226894900.0,264544270.0,300998334.0,340684263.0
