-----
{
 "description": "This spread sheet describes the location of Diamond deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Diamond_1.xls", 
 "title": "Location of Diamond deposits in India and its salient features ", 
 "url": "http://data.gov.in/sites/default/files/Diamond_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"BASTAR KIMBERLITE FIELD","BEJRIPADAR","CHATTISGARH","65 E","19 03N","81 51E","Diamond","KIMBERLITE","MAGMATIC DIFFERENTIATION","INDRAVATI Gp."
"BASTAR KIMBERLITE FIELD","DUSANPAL","CHATTISGARH","65 E","19 01N","81 51E","Diamond","KIMBERLITE","MAGMATIC DIFFERENTIATION","INDRAVATI Gp."
"BASTAR KIMBERLITE FIELD","PARAKOT","CHATTISGARH","65 E","19 02N","81 54E","Diamond","KIMBERLITE","MAGMATIC DIFFERENTIATION","INDRAVATI Gp."
"CHELIMA-ZANGAMARAJUPALLE BELT","CHELIMA","ANDHRA PRADESH","57 I","15 26N","78 42E","Diamond","KIMBERLITE DIATREME","MAGMATIC DIFFERENTIATION","KUMBUM FORMATION"
"CHELIMA-ZANGAMARAJUPALLE BELT","ZANGAMARAJUPALLE","ANDHRA PRADESH","57 J","14 46N","78 53E","Diamond","KIMBERLITE DIATREME","MAGMATIC DIFFERENTIATION","KUMBUM FORMATION"
"KRISHNA LAMPROIITE FIELD","KRISHNA","ANDHRA PRADESH","65 D","16 45-17 00N","80 00-80 15E","Diamond","LAMPROITE","MAGMATIC DIFFERENTIATION","CUDDAPAH Sgp."
"MADDUR-KOTAKONDA BELT","MADDUR-KOTAKONDA","ANDHRA PRADESH","56 H","16 46-16 51N","77 38-77 42E","Diamond","KIMBERLITE","PIPE","PENINSULAR GNEISSIC COMPLEX"
"PANNA Di (Diamond) BELT","PANNA-MAJHGAWAN-HINOTA","MADHYA PRADESH","63 D","24 46N","80 15E","Diamond","KIMBERLITE DIATREME","MAGMATIC DIFFERENTIATION","VINDHYAN Sgp."
"SOUTH RAIPUR KIMBERLITE BELT","BAHARADIH","CHATTISGARH","64 L","20 13 30N","82 12 13E","Diamond","KIMBERLITE DIATREME","PIPE","KIMBERLITE IN CHATTISGARH"
"SOUTH RAIPUR KIMBERLITE BELT","KADOMALI","CHATTISGARH","64 L","20 11 35N","82 15E","Diamond","KIMBERLITE DIATREME","PIPE","KIMBERLITE IN CHATTISGARH"
"SOUTH RAIPUR KIMBERLITE BELT","PAYALIKHAND","CHATTISGARH","64 L","20 09 45N","82 00 20E","Diamond","PLACER","PLACER","PLACER"
"WAJRAKARUR-LATTAVARAM-CHIGICHERLA BELT","WAJRAKARUR","ANDHRA PRADESH","57 E , F","14 05-15 02N","77 18-77 23E","Diamond","GARNET PERIDOTITE, ECLOGITE,PYROXENITE","MAGMATIC DIFFERENTIATION","KIMBERLITE PIPE"
"WAJRAKARUR-LATTAVARAM-CHIGICHERLA BELT","CHIGICHERLA","ANDHRA PRADESH","57 F","14 31N","77 41E","Diamond","KIMBERLITE","MAGMATIC DIFFERENTIATION","KIMBERLITE PIPE"
