-----
{
 "description": "Instruments Research and Development Establishment (IRDE), Dehra Dun, under DRDO, is devoted to research, design, development and technology transfer in optical and electro-optical instrumentation primarily for the Defence Services.The origin of IRDE dates back to the establishment of Inspectorate...", 
 "file_name": "thermal_imaging_products.xls", 
 "title": "Thermal Imaging Products of DRDO ", 
 "url": "http://data.gov.in/sites/default/files/thermal_imaging_products.xls"
}
-----
"Device Name","Spectral Range (µm)","Field of View FOV ","Range (m for men)"
"Helmet Mounted Uncooled Thermal Imaging Camera:","  8 - 12","45° x 34°",50.0
"Drivers Night Sight (DNS)","  8 - 12","NA",500.0
"Rifle Mounted Uncooled Thermal Imager","  8 - 12","13.7° x 10.3°",300.0
