-----
{
 "description": "This table give All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of Vegetables such as Brinjal, Cabbage, C.Flower, Okra, Peas, Tomato, Onion, Potato, Sweet Potato, Tapioca and Others.", 
 "file_name": "AREA_AND_PRODUCTION_OF_VEGETABLES.xls", 
 "title": "All India and State Wise Area and Production of Vegetables ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_VEGETABLES.xls"
}
-----
"State/Union Territory","Brinjal 2009-10 Area (in '000 Hectare)","Brinjal 2010-11 Area (in '000 Hectare)","Brinjal 2009-10 Production (in '000 Tonne)","Brinjal 2010-11 Production (in '000 Tonne)","Cabbage 2009-10 Area (in '000 Hectare)","Cabbage 2010-11 Area (in '000 Hectare)","Cabbage 2009-10 Production (in '000 Tonne)","Cabbage 2010-11 Production (in '000 Tonne)","C.Flower 2009-10 Area (in '000 Hectare)","C.Flower 2010-11 Area (in '000 Hectare)","C.Flower 2009-10 Production (in '000 Tonne)","C.Flower 2010-11 Production (in '000 Tonne)","Okra 2009-10 Area (in '000 Hectare)","Okra 2010-11 Area (in '000 Hectare)","Okra 2009-10 Production (in '000 Tonne)","Okra 2010-11 Production (in '000 Tonne)","Peas 2009-10 Area (in '000 Hectare)","Peas 2010-11 Area (in '000 Hectare)","Peas 2009-10 Production (in '000 Tonne)","Peas 2010-11 Production (in '000 Tonne)","Tomato 2009-10 Area (in '000 Hectare)","Tomato 2010-11 Area (in '000 Hectare)","Tomato 2009-10 Production (in '000 Tonne)","Tomato 2010-11 Production (in '000 Tonne)","Onion 2009-10 Area (in '000 Hectare)","Onion 2010-11 Area (in '000 Hectare)","Onion 2009-10 Production (in '000 Tonne)","Onion 2010-11 Production (in '000 Tonne)","Potato 2009-10 Area (in '000 Hectare)","Potato 2010-11 Area (in '000 Hectare)","Potato 2009-10 Production (in '000 Tonne)","Potato 2010-11 Production (in '000 Tonne)","Sweet Potato 2009-10 Area (in '000 Hectare)","Sweet Potato 2010-11 Area (in '000 Hectare)","Sweet Potato 2009-10 Production (in '000 Tonne)","Sweet Potato 2010-11 Production (in '000 Tonne)","Tapioca 2009-10 Area (in '000 Hectare)","Tapioca 2010-11 Area (in '000 Hectare)","Tapioca 2009-10 Production (in '000 Tonne)","Tapioca 2010-11 Production (in '000 Tonne)","Others 2009-10 Area (in '000 Hectare)","Others 2010-11 Area (in '000 Hectare)","Others 2009-10 Production (in '000 Tonne)","Others 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Andhra Pradesh",24.3,"NA",485.0,"NA",9.1,"NA",136.1,"NA",3.6,"NA",74.9,"NA",33.5,"NA",502.1,"NA",0.6,"NA",20.4,"NA",87.0,"NA",1652.1,"NA",38.978,"NA",662.626,"NA",6.9,"NA",137.7,"NA",1.3,"NA",26.6,"NA",16.5,"NA",329.5,"NA",109.7,"NA",1399.1,"NA",331.278,0.0,5426.226,0.0
" Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.0,"NA",31.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.2,"NA",6.8,"NA",4.2,0.0,38.5,0.0
" Assam",15.9,"NA",253.0,"NA",29.8,"NA",614.2,"NA",20.5,"NA",351.3,"NA",10.9,"NA",149.7,"NA",21.2,"NA",13.2,"NA",16.3,"NA",379.5,"NA",7.0,"NA",19.3,"NA",86.6,"NA",589.7,"NA",8.9,"NA",34.3,"NA",3.6,"NA",20.8,"NA",34.7,"NA",2144.8,"NA",255.2,0.0,4569.9,0.0
" Bihar",55.3,"NA",1198.6,"NA",38.7,"NA",689.9,"NA",62.2,"NA",1080.1,"NA",58.3,"NA",766.6,"NA",9.3,"NA",63.5,"NA",46.5,"NA",1043.7,"NA",53.0,"NA",972.0,"NA",313.6,"NA",5387.2,"NA",0.3,"NA",7.0,"NA","NA","NA","NA","NA",198.9,"NA",2698.1,"NA",836.0,0.0,13906.8,0.0
" Chhattisgarh",25.2,26.7,374.5,439.5,13.7,14.7,227.8,257.7,16.095,18.4,268.9,306.0,23.9,25.2,217.3,249.1,10.6,10.8,96.6,99.7,41.3,42.9,600.6,627.9,9.1,11.2,160.3,174.2,32.6,36.4,449.8,526.3,3.6,3.7,32.4,36.7,"NA","NA","NA","NA",139.5,"NA",1172.9,"NA",315.395,190.0,3601.1,2717.1
" Goa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.7,"NA",57.8,"NA",5.7,0.0,57.8,0.0
" Gujarat",65.8,72.0,1143.6,1236.3,25.6,28.2,473.8,553.6,19.8,21.1,356.7,387.4,49.5,54.5,466.2,592.5,"NA","NA","NA","NA",33.8,38.8,841.3,978.4,43.4,62.0,1078.6,1514.1,60.1,65.3,1657.0,1881.8,"NA","NA","NA","NA","NA","NA","NA","NA",108.8,"NA",1238.2,"NA",406.8,341.9,7255.5,7144.1
" Haryana",13.0,14.6,143.2,255.2,12.2,13.8,218.3,262.4,25.7,30.3,487.7,531.9,15.9,18.2,118.6,145.3,10.6,12.7,64.3,79.0,22.6,27.2,379.8,392.4,18.4,22.2,330.3,453.9,23.0,26.8,494.8,598.2,"NA","NA","NA","NA","NA","NA","NA","NA",159.4,"NA",1750.0,"NA",300.9,165.8,3987.0,2718.3
" Himachal Pradesh",1.1,1.0,20.5,25.1,4.6,4.5,144.7,144.2,2.9,3.0,56.6,60.7,2.4,2.4,28.1,29.6,21.7,22.8,237.3,254.2,10.1,9.9,383.8,388.4,2.0,2.2,33.9,35.9,16.0,15.3,184.4,206.0,"NA","NA","NA","NA","NA","NA","NA","NA",19.1,"NA",301.3,"NA",79.8,61.1,1390.7,1144.1
" Jammu & Kashmir",2.5,2.6,40.6,45.3,2.9,3.5,66.7,95.5,3.8,4.5,111.9,134.8,2.1,2.9,42.5,47.5,7.6,6.8,69.9,212.5,8.3,8.3,122.1,136.6,2.6,2.8,64.8,63.5,7.5,7.9,110.6,150.7,"NA","NA","NA","NA","NA","NA","NA","NA",32.3,"NA",745.1,"NA",69.8,39.3,1374.2,886.4
