"S. No. ","State or Union Territory","No. of Colleges - Govt","Admission Capacity - Govt","No. of Colleges - Others","Admission Capacity - Others","Per College Average 
admission capacity"
1.0,"Kerala",0.0,0.0,1.0,50.0,50.0
2.0,"Tamil Nadu",3.0,150.0,4.0,148.0,42.5714285714
