-----
{
 "description": "Data provides the number, membership and financial (such as Share Capital, Reserves, Borrowings, Working Capital, Purchase/ Production during the year and Sales during the year) position of primary non-credit societies (excluding insurance societies) as on 31st March.", 
 "file_name": "NO._MEMBERSHIP_AND_FINAN_POSITION_OF_PRIMARY_NON-CREDIT_SOCIETIES_-_EXCL_INS_SOCIETIES.xls", 
 "title": "Number / Membership / Financial Position of Primary Non-Credit Societies (Excluding Insurance Societies) As On 31st March ", 
 "url": "http://data.gov.in/sites/default/files/NO._MEMBERSHIP_AND_FINAN_POSITION_OF_PRIMARY_NON-CREDIT_SOCIETIES_-_EXCL_INS_SOCIETIES.xls"
}
-----
"Type of Society","No. of societies","Membership (000 no.)","Share capital","Reserves","Borrowings from Govt.","Central Bank financing","Others","Working Capital","Purchase/Production during the year","Sales during the year"
"Marketing Societies",5354.0,6836.0,3253.0,6201.0,496.0,1797.0,2959.0,39231.0,52182.0,87742.0
"MilkSupply Societies and Unions",46219.0,5756.0,15440.0,63790.0,248.0,2699.0,59842.0,126914.0,270098.0,393672.0
"Livestock Product Unions & Societies",560.0,31.0,6.0,4.0,2.8,7.0,5.0,28.4,22.0,24.0
"Poultry Unions & Societies",417.0,29.0,6.0,2.0,2.0,2.0,3.0,29.0,7.0,7.0
"Farming Societies",2432.0,135.0,37.0,112.0,93.0,26.0,58.0,476.0,"NA",114.0
"Irrigation Societies",14456.0,1165.0,550.0,1054.0,428.0,2717.0,2299.0,12343.0,"NA",20.0
"Sugar Factories",124.0,2187.0,8515.0,10117.0,13047.0,11544.0,33446.0,47537.0,17346.0,23449.0
"Cotton Ginning and Pressing Societies",458.0,356.0,236.0,995.0,81.0,1064.0,818.0,4111.0,3328.0,1974.0
"Other Agricultural Processing Societies",1085.0,519.0,742.0,515.0,543.0,946.0,511.0,3125.0,1969.0,1187.0
"Other Agricultural Non-credit Societies",5031.0,319.0,129.0,94.0,7.0,186.0,36.0,915.0,"NA",85.0
"Weavers' Societies",14878.0,1314.0,1870.0,222.0,626.0,1381.0,1180.0,7058.0,4042.5,5138.9
"Spinning Mills",232.0,689.0,1032.0,8869.0,1275.0,1053.0,4817.0,4494.0,11980.0,11484.0
"Other Industrial Societies",15505.0,1089.0,669.0,306.0,78.0,2236.0,272.0,3082.0,794.0,1304.0
"Consumers Co-operative Societies",21977.0,18077.0,1320.0,1425.0,107.0,581.0,549.0,8293.0,21575.0,24495.0
"Housing Societies",84399.0,4559.0,3450.0,1358.0,743.0,3207.0,23526.0,64613.0,27114.0,"NA"
"Fisheries Societies",6768.0,733.0,229.0,128.0,55.0,67.0,146.0,1651.0,1061.0,2725.0
"Other Non-agricultural Non-credit Societies",18702.0,2385.0,3275.0,1143.0,1326.0,509.0,1747.0,10965.0,0.0,839.0
"Co-operative Industrial Societies",468.0,62.0,344.0,101.0,35.0,69.0,679.0,3201.0,"NA",166.0
"Cold Storages",31.0,31.0,38.0,9.1,23.0,8.7,5.6,101.0,"NA","NA"
"Multi-Unit Coop. Societies",272.0,1475.0,9754.0,37818.0,799.0,4033.0,7730.0,168735.0,4976.0,5813.0
"Labour Contract & Construction Societies",25551.0,1622.0,555.0,154.0,74.0,469.0,1571.0,3358.0,"NA",8104.0
"Forest Labourers Societies",1744.0,580.0,46.0,137.0,86.0,229.0,196.0,3158.0,1111.0,872.0
"Transport Societies",2924.0,143.0,279.0,246.0,16.0,567.0,236.0,2304.0,"NA",11.0
"Electricity Societies",51.0,141.0,59.0,950.0,0.0,0.0,28.0,3603.0,"NA",779.0
"Other Livestock Unions & Societies",910.0,60.0,25.0,86.0,2.0,40.0,11.0,109.0,122.0,132.0
