-----
{
 "description": "This table gives All India (2000-01 to 2009-10) and State-wise (2008-09) data of Number of Recognised Educational Institutions of Higher Learning like Universities/ Deemed to be Universities Institutions of National Importance, Research Institutions, College for General Education, Professional...", 
 "file_name": "NUMBER_OF_RECOGNISED_EDUCATIO_AL_INSTITUTIONS.xls", 
 "title": "Number Of Recognised Educational Institutions Of Higher Learning, All India And State wise ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_RECOGNISED_EDUCATIO_AL_INSTITUTIONS.xls"
}
-----
" Year/State/  Union Territory","Universities/ Deemed to be Universities Institutions of National Importance","Research Institutions","College for General Education","Professional Education Engg. Tech., Arch, Medical & Education College","Other  Colleges (Law, Mana- Management,  Agriculture etc.)","Polytechnics","Board of Sr. Secondary/ Secondary Education","   Schools for general education Pre-  Primary","   Schools for general education Primary/ Jr.Basic Schools","   Schools for general education Middle/ Sr.Basic Schools","   Schools for general education   High/   Higher Secondary","Total for Schools for General Education","Technical/ Industrial/ Arts & Craft","Teacher Training Schools"," Grand total for all the School level"
" Andhra Pradesh",31.0,"NA",1970.0,1728.0,775.0,213.0,3.0," NA",65932.0,15381.0,22527.0,103840.0,"NA","NA",103840.0
" Arunachal Pradesh",2.0,"NA",17.0,5.0,1.0," 3*"," NA",1688.0,1841.0,871.0,307.0,4707.0,"NA","NA",4707.0
" Assam",8.0,"NA",337.0,56.0," 153^",10.0,3.0,"NA",31202.0,14133.0,6417.0,51752.0,"NA","NA",51752.0
" Bihar",20.0,"NA",817.0,80.0,134.0,17.0,3.0,1.0,43445.0,20696.0,4236.0,68378.0,"NA","NA",68378.0
" Chhatisgarh",9.0,"NA",365.0,177.0,"42",15.0,4.0,1346.0,35344.0,15147.0,4648.0,56485.0,"NA","NA",56485.0
" Goa",1.0,"NA",22.0,4.0,13.0,4.0,1.0,"NA",1252.0,444.0,458.0,2154.0,"NA","NA",2154.0
" Gujarat",26.0,"NA",577.0,397.0,244.0,104.0,1.0,"NA",17779.0,24366.0,9299.0,51444.0,"NA","NA",51444.0
" Haryana",12.0,"NA",238.0,651.0,113.0,"32**",1.0,17.0,13073.0,3439.0,6771.0,23300.0,"NA","NA",23300.0
" Himachal Pradesh",7.0,"NA",377.0,119.0,86.0,26.0,1.0,14.0,11301.0,4921.0,3087.0,19323.0,"NA","NA",19323.0
" Jammu & Kashmir",10.0,"NA",92.0,166.0,45.0," NA",1.0,"NA",15446.0,8877.0,3105.0,27428.0,"NA","NA",27428.0
" Jharkhand",8.0,"NA"," 110^",25.0,"26**","19**",1.0,95.0,19818.0,9996.0,1654.0,31563.0,"NA","NA",31563.0
" Karnataka",29.0,"NA",369.0,597.0,"13*",273.0,2.0,"NA",26254.0,32041.0,16097.0,74392.0,"NA","NA",74392.0
" Kerala",11.0,"NA",192.0,244.0,12.0,"59**",2.0,"NA",6796.0,3060.0,5768.0,15624.0,"NA","NA",15624.0
" Madhya Pradesh",21.0,"NA",896.0,412.0,3.0,49.0,2.0,"NA",97800.0,39227.0,11513.0,148540.0,"NA","NA",148540.0
" Maharashtra",42.0,"NA",2074.0,924.0,448.0," 227^",1.0,56145.0,49101.0,27271.0,20678.0,153195.0,"NA","NA",153195.0
" Manipur",1.0,"NA",59.0,9.0,5.0,"3**",2.0,1.0,2579.0,792.0,824.0,4196.0,"NA","NA",4196.0
" Meghalaya",2.0,"NA",88.0,9.0,21.0,3.0,1.0,711.0,6618.0,2259.0,800.0,10388.0,"NA","NA",10388.0
" Mizoram",1.0,"NA",23.0,4.0,2.0,2.0,1.0,"NA",1782.0,1313.0,616.0,3711.0,"NA","NA",3711.0
" Nagaland",1.0,"NA",45.0,3.0,26.0," NA",1.0,"NA",1662.0,465.0,406.0,2533.0,"NA","NA",2533.0
"Odisha",15.0,"NA",634.0,165.0,75.0,24.0,2.0,"NA",52972.0,22209.0,8943.0,84124.0,"NA","NA",84124.0
" Punjab",14.0,"NA"," 234^",167.0,177.0,89.0,1.0,"NA",16954.0,9110.0,5121.0,31185.0,"NA","NA",31185.0
" Rajasthan",24.0,"NA",1135.0,261.0," 214^",71.0,3.0,8.0,49538.0,38889.0,19135.0,107570.0,"NA","NA",107570.0
" Sikkim",3.0,"NA",5.0,7.0,6.0,2.0,"NA",1170.0,749.0,244.0,185.0,2348.0,"NA","NA",2348.0
" Tamil Nadu",43.0,"NA",589.0,1283.0,64.0,363.0,1.0,5959.0,27037.0,9966.0,6548.0,49510.0,"NA","NA",49510.0
" Tripura",3.0,"NA",16.0,7.0,6.0,1.0,1.0,"NA",2379.0,1139.0,770.0,4288.0,"NA","NA",4288.0
" Uttar Pradesh",36.0,"NA"," 2361^",444.0," 299^",163.0,1.0,"NA",132403.0,51948.0,16436.0,200787.0,"NA","NA",200787.0
" Uttarakhand",12.0,"NA",107.0,58.0,"60**",0.0,1.0,"NA",15644.0,4296.0,2439.0,22379.0,"NA","NA",22379.0
" West Bengal",20.0,"NA",434.0,227.0,180.0,57.0,4.0,"NA",73100.0,4296.0,9456.0,86852.0,"NA","NA",86852.0
" A & N Islands","NA","`",2.0,2.0,1.0,2.0,"NA",27.0,207.0,67.0,98.0,399.0,"NA","NA",399.0
" Chandigarh",3.0,"NA",8.0,14.0,2.0,3.0,"NA",1.0,25.0,18.0,125.0,169.0,"NA","NA",169.0
" D & N Haveli","NA","NA"," 1^",2.0,"NA","NA","NA"," NA",170.0,127.0,34.0,331.0,"NA","NA",331.0
" Daman & Diu","NA","NA",1.0,2.0,"NA",1.0,"NA",25.0,50.0,24.0,28.0,127.0,"NA","NA",127.0
" Delhi",19.0,"NA"," 89*",25.0,"41*"," 79^",3.0,50.0,2586.0,583.0,1824.0,5043.0,"NA","NA",5043.0
" Lakshadweep","NA","NA"," 2*",1.0,"NA","NA","NA",18.0,23.0,10.0,15.0,66.0,"NA","NA",66.0
" Puducherry",2.0,"NA",35.0,50.0,5.0," NA","NA",546.0,300.0,118.0,275.0,1239.0,"NA","NA",1239.0
