"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay","Andhra-Pradesh-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay","Arunachal-Pradesh-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay","Assam-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay","Bihar-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay","Chhatisgarh-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay","Goa-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay","Gujarat-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay","Haryana-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay","Himachal-pradesh-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay","Jammu-Kashmir-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay","Jharkhand-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay","Karnataka-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay","Kerala-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay","MP-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay","Maharashtra-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay","Manipur-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay","Meghalaya-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay","Mizoram-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay","Nagaland-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay","Orissa-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay","Punjab-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay","Rajasthan-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay","Sikkim-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay","TamilNadu-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay","Tripura-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay","UP-Expenditure","Uttrakhand-Approved-Outlay","Uttrakhand-Revised-Outlay","Uttrakhand-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay","WB-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay","Total-States-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay","AandN-Islands-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay","Chandigarh-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay","DandN-Haveli-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay","DandDiu-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay","Delhi-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay","Lakshadweep-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay","Puducherry-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay","Total-UTs-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay","Total-States-UTs-Expenditure"
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","1. Crop Husbandry",124884.86,220167.0,226474.23,2288.0,2487.0,1507.72,25758.0,25758.0,21659.55,19257.25,20963.41,29349.67,9724.73,9724.73,18969.81,826.79,826.79,1159.42,69319.0,69319.0,46027.0,6122.0,12422.0,8811.68,1338.07,2838.07,1258.0,1388.24,1388.24,1309.46,10955.0,10955.0,8825.0,102832.0,62212.47,62412.48,6100.0,6100.0,8168.17,61578.1,61578.1,24178.45,24191.31,24191.31,43235.0,720.0,810.0,650.0,1750.0,1750.0,1711.55,3550.0,3674.0,4831.95,640.5,666.5,314.5,8020.0,8548.44,23694.3,17266.6,14867.07,14867.07,13218.23,42133.73,40621.05,2112.0,2112.0,3186.0,35382.97,53457.29,49695.11,7434.77,3311.25,3573.03,134188.0,70755.0,65865.3,13783.95,13783.95,13950.46,7539.0,7539.0,12665.9,712169.37,754339.35,738971.86,1026.0,1026.0,485.43,5.0,5.0,4.99,133.0,133.0,124.1,77.0,77.0,51.29,31.5,31.5,8.17,345.0,345.0,415.33,720.7,1464.11,1253.56,2338.2,3081.61,2342.87,714507.57,757420.96,741314.73
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","2. Horticulture",0.0,0.0,0.0,588.0,846.7,822.19,500.0,500.0,0.0,0.0,0.0,0.0,3165.2,3165.2,1997.25,227.11,227.11,256.22,6000.0,6000.0,4630.84,490.0,1528.16,945.04,807.55,1307.55,576.0,396.3,396.3,376.3,725.0,725.0,1472.38,16763.0,12778.21,12377.38,0.0,0.0,0.0,9202.1,9202.1,9484.45,6146.22,6146.22,15783.0,0.0,0.0,57.63,2300.0,2300.0,2281.08,850.0,850.0,235.0,783.0,783.0,761.27,2493.0,1565.48,1458.78,0.0,0.0,0.0,1755.0,2000.0,0.0,1410.0,1950.0,2195.2,0.0,0.0,0.0,1286.64,1153.0,1182.69,8602.0,7794.0,7015.83,0.0,0.0,3864.22,2424.5,2424.5,701.03,66914.62,63642.53,68473.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.9,140.0,140.0,167.32,0.0,0.0,0.0,537.95,484.05,483.87,680.95,627.05,654.09,67595.57,64269.58,69127.87
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","3. Soil and Water Conservation (including control of shifting cultivation)",0.0,0.0,0.0,407.0,2104.82,2104.82,600.0,600.0,598.2,0.0,0.0,0.0,0.0,0.0,0.0,219.9,219.9,105.06,24925.0,24925.0,31477.22,700.0,700.0,687.25,2188.61,2688.61,2731.0,3665.0,3665.0,583.76,600.0,600.0,345.31,19581.0,15422.933,15422.93,2667.0,2667.0,2171.95,722.0,722.0,758.82,40797.09,40797.09,28648.0,935.0,1115.0,1068.62,3075.0,2500.0,2030.89,350.0,363.0,357.87,1541.0,1541.0,1575.0,983.0,1036.89,1217.05,1250.0,1183.65,1183.65,33.67,17.79,17.79,145.0,145.0,380.0,14303.91,11204.29,6541.64,94.9,117.91,111.67,58979.0,52131.0,53209.13,8020.0,8020.0,7199.95,597.0,597.0,750.4,187380.08,175084.883,161277.98,192.0,192.0,189.22,0.0,0.0,0.0,175.0,175.0,207.76,15.0,15.0,11.0,35.0,35.0,9.55,75.0,75.0,0.0,0.0,0.0,0.0,492.0,492.0,417.53,187872.08,175576.883,161695.51
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","4. Animal Husbandry",25769.0,6828.0,9323.53,532.0,1178.75,1118.32,2659.0,2659.0,312.42,1282.9,8259.17,10170.78,7871.5,7871.5,5405.85,603.45,603.45,615.44,9476.0,9476.0,8207.92,9216.0,3716.0,5756.38,1613.04,1613.04,1710.0,1507.18,1507.18,1162.5,3000.0,3000.0,2316.86,36011.0,28613.63,15840.63,6300.0,6300.0,5218.01,7900.5,7900.5,3191.61,8231.97,8231.97,6160.0,360.0,360.0,312.96,1750.0,2228.0,2210.27,670.0,661.6,668.52,1245.0,1394.75,1394.753,800.0,2113.0,2970.61,1828.0,2358.77,2358.77,2259.88,1440.18,1399.08,1160.0,1175.0,2036.94,3794.56,3794.56,4132.84,1818.61,2105.63,2118.48,12972.0,8512.0,8527.12,3805.01,3805.01,2292.31,5888.0,5888.0,2715.8,160324.6,133594.69,109648.703,577.0,577.0,600.28,27.0,27.0,28.31,40.0,40.0,40.31,51.0,51.0,35.0,571.5,571.5,77.73,446.0,446.0,462.07,1395.09,1795.08,1754.19,3107.59,3507.58,2997.89,163432.19,137102.27,112646.593
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","5. Dairy Development",0.0,0.0,0.0,50.0,50.0,49.93,1203.0,1003.0,8.65,4407.0,6978.86,8452.38,0.0,0.0,0.0,725.05,725.05,766.68,2500.0,2500.0,2868.66,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,5100.0,5100.0,4415.2,0.0,0.0,12773.0,700.0,700.0,899.24,0.0,0.0,1798.51,862.55,862.55,302.0,40.0,40.0,39.94,200.0,200.0,197.02,50.0,50.0,48.85,0.0,0.0,0.0,25.0,25.0,25.0,1374.0,1033.83,1033.83,0.01,0.01,0.0,95.0,95.0,124.5,2539.49,3931.85,3914.1,30.11,33.37,28.63,32440.0,6210.0,8349.13,1287.16,1287.16,1023.15,355.0,355.0,491.0,54033.37,31230.68,47659.4,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,500.0,490.0,618.0,510.0,491.0,54651.37,31740.68,48150.4
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","6. Fisheries",5104.36,3525.0,2715.11,178.0,327.25,332.453,2987.0,2887.0,2899.11,550.0,202.8,363.77,513.28,513.28,1386.14,1310.5,1310.5,1216.88,5000.0,5000.0,4895.47,820.0,1020.0,1004.25,240.7,240.7,192.0,750.0,750.0,891.67,2000.0,2000.0,1701.65,8196.0,4813.45,4813.45,9069.0,9069.0,12189.54,1096.0,1096.0,641.15,4005.48,4005.48,6646.0,360.0,360.0,216.55,500.0,599.0,565.27,400.0,455.0,454.221,475.0,674.73,674.73,1795.0,1586.0,1292.24,261.0,33.34,33.34,38.92,24.5,22.25,75.0,75.0,100.0,9474.1,11560.09,7081.98,1119.38,1294.1,1291.79,1660.0,572.0,330.72,998.54,998.54,389.82,7493.0,7493.0,6659.14,66470.26,62485.76,61000.694,880.0,880.0,521.86,54.0,54.0,50.14,0.0,0.0,0.0,80.0,80.0,101.86,12.0,12.0,1.98,2394.0,2394.0,1567.13,1338.0,1346.29,1345.7,4758.0,4766.29,3588.67,71228.26,67252.05,64589.364
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","7. Plantations",0.0,0.0,0.0,0.0,0.0,3366.72,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,31000.0,27915.91,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,477.54,0.0,0.0,0.0,0.0,0.0,200.82,0.0,0.0,0.0,0.0,0.0,25384.37,500.0,500.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.39,278.7,276.33,0.0,0.0,0.0,0.0,0.0,0.0,238.11,238.11,153.87,32569.5,32566.81,57850.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,360.0,448.09,0.0,0.0,0.0,0.0,0.0,0.0,360.0,360.0,448.09,32929.5,32926.81,58298.64
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","8. Food,Storage & Warehousing",0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,100.0,100.0,0.0,0.0,3095.96,3095.96,2347.47,0.0,0.0,1.0,1023.0,1023.0,809.46,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,126.01,0.0,0.0,0.0,1800.0,1800.0,1800.0,50.0,50.0,50.0,0.0,0.0,140.54,0.0,0.0,24214.0,4.0,4.0,4.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,62.0,44.17,35.0,35.0,60.0,0.06,341.86,0.0,180.15,210.0,208.54,0.0,0.0,434.13,0.0,0.0,0.0,700.0,700.0,429.41,7503.17,7501.82,30913.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7503.17,7501.82,30913.73
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","9. Agricultural Research & Education",30557.8,18670.0,27538.8,100.0,100.0,100.0,4100.0,4100.0,4100.0,2400.0,3275.43,3803.14,1000.0,1000.0,825.0,19.5,19.5,15.53,9848.0,9848.0,8529.91,3387.0,3387.0,3298.85,6503.0,6503.0,6668.0,1420.0,1420.0,2220.22,3100.0,3100.0,2150.0,10900.0,7187.6,7187.6,3025.0,3025.0,3025.0,2991.64,2991.64,3001.64,2000.0,2000.0,2484.0,13.0,13.0,13.0,65.0,65.0,63.36,12.0,12.0,0.0,97.5,97.5,97.5,380.0,467.54,467.54,700.0,700.0,700.0,997.26,938.51,938.51,25.0,25.0,91.1,13273.06,12645.98,17278.22,341.43,644.6,667.97,22603.0,14611.0,14270.48,2500.0,2500.0,1612.84,1344.0,1344.0,945.0,123703.19,100691.3,112093.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.31,938.0,1047.0,1024.31,938.0,1047.0,124727.5,101629.3,113140.21
"I","2008-09","AGRICULTURE & ALLIED ACTIVITIES","10. Agricultural Financial Institutions",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,650.02,1117.68,1074.48,0.0,0.0,0.0,0.01,0.0,0.0,2.56,0.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,2500.0,2500.0,3082.81,5794.59,6159.68,6467.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5794.59,6159.68,6467.29
