" State/Union Territory","No. of working factories submitting returns  2007","No. of working factories submitting returns 2008","No. of working factories submitting returns 2009","Adults Men 2007","Adults Men 2008"," Adults Men 2009","Adults Women 2007","Adults Women 2008","Adults Women 2009","Adolescents  Males 2007","Adolescents Males 2008","Adolescents  Males 2009","Adolescents Females 2007","Adolescents  Females 2008","Adolescents  Females 2009","Children  Boys 2007","Children  Boys 2008","Children  Boys 2009","Children Girls 2007","Children  Girls 2008","Children Girls 2009","Total  2007","Total 2008","Total 2009",""
"Andhra Pradesh",9586.0,9756.0,10248.0,378629.0,410641.0,452848.0,60608.0,60429.0,71863.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",439237.0,471070.0,524711.0,""
"Assam",339.0,336.0,337.0,33466.0,3268.0,30543.0,2843.0,3093.0,3129.0,113.0,55.0,247.0,330.0,177.0,158.0,24.0,91.0,253.0,25.0,180.0,156.0,36801.0,35864.0,34786.0,""
"Bihar",69.0,115.0,68.0,12132.0,13503.0,8730.0,63.0,53.0,49.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12195.0,13556.0,8779.0,""
"Goa",532.0,428.0,562.0,35199.0,37218.0,48184.0,7510.0,6987.0,9169.0,"NA","NA",73.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",42709.0,44205.0,57426.0,""
"Gujarat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"Haryana",1128.0,1257.0,1239.0,141648.0,145703.0,167708.0,5934.0,8593.0,9670.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",147582.0,154306.0,177378.0,""
"Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"Jharkhand",5675.0,5829.0,"NA",210093.0,299955.0,"NA",2752.0,4804.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",212845.0,304759.0,"NA",""
"Karnataka",5214.0,3415.0,"NA",297639.0,198330.0,"NA",155026.0,83467.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",452665.0,281797.0,"NA",""
"Kerala","NA","NA","NA","NA","NA","NA","NA","NA","NA.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"Madhya Pradesh",704.0,824.0,"NA",123911.0,153534.0,"NA",4367.0,4725.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",128278.0,158259.0,"NA",""
"Maharashtra",11818.0,"NA",14340.0,686369.0,"NA",897340.0,45622.0,"NA",63260.0,399.0,"NA",397.0,64.0,"NA",20.0,"NA","NA","NA","NA","NA","NA",732454.0,"NA",961017.0,""
"Manipur","NA","NA",105.0,"NA","NA",2378.0,"NA","NA",1551.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3929.0,""
"Meghalaya",49.0,45.0,26.0,2522.0,2577.0,1756.0,828.0,379.0,160.0,35.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3385.0,2956.0,1916.0,""
"Orissa",1469.0,1661.0,1737.0,126158.0,135280.0,173780.0,5753.0,6479.0,7296.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",131911.0,141759.0,181076.0,""
"Punjab",1438.0,1224.0,1389.0,103632.0,97570.0,95640.0,3607.0,3738.0,2356.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107239.0,101308.0,97996.0,""
"Rajasthan",2319.0,1890.0,2215.0,154836.0,130746.0,150532.0,3818.0,3634.0,4410.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",158654.0,134380.0,154942.0," "
"Tamil Nadu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"Tripura",304.0,495.0,424.0,8151.0,14306.0,12301.0,2622.0,3860.0,3978.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10773.0,18166.0,16279.0,""
"Uttarakhand","NA",407.0,514.0,"NA",83622.0,100684.0,"NA",4824.0,5055.0,"NA","NULL","NULL","NA","NULL","NULL","NA","NULL","NULL","NULL","NULL","NULL","NA",88446.0,105739.0," "
"Uttar Pradesh",1572.0,1920.0,2127.0,187386.0,229443.0,242988.0,7403.0,11193.0,6618.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",194789.0,240636.0,249606.0,""
"West Bengal",1908.0,1496.0,"NA",225021.0,422304.0,"NA",4553.0,14675.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",229574.0,436979.0,"NA",""
"A. & N. Islands",28.0,"NA",25.0,4230.0,"NA",3800.0,203.0,"NA",141.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4433.0,"NA",3941.0,""
"Chandigarh",260.0,"NA",261.0,8097.0,"NA",7147.0,366.0,"NA",391.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8463.0,"NA",7538.0,""
"Dadar & Nagar Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"Delhi","NA","NA",1627.0,"NA","NA",70348.0,"NA","NA",5000.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",75348.0,""
"Puducherry","NA","NA","NA","NA","NA","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
