-----
{
 "description": "Data provides all India (from 2001 to 2010) and state-wise (2008-09 and 2009-10) details on the number of registered newspapers and periodicals by language.", 
 "file_name": "NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_LANGUAGE.xls", 
 "title": "Number of Registered Newspapers And Periodicals By Language (All India And State wise) ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_LANGUAGE.xls"
}
-----
"State/Union Territory","English-  2008-09","English-  2009-10","Hindi-2008-09","Hindi- 2009-10"," Assamese-2008-09"," Assamese- 2009-10"," Bengali-2008-09"," Bengali- 2009-10","Gujarati-2008-09","Gujarati- 2009-10","Kannada-2008-09","Kannada- 2009-10","Kashmiri-2008-09","Kashmiri- 2009-10","Malyalam-2008-09","Malyalam- 2009-10","Marathi-2008-09","Marathi- 2009-10","Oriya-2008-09","Oriya- 2009-10"," Punjabi-2008-09"," Punjabi- 2009-10","Sanskrit-2008-09","Sanskrit- 2009-10","  Sindhi-2008-09","  Sindhi- 2009-10","  Tamil-2008-09","  Tamil- 2009-10","  Telugu-2008-09","  Telugu- 2009-10","   Urdu-2008-09","   Urdu- 2009-10","Bi-lingual-2008-09","Bi-lingual- 2009-10","  Multi-lingual-2008-09","  Multi-lingual- 2009-10","  Others-2008-09","  Others- 2009-10","  Total-2008-09","  Total- 2009-10"
"Andhra Pradesh",634.0,677.0,65.0,67.0,2.0,2.0,7.0,7.0,5.0,5.0,10.0,10.0,"NA","NA",6.0,6.0,9.0,9.0,5.0,5.0,2.0,2.0,"NA","NA",2.0,2.0,7.0,7.0,2262.0,2516.0,544.0,560.0,283.0,294.0,39.0,42.0,2.0,2.0,3884.0,4213.0
"Arunachal Pradesh",12.0,13.0,1.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,2.0,15.0,16.0
"Assam",72.0,76.0,21.0,23.0,279.0,285.0,109.0,115.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,27.0,29.0,7.0,8.0,41.0,39.0,557.0,579.0
"Bihar",85.0,85.0,1307.0,1319.0,1.0,1.0,7.0,7.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,2.0,2.0,"NA","NA","NA","NA","NA","NA",168.0,171.0,29.0,31.0,11.0,11.0,23.0,24.0,1634.0,1652.0
"Chhatisgarh",8.0,11.0,577.0,637.0,"NA","NA",3.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA",3.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.0,6.0,18.0,23.0,1.0,1.0,2.0,2.0,616.0,686.0
"Goa",37.0,38.0,2.0,2.0,"NA","NA","NA","NA","NA","NA",3.0,3.0,"NA","NA","NA","NA",28.0,29.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA","NA",15.0,15.0,7.0,7.0,17.0,18.0,110.0,113.0
"Gujarat",187.0,198.0,121.0,125.0,"NA","NA","NA","NA",2785.0,2963.0,"NA",1.0,"NA","NA",5.0,5.0,15.0,16.0,1.0,1.0,"NA","NA","NA","NA",23.0,24.0,"NA","NA",1.0,1.0,3.0,3.0,124.0,138.0,58.0,60.0,1.0,"NA",3324.0,3535.0
"Haryana",99.0,105.0,1026.0,1068.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19.0,19.0,1.0,1.0,"NA","NA","NA","NA","NA","NA",17.0,18.0,124.0,131.0,17.0,18.0,1.0,1.0,1304.0,1363.0
"Himachal Pradesh",38.0,39.0,155.0,159.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,2.0,1.0,1.0,"NA","NA","NA","NA","NA","NA",6.0,6.0,33.0,33.0,2.0,2.0,2.0,2.0,239.0,244.0
"Jammu & Kashmir",184.0,207.0,58.0,67.0,"NA","NA","NA","NA","NA","NA","NA","NA",2.0,2.0,"NA","NA","NA","NA","NA","NA",3.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA",291.0,304.0,46.0,50.0,5.0,7.0,8.0,8.0,597.0,648.0
"Jharkhand",33.0,33.0,193.0,200.0,"NA","NA",3.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,2.0,"NA","NA",1.0,1.0,"NA","NA","NA","NA","NA","NA",17.0,18.0,13.0,13.0,5.0,5.0,7.0,9.0,274.0,284.0
"Karnataka",555.0,587.0,57.0,61.0,"NA","NA","NA","NA",1.0,1.0,2671.0,2885.0,"NA","NA",17.0,17.0,24.0,24.0,"NA","NA","NA","NA",2.0,2.0,1.0,1.0,37.0,40.0,12.0,12.0,152.0,153.0,214.0,227.0,35.0,38.0,20.0,23.0,3798.0,4071.0
"Kerala",276.0,291.0,11.0,12.0,"NA","NA",2.0,2.0,1.0,1.0,10.0,10.0,"NA","NA",1810.0,1890.0,2.0,2.0,"NA","NA","NA","NA",2.0,2.0,"NA","NA",19.0,19.0,2.0,2.0,"NA","NA",240.0,263.0,36.0,38.0,9.0,9.0,2420.0,2542.0
"Madhya Pradesh",128.0,135.0,4692.0,4958.0,"NA","NA","NA","NA",2.0,2.0,"NA","NA","NA","NA",5.0,1.0,3.0,4.0,"NA","NA","NA","NA",3.0,3.0,9.0,9.0,"NA","NA","NA","NA",38.0,41.0,182.0,209.0,23.0,23.0,2.0,1.0,5087.0,5387.0
