-----
{
 "description": "The table provide All India (from 2000-01 to 2011-12) and State-wise (2010-11 and 2011-12) details on mill production of cotton yarn (in Mn. Kg.).", 
 "file_name": "MILL_PRODUCTION_OF_COTTON_YARN.xls", 
 "title": "Mill Production of Cotton Yarn ", 
 "url": "http://data.gov.in/sites/default/files/MILL_PRODUCTION_OF_COTTON_YARN.xls"
}
-----
"Year","1 - 10 Counts (Mn. Kg.)","11-20 Counts (Mn. Kg.)"," 21-30 Counts (Mn. Kg.)"," 31-40 Counts (Mn. Kg.)","41-60 Counts (Mn. Kg.)","61-80 Counts (Mn. Kg.)","Above 80 Counts (Mn. Kg.)","Total Counts (Mn. Kg.)"
"2000-01",521.0,469.0,479.0,561.0,237.0,"NA","NA",2267.0
"2001-02",524.0,439.0,456.0,548.0,245.0,"NA","NA",2212.0
"2002-03",459.0,445.0,476.0,533.0,264.0,"NA","NA",2177.0
"2003-04",435.0,403.0,493.0,522.0,268.0,"NA","NA",2121.0
"2004-05",482.0,435.0,509.0,546.0,300.0,"NA","NA",2272.0
"2005-06",532.0,489.0,585.0,558.0,357.0,"NA","NA",2521.0
"2006-07",587.0,556.0,689.0,629.0,363.0,"NA","NA",2824.0
"2007-08",604.0,550.0,750.0,669.0,375.0,"NA","NA",2948.0
"2008-09",545.0,524.0,754.0,698.0,377.0,"NA","NA",2898.0
"2009-10 ",545.0,545.0,802.0,781.0,246.0,108.0,52.0,3079.0
"2010-11",603.0,594.0,898.0,918.0,294.0,125.0,58.0,3490.0
"2011-12 (P)",633.0,555.0,691.0,824.0,259.0,111.0,51.0,3124.0
