-----
{
 "description": "The table gives all India (2000-01 to 2009-10) and language-wise (2009 and 2010) details on the number of registered newspapers and periodicals.", 
 "file_name": "NO_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_LANGUAGE_AND_PERIODICITY.xls", 
 "title": "Number of Registered Newspapers And Periodicals By Language And Periodicity ", 
 "url": "http://data.gov.in/sites/default/files/NO_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_LANGUAGE_AND_PERIODICITY.xls"
}
-----
"Language","Dailies-2009","Dailies-2010","Bi/Tri Weekly-2009","Bi/Tri Weekly-2010","Weekly-2009","Weekly-2010","Fortnightly-2009","Fortnightly-2010","Monthly-2009","Monthly-2010","Quarterly-2009","Quarterly-2010","Annual-2009","Annual-2010","Others-2009","Others-2010","Total-2009","Total-2010"
"Assamese",38.0,41.0,5.0,5.0,95.0,96.0,46.0,46.0,85.0,86.0,15.0,15.0,1.0,1.0,11.0,12.0,296.0,560.0
"Bengali",128.0,134.0,15.0,17.0,721.0,734.0,709.0,732.0,879.0,908.0,583.0,594.0,31.0,32.0,251.0,264.0,3317.0,6604.0
"Bodo",2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,6.0,2.0,2.0,"NA","NA",1.0,1.0,16.0,31.0
"Dogri",1.0,1.0,"NA","NA",2.0,2.0,"NA","NA",1.0,1.0,3.0,3.0,"NA","NA","NA","NA",7.0,13.0
"English",668.0,733.0,42.0,47.0,1429.0,1502.0,1002.0,1034.0,4223.0,4387.0,1661.0,1712.0,267.0,279.0,1237.0,1278.0,10529.0,20833.0
"Gujarati",235.0,255.0,18.0,18.0,1442.0,1508.0,326.0,347.0,933.0,1009.0,91.0,92.0,16.0,17.0,69.0,72.0,3130.0,6213.0
"Hindi",3749.0,4121.0,130.0,130.0,13384.0,14107.0,4210.0,4402.0,6080.0,6509.0,1085.0,1124.0,62.0,66.0,390.0,406.0,29090.0,56206.0
"Kannada",515.0,550.0,6.0,6.0,601.0,640.0,448.0,494.0,1067.0,1157.0,70.0,72.0,4.0,4.0,32.0,36.0,2743.0,5187.0
"Kashmiri","NA","NA","NA","NA",2.0,2.0,"NA","NA",1.0,1.0,0.0,"NA","NA","NA",0.0,"NA",3.0,6.0
"Konkani",1.0,1.0,"NA","NA",4.0,4.0,2.0,2.0,7.0,11.0,2.0,2.0,"NA","NA",0.0,"NA",16.0,35.0
"Maithili",3.0,3.0,"NA","NA",1.0,1.0,3.0,3.0,8.0,8.0,5.0,5.0,"NA","NA",4.0,4.0,24.0,45.0
"Malayalam",275.0,294.0,9.0,9.0,213.0,215.0,191.0,194.0,1102.0,1151.0,82.0,86.0,19.0,21.0,58.0,61.0,1949.0,3705.0
"Manipuri",19.0,19.0,"NA","NA",7.0,7.0,5.0,5.0,11.0,12.0,7.0,7.0,"NA","NA",5.0,5.0,54.0,90.0
"Marathi",587.0,628.0,25.0,25.0,2183.0,2350.0,363.0,374.0,885.0,937.0,165.0,170.0,145.0,151.0,69.0,70.0,4422.0,8540.0
"Nepali",11.0,11.0,2.0,2.0,73.0,76.0,7.0,7.0,20.0,22.0,18.0,18.0,"NA","NA",8.0,8.0,139.0,272.0
"Oriya",109.0,118.0,3.0,3.0,261.0,278.0,153.0,165.0,400.0,421.0,119.0,122.0,6.0,6.0,35.0,36.0,1086.0,2126.0
"Punjabi             ",119.0,139.0,15.0,15.0,418.0,421.0,119.0,121.0,349.0,354.0,43.0,43.0,1.0,1.0,20.0,20.0,1084.0,2079.0
"Sainthali",1.0,2.0,"NA","NA","NA","NA","NA","NA",3.0,5.0,2.0,2.0,"NA","NA",1.0,1.0,7.0,16.0
"Sanskrit",5.0,6.0,"NA","NA",9.0,10.0,7.0,7.0,21.0,21.0,19.0,19.0,"NA","NA",6.0,6.0,67.0,131.0
"Sindhi",13.0,13.0,"NA","NA",43.0,44.0,11.0,11.0,40.0,40.0,11.0,11.0,"NA","NA",3.0,3.0,121.0,230.0
"Tamil",414.0,422.0,44.0,44.0,463.0,475.0,350.0,367.0,1609.0,1734.0,52.0,53.0,10.0,10.0,41.0,45.0,2983.0,5719.0
"Telugu",518.0,645.0,5.0,5.0,395.0,415.0,368.0,396.0,1026.0,1106.0,43.0,44.0,2.0,2.0,35.0,35.0,2392.0,4522.0
"Urdu",821.0,947.0,21.0,21.0,1479.0,1519.0,417.0,425.0,638.0,648.0,95.0,95.0,4.0,4.0,21.0,23.0,3496.0,6357.0
"Bilingual",155.0,173.0,22.0,22.0,1054.0,1132.0,598.0,632.0,2182.0,2334.0,540.0,571.0,65.0,70.0,277.0,295.0,4893.0,9967.0
"Multilingual",25.0,28.0,5.0,6.0,175.0,184.0,89.0,93.0,398.0,424.0,93.0,99.0,19.0,19.0,58.0,60.0,862.0,1750.0
"Others",63.0,69.0,15.0,15.0,86.0,86.0,33.0,34.0,151.0,183.0,58.0,60.0,1.0,1.0,13.0,13.0,420.0,461.0
