-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juveniles delinquency under Indian Penal Code (IPC).", 
 "file_name": "JUVENILES_DELINQUENCY_IPC_CASES.xls", 
 "title": "All India And State-wise Juveniles Delinquency Under IPC Cases ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILES_DELINQUENCY_IPC_CASES.xls"
}
-----
"Year","   Murder","Culpable homicide not amounting to murder","    Rape","Kidnapping and abduction","  Dacoity","   Robbery","  Burglary","Theft"," Riots","Criminal breach of trust","Cheating","Counter feiting","Other IPC crimes","Total Cognizable Crimes"
2001.0,531.0,34.0,399.0,122.0,59.0,164.0,1687.0,3196.0,1228.0,59.0,83.0,4.0,8943.0,16509.0
2002.0,531.0,22.0,485.0,164.0,63.0,207.0,1723.0,3361.0,1066.0,39.0,88.0,3.0,10808.0,18560.0
2003.0,465.0,25.0,466.0,202.0,122.0,208.0,2134.0,3680.0,1030.0,56.0,104.0,8.0,9319.0,17819.0
2004.0,472.0,19.0,568.0,232.0,121.0,224.0,2138.0,4554.0,982.0,43.0,149.0,9.0,9718.0,19229.0
2005.0,522.0,58.0,586.0,246.0,120.0,230.0,2270.0,4846.0,934.0,30.0,106.0,7.0,8984.0,18939.0
2006.0,605.0,36.0,656.0,271.0,99.0,321.0,2675.0,5316.0,988.0,15.0,94.0,8.0,10004.0,21088.0
2007.0,672.0,41.0,746.0,301.0,144.0,409.0,2603.0,5606.0,1440.0,40.0,111.0,12.0,10740.0,22865.0
2008.0,743.0,23.0,776.0,354.0,161.0,500.0,2702.0,5615.0,1574.0,53.0,135.0,17.0,11882.0,24535.0
2009.0,844.0,25.0,798.0,396.0,150.0,481.0,2431.0,5253.0,1422.0,17.0,108.0,11.0,11990.0,23926.0
2010.0,679.0,35.0,858.0,524.0,97.0,551.0,2271.0,4930.0,1081.0,28.0,134.0,11.0,11541.0,22740.0
2011.0,888.0,51.0,1149.0,760.0,134.0,639.0,2609.0,5320.0,1347.0,24.0,161.0,20.0,12023.0,25125.0
