-----
{
 "description": "This table gives All India (from 2000 to 2011) and State-wise (2009-10 and 2010-11) area under Principal Crops (food grains, cereals, oil seeds, tobacco, potato, black pepper, chillies, natural rubber, bananas, ginger, coconut and turmeric).  ", 
 "file_name": "AREA_UNDER_PRINCIPAL_CROPS_0.xls", 
 "title": "Area Under Principal Crops - All India and State Wise ", 
 "url": "http://data.gov.in/sites/default/files/AREA_UNDER_PRINCIPAL_CROPS_0.xls"
}
-----
"Year","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton","Jute","Mesta","Tea","Coffee","Natural Rubber"," Banana @","Sugar cane","Tobacco"," Potato &","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" 2000-01",44712.0,9856.0,9829.0,6611.0,1759.0,1424.0,25731.0,778.0,5185.0,3632.0,12531.0,20348.3,121048.3,6559.0,1720.0,4476.7,579.9,1079.7,22770.0,8535.0,828.0,189.7,504.366,347.0,400.0,459.0,4315.7,261.5,1221.9,213.87,836.5,86.2,1823.9,191.7
" 2001-02",44904.0,9795.0,9529.0,6581.5,1647.0,1310.5,26344.7,659.5,6416.2,3327.7,12264.5,22008.4,122779.6,6238.1,1671.0,5073.0,535.8,716.7,22636.4,9132.0,873.1,174.1,509.806,347.0,401.0,488.8,4411.6,348.5,1207.9,219.38,880.0,91.3,1932.3,167.1
" 2002-03",41176.1,9300.0,7739.8,6635.2,1415.0,1200.6,25195.7,701.6,5906.4,3358.9,11230.9,20496.2,113860.2,5935.5,1444.4,4544.0,450.1,583.2,21488.8,7670.0,864.5,170.8,515.832,354.0,408.0,459.8,4520.3,327.2,1345.0,224.39,827.4,88.2,1921.8,150.1
" 2003-04",42593.0,9331.0,10612.0,7343.0,1666.0,1191.0,26595.0,657.0,7048.0,3516.0,12894.0,23458.0,123446.0,5987.0,1700.0,5428.0,477.0,717.0,23663.0,7598.0,849.0,153.0,519.598,355.0,428.0,390.51,3938.0,369.7,1289.2,233.35,774.3,85.1,1933.7,150.1
" 2004-05",41906.7,9092.3,8232.9,7430.4,1552.7,1100.6,26382.9,616.5,6714.6,3518.5,12529.9,22763.0,120078.2,6640.4,1844.0,7316.4,448.7,743.0,27523.0,8786.6,773.9,141.8,521.403,363.0,440.0,404.2,3661.5,366.5,1318.5,228.32,737.5,95.3,1935.0,158.7
" 2005-06",43659.8,8667.3,9581.2,7588.3,1533.9,1064.3,26483.6,629.9,6926.4,3580.7,11884.2,22391.3,121599.3,6736.0,1723.2,7276.5,436.8,864.2,27862.8,8677.1,759.8,137.9,555.611,380.0,447.0,423.6,4201.7,372.8,1401.4,260.22,654.0,110.6,1946.8,172.0
" 2006-07",43813.6,8472.5,9507.9,7894.0,1177.4,1010.2,27994.5,646.2,7493.9,3561.6,12136.5,23192.0,123708.3,5615.1,1703.2,6790.0,436.5,628.4,26512.7,9144.5,792.9,142.2,567.02,381.0,454.0,477.24,5150.8,368.51,1484.42,245.96,763.23,106.1,1936.8,178.49
" 2007-08",43914.4,7764.0,9571.3,8117.3,1387.1,1039.2,28038.6,602.6,7543.7,3725.8,12363.5,23633.0,124067.5,6292.0,1799.1,5825.5,467.9,786.9,26692.6,9413.7,814.1,146.2,578.458,388.0,459.0,658.0,5055.2,348.1,1553.14,197.0,805.81,104.07,1903.19,175.28
" 2008-09",45537.4,7530.9,8752.5,8173.8,1381.4,905.0,27752.0,706.0,7892.5,3377.9,10823.7,22094.1,122834.1,6164.9,1809.1,6298.1,407.9,866.2,27557.8,9406.7,785.6,115.3,579.0,394.0,463.0,709.0,4415.4,391.0,1828.3,239.0,779.0,109.0,1903.2,181.0
" 2009-10 @&",41918.4,7786.6,8903.6,8261.2,1268.1,831.3,28457.0,623.8,8168.6,3466.0,11646.1,23281.7,121333.2,5478.1,1941.8,5587.9,341.6,735.4,25958.8,10132.2,811.2,94.3,579.0,400.0,468.0,770.0,4175.4,444.0,1835.0,196.86,766.87,107.05,1895.2,180.3
" 2010-11 P",42863.0,7382.0,9612.0,8553.0,1286.0,893.0,29069.0,705.0,9186.0,4367.0,10721.0,26408.0,126771.0,5856.0,2082.0,6901.0,359.0,880.0,27224.0,11235.0,774.0,99.0,"NA",400.0,477.0,830.0,4885.0,493.0,1863.0,184.0,792.0,149.0,1896.0,195.0
