-----
{
 "description": "Macro economic data on key parameters from 2004-05 onwards using the new base year are provided in this.  Besides data on Gross Domestic product, Capital Formation, Net income, Savings etc growth rates and sectoral breakups are also provided.  For details regarding concepts, definitions,...", 
 "file_name": "Annual_Estimates_of_GDP_at_Constant_2004-05_Prices_1.xls", 
 "title": "Annual Estimates of GDP at Constant (2004-05) Prices ", 
 "url": "http://data.gov.in/sites/default/files/Annual_Estimates_of_GDP_at_Constant_2004-05_Prices_1.xls"
}
-----
"Rates of GDP at Market Prices","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"30. Government Final Capital Expenditure (GFCE)",10.9344585744,10.8941694032,10.3468979701,10.3252041891,10.9696696528,11.5834364359,11.4029816603,11.2158035222
"31. Private Final Consumption Expenditure (PFCE)",59.1420232317,58.7966569654,58.3726854065,58.1375576296,59.9954720805,59.4470411968,58.6637132184,57.9264242989
"32. Gross Fixed Capital Formation (GFCF)",28.7158404885,30.5311181068,31.8033979044,33.657532361,33.5331895673,33.0729035156,32.4507225853,32.0330146429
"32.1 Construction",15.8460973154,16.6553589225,17.0525869404,17.6624156376,17.4875861085,17.3006072368,17.1363811477,""
"32.2 Machinery",12.8697431731,13.8757591842,14.7508109641,15.9951167234,16.0456034588,15.7722962788,15.3143414376,""
"33. CIS",2.47207999238,2.86491703593,3.44973227577,4.12639779095,1.93123282813,2.91145998908,3.6521759318,3.49922068922
"34. Valuables",1.26623336367,1.14059823675,1.1864468234,1.11182295586,1.35830307807,1.97741687373,2.39060042354,2.41498007225
"35. Exports of Goods and Services",17.5513361415,20.2476719176,22.3030281607,21.5158634599,23.7331689168,20.8810056685,23.3808712177,25.2289247419
"36. Less Imports of Goods and Services",19.3061273965,23.4227662246,26.0416168338,26.1344803518,30.8694360691,27.883866897,29.419522596,32.6171651811
"37. Discrepancies ",-0.775844395653,-1.05236544105,-1.42057170701,-2.73989803454,-0.651600054438,-1.98939678267,-2.52154244086,0.298797213719
