-----
{
 "description": "Data provides all India (from 2000 to 2008) and state-wise (2007 and 2008) details on the number of registered trade unions (such as workers unions and employers unions).", 
 "file_name": "NUMBER_OF_REGISTERED_TRADE_UNIONS_0.xls", 
 "title": "Number of Registered Trade Unions ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_REGISTERED_TRADE_UNIONS_0.xls"
}
-----
"Central Union","Workers Unions - On register (2007)","Workers Unions - On register (2008)","Workers Unions - Submitting returns (2007)","Workers Unions - Submitting returns (2008)","Employers  Unions - On register (2007)","Employers Unions - On register (2008)","Employers Unions - Submitting returns (2007)","Employers Unions - Submitting returns (2008)","All Unions - On register (2007)","All Unions - On register (2008)","All Unions - Submitting returns (2007)","All Unions - Submitting returns (2008)"
"Andhra Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Assam","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Goa",42.0,41.0,13.0,18.0,"NA","NA","NA","NA",42.0,41.0,13.0,18.0
"Gujarat",62.0,"NA",10.0,"NA","NA","NA","NA","NA",62.0,"NA",10.0,"NA"
"Haryana",75.0,69.0,25.0,23.0,"NA","NA","NA","NA",75.0,69.0,25.0,23.0
"Himachal Pradesh",73.0,"NA",5.0,"NA","NA","NA","NA","NA",73.0,"NA",5.0,5.0
"Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Karnataka","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Kerala","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Madhya Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Maharashtra","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Manipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mizorum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Nagaland",1.0,"NA",1.0,"NA","NA","NA","NA","NA",1.0,"NA",1.0,"NA"
"Orissa",92.0,"NA",12.0,"NA","NA","NA","NA","NA",92.0,"NA",12.0,"NA"
"Punjab",27.0,24.0,5.0,1.0,"NA","NA","NA","NA",27.0,24.0,5.0,1.0
"Rajasthan",239.0,338.0,13.0,33.0,"NA","NA","NA","NA",239.0,338.0,13.0,33.0
"Tamil Nadu",1755.0,2534.0,501.0,680.0,"NA","NA","NA","NA",1755.0,2534.0,501.0,680.0
"Tripura","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Uttar Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Uttra khand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"West Bengal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A. & N. Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chandigarh",40.0,35.0,5.0,4.0,"..","..","..","..",40.0,35.0,5.0,5.0
"D & N Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Puducherry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
