"Type of Reporting Entity ","CCRs Received 2007-08","CCRs Received 2008-09","CCRs Received 2009-10","CCRs Received 2010-11","CCRs Received 2011-12","CCR Receipt till 31st March 2012"
"Public Sector Banks",81.0,396.0,1391.0,1896.0,2649.0,6413.0
"Private Indian Banks",7388.0,29846.0,115720.0,234400.0,310714.0,698068.0
"Private Foreign Banks",1111.0,5422.0,7099.0,7936.0,9273.0,30841.0
"Others",0.0,66.0,3571.0,7216.0,4746.0,15599.0
"Total",8580.0,35730.0,127781.0,251448.0,327382.0,750921.0
