-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of persons arrested under IPC by courts.", 
 "file_name": "DISPOSAL_OF_PERSONS_ARRESTED_UNDER_IPC_BY_COURTS.xls", 
 "title": "All India And State-wise Disposal Of Persons Arrested Under IPC By Courts ", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_PERSONS_ARRESTED_UNDER_IPC_BY_COURTS.xls"
}
-----
"State/U.T","Year","Total persons under trial during the year including the persons carried over from previous year","Persons against whom cases were compounded or withdrwan","No. of persons whose trial remained pending","Total - Persons in whose cases trials were completed during the year","Persons convicted - Persons in whose cases trials were completed during the year","Persons acquitted - Persons in whose cases trials were completed during the year"
"Andhra Pradesh",2009.0,640346.0,48777.0,430827.0,160742.0,45573.0,115169.0
"Arunachal Pradesh",2009.0,22197.0,136.0,21431.0,630.0,360.0,270.0
"Assam",2009.0,152371.0,1879.0,123233.0,27259.0,5044.0,22215.0
"Bihar",2009.0,1608871.0,8440.0,1455718.0,144713.0,20810.0,123903.0
"Chhattisgarh",2009.0,293546.0,5695.0,247336.0,40515.0,19579.0,20936.0
"Goa",2009.0,15110.0,61.0,12970.0,2079.0,381.0,1698.0
"Gujarat",2009.0,1590608.0,6213.0,1489750.0,94645.0,27344.0,67301.0
"Haryana",2009.0,333185.0,392.0,272125.0,60668.0,18710.0,41958.0
"Himachal Pradesh",2009.0,120363.0,2409.0,104085.0,13869.0,2566.0,11303.0
"Jammu & Kashmir",2009.0,185832.0,5863.0,161031.0,18938.0,5931.0,13007.0
"Jharkhand",2009.0,138026.0,1370.0,92344.0,44312.0,13571.0,30741.0
"Karnataka",2009.0,426737.0,17430.0,297515.0,111792.0,29051.0,82741.0
"Kerala",2009.0,697190.0,11837.0,559476.0,125877.0,54157.0,71720.0
"Madhya Pradesh",2009.0,1571987.0,106189.0,1261103.0,204695.0,92712.0,111983.0
"Maharashtra",2009.0,2888318.0,16756.0,2713255.0,158307.0,10808.0,147499.0
"Manipur",2009.0,3005.0,0.0,2979.0,26.0,7.0,19.0
"Meghalaya",2009.0,13230.0,40.0,12381.0,809.0,275.0,534.0
"Mizoram",2009.0,4350.0,0.0,1812.0,2538.0,2308.0,230.0
"Nagaland",2009.0,2076.0,11.0,1540.0,525.0,414.0,111.0
"Orissa",2009.0,600523.0,0.0,546434.0,54089.0,8879.0,45210.0
"Punjab",2009.0,176372.0,235.0,140672.0,35465.0,11800.0,23665.0
"Rajasthan",2009.0,1047266.0,26564.0,875609.0,145093.0,80670.0,64423.0
"Sikkim",2009.0,1513.0,262.0,671.0,580.0,322.0,258.0
"Tamil Nadu",2009.0,513378.0,515.0,339958.0,172905.0,95109.0,77796.0
"Tripura",2009.0,11130.0,722.0,5779.0,4629.0,380.0,4249.0
"Uttar Pradesh",2009.0,1172083.0,16214.0,904212.0,251657.0,136777.0,114880.0
"Uttarakhand",2009.0,55941.0,1161.0,44830.0,9950.0,6271.0,3679.0
"West Bengal",2009.0,815351.0,5618.0,754695.0,55038.0,4158.0,50880.0
"A. & N. Islands",2009.0,8655.0,0.0,8409.0,246.0,68.0,178.0
"Chandigarh",2009.0,12235.0,0.0,9882.0,2353.0,1054.0,1299.0
"D. & N.Haveli",2009.0,4391.0,0.0,4095.0,296.0,46.0,250.0
"Daman and Diu",2009.0,1754.0,4.0,1351.0,399.0,30.0,369.0
"Delhi",2009.0,239563.0,0.0,215232.0,24331.0,13526.0,10805.0
"Lakshadweep",2009.0,826.0,0.0,212.0,614.0,0.0,614.0
"Puducherry",2009.0,15367.0,91.0,11873.0,3403.0,2800.0,603.0
"Andhra Pradesh",2010.0,661687.0,46836.0,443260.0,171591.0,53463.0,118128.0
"Arunachal Pradesh",2010.0,23096.0,359.0,21837.0,900.0,531.0,369.0
"Assam",2010.0,159465.0,3418.0,130486.0,25561.0,4182.0,21379.0
"Bihar",2010.0,1639025.0,12216.0,1477295.0,149514.0,18672.0,130842.0
"Chhattisgarh",2010.0,319315.0,13804.0,253447.0,52064.0,24064.0,28000.0
"Goa",2010.0,16260.0,97.0,13542.0,2621.0,370.0,2251.0
"Gujarat",2010.0,1650859.0,3798.0,1547704.0,99357.0,29591.0,69766.0
"Haryana",2010.0,334680.0,294.0,267244.0,67142.0,19257.0,47885.0
"Himachal Pradesh",2010.0,123073.0,1686.0,110904.0,10483.0,1803.0,8680.0
"Jammu & Kashmir",2010.0,192532.0,6091.0,168467.0,17974.0,6165.0,11809.0
"Jharkhand",2010.0,146186.0,781.0,96212.0,49193.0,11821.0,37372.0
"Karnataka",2010.0,450297.0,20474.0,313674.0,116149.0,32434.0,83715.0
"Kerala",2010.0,756116.0,9688.0,613751.0,132677.0,65946.0,66731.0
"Madhya Pradesh",2010.0,1604629.0,103332.0,1222936.0,278361.0,129435.0,148926.0
"Maharashtra",2010.0,3003530.0,16197.0,2798539.0,188794.0,14704.0,174090.0
"Manipur",2010.0,3112.0,0.0,3046.0,66.0,39.0,27.0
"Meghalaya",2010.0,13639.0,76.0,12851.0,712.0,213.0,499.0
"Mizoram",2010.0,4289.0,0.0,1215.0,3074.0,2889.0,185.0
"Nagaland",2010.0,2342.0,107.0,1508.0,727.0,439.0,288.0
"Orissa",2010.0,639273.0,0.0,563924.0,75349.0,6497.0,68852.0
"Punjab",2010.0,181865.0,957.0,145059.0,35849.0,13824.0,22025.0
"Rajasthan",2010.0,1053188.0,22737.0,927264.0,103187.0,59521.0,43666.0
"Sikkim",2010.0,1229.0,71.0,873.0,285.0,125.0,160.0
"Tamil Nadu",2010.0,531604.0,649.0,347749.0,183206.0,93841.0,89365.0
"Tripura",2010.0,11408.0,409.0,6353.0,4646.0,448.0,4198.0
"Uttar Pradesh",2010.0,1130508.0,10026.0,850575.0,269907.0,156614.0,113293.0
"Uttarakhand",2010.0,57221.0,848.0,46753.0,9620.0,5746.0,3874.0
"West Bengal",2010.0,882504.0,5137.0,818535.0,58832.0,5057.0,53775.0
"A. & N. Islands",2010.0,9451.0,0.0,9129.0,322.0,139.0,183.0
"Chandigarh",2010.0,12212.0,0.0,9144.0,3068.0,1101.0,1967.0
"D.&N.Haveli",2010.0,4609.0,0.0,4341.0,268.0,56.0,212.0
"Daman and Diu",2010.0,1710.0,52.0,1458.0,200.0,19.0,181.0
"Delhi",2010.0,246068.0,0.0,216724.0,29344.0,14526.0,14818.0
"Lakshadweep",2010.0,233.0,5.0,228.0,0.0,0.0,0.0
"Puducherry",2010.0,18022.0,1026.0,9066.0,7930.0,4040.0,3890.0
"Andhra Pradesh",2011.0,676006.0,41736.0,456873.0,177397.0,50447.0,126950.0
