-----
{
 "description": "This data provides state-wise number of minority concentrated districts and minority concentrated blocks all over India as on 31st March 2013.", 
 "file_name": "STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls", 
 "title": "State-wise Number of Minority Concentrated Districts And Minority Concentrated Blocks As On 31st March 2013 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls"
}
-----
"S.No.","State Name","District Name","Block Name"
94.0,"ASSAM","KAMRUP","BEZERA"
95.0,"ASSAM","KAMRUP","BIHDIA-JAJIKONA"
96.0,"ASSAM","KAMRUP","CHAMARIA"
97.0,"ASSAM","KAMRUP","GOROIMARI"
98.0,"ASSAM","KAMRUP","HAJO"
99.0,"ASSAM","KAMRUP","RANGIA"
100.0,"ASSAM","KARBI ANGLONG","BOKAJAN"
101.0,"ASSAM","KARBI ANGLONG","NILIP"
102.0,"ASSAM","KARIMGANJ","BADARPUR"
103.0,"ASSAM","KARIMGANJ","DULLAV CHERRA"
104.0,"ASSAM","KARIMGANJ","LOWAIRPOA"
105.0,"ASSAM","KARIMGANJ","NORTH KARIMGANJ"
106.0,"ASSAM","KARIMGANJ","PATHERKAND"
107.0,"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR"
108.0,"ASSAM","KARIMGANJ","SOUTH KARIMGANJ"
109.0,"ASSAM","KOKRAJHAR","DOTOMA"
110.0,"ASSAM","KOKRAJHAR","GOSSAIGAON"
111.0,"ASSAM","KOKRAJHAR","HATIDHURA"
112.0,"ASSAM","KOKRAJHAR","KACHUGAON"
113.0,"ASSAM","LAKHIMPUR","KARUNABARI"
114.0,"ASSAM","LAKHIMPUR","LAKHIMPUR"
115.0,"ASSAM","LAKHIMPUR","NOWBOICHA"
116.0,"ASSAM","MARIGAON","BHUR-BANDHA"
117.0,"ASSAM","MARIGAON","KAPILI PT."
118.0,"ASSAM","MARIGAON","LAHARIGHAT"
119.0,"ASSAM","MARIGAON","MAIRABARI  (PART)"
120.0,"ASSAM","MARIGAON","MAYANG"
121.0,"ASSAM","NAGAON","BAJIAGAON"
122.0,"ASSAM","NAGAON","BATADRAWA"
123.0,"ASSAM","NAGAON","BINNAKANDI"
124.0,"ASSAM","NAGAON","DHAL PUKHURI"
125.0,"ASSAM","NAGAON","JUGIJAN"
126.0,"ASSAM","NAGAON","JURIA"
127.0,"ASSAM","NAGAON","KATHIATOLI"
128.0,"ASSAM","NAGAON","KHAGARIJAN"
129.0,"ASSAM","NAGAON","LAO-KHOWA"
130.0,"ASSAM","NAGAON","LUMDING"
131.0,"ASSAM","NAGAON","MAIRABARI PT."
132.0,"ASSAM","NAGAON","PACHIM-KALIABOR"
133.0,"ASSAM","NAGAON","PAKHIMARIA"
134.0,"ASSAM","NAGAON","RAHA"
135.0,"ASSAM","NAGAON","RUPAHI"
136.0,"ASSAM","NAGAON","UDALI"
137.0,"ASSAM","NALBARI","BARIGOG-BANBHAG"
138.0,"ASSAM","NALBARI","BARKHETRI"
139.0,"ASSAM","NALBARI","MADHUPUR"
140.0,"ASSAM","NORTH CACHAR HILLS","HARANGAJAO"
141.0,"ASSAM","NORTH CACHAR HILLS","JATINGA VALLEY"
142.0,"ASSAM","NORTH CACHAR HILLS","NEW SANGBAR"
143.0,"ASSAM","SONITPUR","BALIPARA"
144.0,"ASSAM","SONITPUR","BARCHALA"
145.0,"ASSAM","SONITPUR","BISHAWNATH"
146.0,"ASSAM","SONITPUR","CHATIA"
147.0,"ASSAM","SONITPUR","DHEKIAJULI"
148.0,"ASSAM","SONITPUR","GABHARU"
149.0,"BIHAR","ARARIA","ARARIA"
150.0,"BIHAR","ARARIA","FORBESGANJ"
151.0,"BIHAR","ARARIA","JOKIHAT"
152.0,"BIHAR","ARARIA","NARPATGANJ"
153.0,"BIHAR","ARARIA","PALASI"
154.0,"BIHAR","ARARIA","RANIGANJ"
155.0,"BIHAR","ARARIA","SIKTI"
156.0,"BIHAR","BHAGALPUR","JAGDISHPUR"
157.0,"BIHAR","BHAGALPUR","SONHAULA"
158.0,"BIHAR","DARBHANGA","ALINAGAR"
159.0,"BIHAR","DARBHANGA","DARBHANGA"
160.0,"BIHAR","DARBHANGA","GORA BAURAM"
161.0,"BIHAR","DARBHANGA","HAYAGHAT"
162.0,"BIHAR","DARBHANGA","JALE"
163.0,"BIHAR","DARBHANGA","KEOTI"
164.0,"BIHAR","DARBHANGA","KIRATPUR"
165.0,"BIHAR","DARBHANGA","MANIGACHHI"
166.0,"BIHAR","DARBHANGA","SINGHWARA"
167.0,"BIHAR","GOPALGANJ","MANJHA"
168.0,"BIHAR","GOPALGANJ","THAWE"
169.0,"BIHAR","GOPALGANJ","UCHKAGAON"
170.0,"BIHAR","KATIHAR","AMDABAD"
171.0,"BIHAR","KATIHAR","AZAMNAGAR"
172.0,"BIHAR","KATIHAR","BALRAMPUR"
173.0,"BIHAR","KATIHAR","BARARI"
174.0,"BIHAR","KATIHAR","BARSOI"
175.0,"BIHAR","KATIHAR","FALKA"
176.0,"BIHAR","KATIHAR","HASANGANJ"
177.0,"BIHAR","KATIHAR","KADWA"
178.0,"BIHAR","KATIHAR","KATIHAR"
179.0,"BIHAR","KATIHAR","KORHA"
180.0,"BIHAR","KATIHAR","MANIHARI"
181.0,"BIHAR","KATIHAR","MANSAHI"
182.0,"BIHAR","KATIHAR","PRANPUR"
183.0,"BIHAR","KISHANGANJ","BAHADURGANJ"
184.0,"BIHAR","KISHANGANJ","DIGHALBANK"
185.0,"BIHAR","KISHANGANJ","KISHANGANJ"
186.0,"BIHAR","KISHANGANJ","KOCHADHAMIN"
187.0,"BIHAR","KISHANGANJ","POTHIA"
188.0,"BIHAR","KISHANGANJ","TERHAGACHH"
189.0,"BIHAR","KISHANGANJ","THAKURGANJ"
190.0,"BIHAR","MADHUBANI","BISFI"
191.0,"BIHAR","MADHUBANI","KALUAHI"
192.0,"BIHAR","PASHCHIM CHAMPARAN","LAURIA"
193.0,"BIHAR","PASHCHIM CHAMPARAN","MAINATANR"
194.0,"BIHAR","PASHCHIM CHAMPARAN","NARKATIAGANJ"
195.0,"BIHAR","PASHCHIM CHAMPARAN","SIKTA"
196.0,"BIHAR","PURBA CHAMPARAN (MOTIHARI)","ADAPUR"
197.0,"BIHAR","PURBA CHAMPARAN (MOTIHARI)","BANJARIA"
198.0,"BIHAR","PURBA CHAMPARAN (MOTIHARI)","DHAKA"
199.0,"BIHAR","PURBA CHAMPARAN (MOTIHARI)","NARKATIA"
200.0,"BIHAR","PURBA CHAMPARAN (MOTIHARI)","RAMGARHWA"
201.0,"BIHAR","PURNIA","AMOUR"
202.0,"BIHAR","PURNIA","BAISA"
203.0,"BIHAR","PURNIA","BAISI"
204.0,"BIHAR","PURNIA","DAGARUA"
205.0,"BIHAR","PURNIA","JALALGARH"
206.0,"BIHAR","PURNIA","KASBA"
207.0,"BIHAR","PURNIA","KRITYANAND NAGAR"
208.0,"BIHAR","PURNIA","PURNIA EAST"
209.0,"BIHAR","PURNIA","SRINAGAR"
210.0,"BIHAR","SAMASTIPUR","TAJPUR"
211.0,"BIHAR","SITAMARHI","BAIRGANIA"
212.0,"BIHAR","SITAMARHI","BAJPATTI"
213.0,"BIHAR","SITAMARHI","BOKHARA"
214.0,"BIHAR","SITAMARHI","NANPUR"
215.0,"BIHAR","SITAMARHI","PARIHAR"
216.0,"BIHAR","SITAMARHI","PUPRI"
217.0,"BIHAR","SIWAN","BARHARIA"
218.0,"BIHAR","SIWAN","HASAN PURA"
219.0,"BIHAR","SIWAN","HUSSAINGANJ"
220.0,"BIHAR","SUPAUL","BASANTPUR"
221.0,"BIHAR","VAISHALI","CHEHRA KALAN"
222.0,"CHATTISGARH","JASHPUR","DULDULA"
223.0,"CHATTISGARH","JASHPUR","JASHPUR"
224.0,"CHATTISGARH","JASHPUR","KANSABEL"
225.0,"CHATTISGARH","JASHPUR","KUNKURI"
226.0,"CHATTISGARH","JASHPUR","MANORA"
227.0,"GOA","NORTH GOA","BARDEZ"
228.0,"GOA","NORTH GOA","TISWADI"
229.0,"GOA","SOUTH GOA","MORMUGAO"
230.0,"GOA","SOUTH GOA","QUEPEM"
231.0,"GOA","SOUTH GOA","SALCETE"
232.0,"GUJARAT","BHARUCH","AMOD"
233.0,"GUJARAT","BHARUCH","BHARUCH"
234.0,"GUJARAT","BHARUCH","JAMBUSAR"
235.0,"GUJARAT","KACHCHH","ABDASA"
236.0,"GUJARAT","KACHCHH","BHUJ"
237.0,"GUJARAT","KACHCHH","LAKHPAT"
238.0,"GUJARAT","RAJKOT","MALIYA"
239.0,"GUJARAT","RAJKOT","WANKANER"
240.0,"HARYANA","FATEHABAD ","RATIA"
241.0,"HARYANA","FATEHABAD ","TOHANA"
242.0,"HARYANA","KAITHAL","GUHLA"
243.0,"HARYANA","KURUKSHETRA","PEHOWA "
244.0,"HARYANA","SIRSA","BARAGUDHA"
245.0,"HARYANA","SIRSA","DABWALI"
246.0,"HARYANA","SIRSA","ELLENABAD"
247.0,"HARYANA","SIRSA","ODHAN"
248.0,"HARYANA","YAMUNANAGAR","CHHACHHRAULI"
249.0,"HARYANA","YAMUNANAGAR","SADAURA (PART)"
250.0,"HIMACHAL PRADESH","KINNAUR","POOH"
251.0,"HIMACHAL PRADESH","LAHUL AND SPITI","LAHAUL"
252.0,"HIMACHAL PRADESH","LAHUL AND SPITI","SPITI"
253.0,"JAMMU AND KASHMIR","ANANTNAG","ACHABAL"
254.0,"JAMMU AND KASHMIR","ANANTNAG","BRENG"
255.0,"JAMMU AND KASHMIR","ANANTNAG","DACHNIPORA"
256.0,"JAMMU AND KASHMIR","ANANTNAG","KOVIRIPORA"
257.0,"JAMMU AND KASHMIR","ANANTNAG","SHAHABAD"
