-----
{
 "description": "This data provides state-wise number of minority concentrated districts and minority concentrated blocks all over India as on 31st March 2013.", 
 "file_name": "STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls", 
 "title": "State-wise Number of Minority Concentrated Districts And Minority Concentrated Blocks As On 31st March 2013 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls"
}
-----
"S.No.","State Name","District Name","Block Name"
431.0,"KERALA","KOLLAM","OCHIRA"
432.0,"KERALA","KOLLAM","PATHANAPURAM"
433.0,"KERALA","KOLLAM","SASTHAMKOTTA"
434.0,"KERALA","KOLLAM","VETTIKKAVALA"
435.0,"KERALA","KOTTAYAM","ERATTUPETTA"
436.0,"KERALA","KOTTAYAM","ETTUMANOOR"
437.0,"KERALA","KOTTAYAM","KADUTHURUTHI"
438.0,"KERALA","KOTTAYAM","KANJIRAPPALLY"
439.0,"KERALA","KOTTAYAM","LALAM"
440.0,"KERALA","KOTTAYAM","MADAPPALLY"
441.0,"KERALA","KOTTAYAM","PALLAM"
442.0,"KERALA","KOTTAYAM","PAMPADY"
443.0,"KERALA","KOTTAYAM","UZHAVOOR"
444.0,"KERALA","KOTTAYAM","VAZHOOR"
445.0,"KERALA","KOZHIKODE","BALUSSERY"
446.0,"KERALA","KOZHIKODE","CHELANNOOR"
447.0,"KERALA","KOZHIKODE","KODUVALLY"
448.0,"KERALA","KOZHIKODE","KUNNAMANGALAM"
449.0,"KERALA","KOZHIKODE","KUNNUMMEL"
450.0,"KERALA","KOZHIKODE","MELADY"
451.0,"KERALA","KOZHIKODE","PANDALAYANI"
452.0,"KERALA","KOZHIKODE","PERMBRA"
453.0,"KERALA","KOZHIKODE","THODANNUR"
454.0,"KERALA","KOZHIKODE","THOONERI"
455.0,"KERALA","KOZHIKODE","VADAKARA"
456.0,"KERALA","MALAPPURAM","KUTTIPURAM"
457.0,"KERALA","MALAPPURAM","MALAPPURAM"
458.0,"KERALA","MALAPPURAM","MANKADA"
459.0,"KERALA","MALAPPURAM","NILAMBOOR"
460.0,"KERALA","MALAPPURAM","PERUMPADAPPU"
461.0,"KERALA","MALAPPURAM","PERUMTHALMANNA"
462.0,"KERALA","MALAPPURAM","PONNANI"
463.0,"KERALA","MALAPPURAM","THANOOR"
464.0,"KERALA","MALAPPURAM","THIROOR"
465.0,"KERALA","MALAPPURAM","THIROORANGADI"
466.0,"KERALA","MALAPPURAM","VANDOOR"
467.0,"KERALA","MALAPPURAM","VENGARA"
468.0,"KERALA","PALAKKAD","ALATHUR"
469.0,"KERALA","PALAKKAD","MANNARKKAD"
470.0,"KERALA","PALAKKAD","OTTAPALAM"
471.0,"KERALA","PALAKKAD","PATTAMBI"
472.0,"KERALA","PALAKKAD","SREEKRISHNAPURAM"
473.0,"KERALA","PALAKKAD","THRITHALA"
474.0,"KERALA","PATHANAMTHITTA","ELAMTHOOR"
475.0,"KERALA","PATHANAMTHITTA","KOIPRAM"
476.0,"KERALA","PATHANAMTHITTA","KONNI"
477.0,"KERALA","PATHANAMTHITTA","KULANADA"
478.0,"KERALA","PATHANAMTHITTA","MALLAPPALLY"
479.0,"KERALA","PATHANAMTHITTA","PANDALAM"
480.0,"KERALA","PATHANAMTHITTA","PARAKKODE"
481.0,"KERALA","PATHANAMTHITTA","PULIKEEZHU"
482.0,"KERALA","PATHANAMTHITTA","RANNI"
483.0,"KERALA","THIRUVANANTHAPURAM","ATHIYANNOOR"
484.0,"KERALA","THIRUVANANTHAPURAM","KAZHAKKOOTTAM"
485.0,"KERALA","THIRUVANANTHAPURAM","NEDUMANGAD"
486.0,"KERALA","THIRUVANANTHAPURAM","PARASSALA"
487.0,"KERALA","THIRUVANANTHAPURAM","PERUMKADAVILA"
488.0,"KERALA","THIRUVANANTHAPURAM","VARKKALA"
489.0,"KERALA","THIRUVANANTHAPURAM","VELLANAD"
490.0,"KERALA","THRISSUR","ANTHIKKAD"
491.0,"KERALA","THRISSUR","CHALAKKUDY"
492.0,"KERALA","THRISSUR","CHAVAKKAD"
493.0,"KERALA","THRISSUR","CHERPU"
494.0,"KERALA","THRISSUR","CHOVANNUR"
495.0,"KERALA","THRISSUR","IRINJALAKKUDA"
496.0,"KERALA","THRISSUR","KODAKARA"
497.0,"KERALA","THRISSUR","KODUNGALLOOR"
498.0,"KERALA","THRISSUR","MALA"
499.0,"KERALA","THRISSUR","MATHILAKOM"
500.0,"KERALA","THRISSUR","MULLASSERY"
501.0,"KERALA","THRISSUR","OLLOORKARA"
502.0,"KERALA","THRISSUR","PAZHAYANNNUR"
503.0,"KERALA","THRISSUR","PUZHAKKAL"
504.0,"KERALA","THRISSUR","THALIKKULAM"
505.0,"KERALA","THRISSUR","VADAKKAMCHERY"
506.0,"KERALA","THRISSUR","VELLANGALLOOR"
507.0,"KERALA","WAYANAD","KALPETTA"
508.0,"KERALA","WAYANAD","MANANTHAVADY"
509.0,"KERALA","WAYANAD","SULTHANBETHERI"
510.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","AGATTI"
511.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","AMINI"
512.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","ANDROTT"
513.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","CHETLAT"
514.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","KADMAT"
515.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","KALPENI"
516.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","KAVARATTI"
517.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","KILTAN"
518.0,"LAKSHADWEEP","LAKSHADWEEP DISTRICT","MINICOY"
519.0,"MAHARASHTRA","AKOLA","AKOLA"
520.0,"MAHARASHTRA","AKOLA","BARSHITAKLI"
521.0,"MAHARASHTRA","AKOLA","MURTIJAPUR"
522.0,"MAHARASHTRA","AKOLA","PATUR"
523.0,"MAHARASHTRA","AKOLA","TELHARA"
524.0,"MAHARASHTRA","AMRAVATI","AMRAVATI"
525.0,"MAHARASHTRA","AMRAVATI","ANJANGAON SURJI"
526.0,"MAHARASHTRA","AMRAVATI","BHATKULI"
527.0,"MAHARASHTRA","AMRAVATI","CHANDUR BAZAR"
528.0,"MAHARASHTRA","AMRAVATI","DARYAPUR"
529.0,"MAHARASHTRA","AMRAVATI","MORSHI"
530.0,"MAHARASHTRA","AMRAVATI","NANDGAON KH."
531.0,"MAHARASHTRA","BULDANA","BULDANA"
532.0,"MAHARASHTRA","BULDANA","CHIKHALI"
533.0,"MAHARASHTRA","BULDANA","KHAMGAON"
534.0,"MAHARASHTRA","BULDANA","SHEGAON"
535.0,"MAHARASHTRA","HINGOLI","HINGOLI"
536.0,"MAHARASHTRA","NANDED","ARDHAPUR"
537.0,"MAHARASHTRA","NANDED","NANDED"
538.0,"MAHARASHTRA","RAIGAD","MHASLA"
539.0,"MAHARASHTRA","RAIGAD","SHRIWARDHAN"
540.0,"MAHARASHTRA","WASHIM","KARANJA"
541.0,"MAHARASHTRA","WASHIM","MANGRULPIR"
542.0,"MAHARASHTRA","YAVATMAL","NER"
543.0,"MANIPUR","CHANDEL","CHAKPIKARONG"
544.0,"MANIPUR","CHANDEL","CHANDEL"
545.0,"MANIPUR","CHANDEL","MACHI"
546.0,"MANIPUR","CHANDEL","TENGNOUPAL"
547.0,"MANIPUR","CHURACHANDPUR","HENGLEP"
548.0,"MANIPUR","CHURACHANDPUR","SAMULAMLAN"
549.0,"MANIPUR","CHURACHANDPUR","SINGHAT"
550.0,"MANIPUR","CHURACHANDPUR","THANLON"
551.0,"MANIPUR","IMPHAL EAST","Jiribam"
552.0,"MANIPUR","SENAPATI","KANGPOKPI"
553.0,"MANIPUR","SENAPATI","SAIKUL"
554.0,"MANIPUR","SENAPATI","SAITU GAMPHAZOL"
555.0,"MANIPUR","TAMENGLONG","NUNGBA"
556.0,"MANIPUR","TAMENGLONG","TAMEI"
557.0,"MANIPUR","TAMENGLONG","TAMENGLONG"
558.0,"MANIPUR","TAMENGLONG","TOUSEM"
559.0,"MANIPUR","THOUBAL","THOUBAL"
560.0,"MANIPUR","UKHRUL","Kamjong"
561.0,"MANIPUR","UKHRUL","Phungyar"
562.0,"MEGHALAYA","EAST GARO HILLS","DAMBO RONGJENG"
563.0,"MEGHALAYA","EAST GARO HILLS","RESUBELPARA"
564.0,"MEGHALAYA","EAST GARO HILLS","SAMANDA"
565.0,"MEGHALAYA","EAST GARO HILLS","SONGSAK"
566.0,"MEGHALAYA","EAST KHASI HILLS","MAWKYNREW"
567.0,"MEGHALAYA","EAST KHASI HILLS","MAWPHLANG"
568.0,"MEGHALAYA","EAST KHASI HILLS","MAWRYNGKNENG"
569.0,"MEGHALAYA","EAST KHASI HILLS","MAWSYNRAM"
570.0,"MEGHALAYA","EAST KHASI HILLS","MYLLIEM"
571.0,"MEGHALAYA","EAST KHASI HILLS","PYNURSLA"
572.0,"MEGHALAYA","EAST KHASI HILLS","SHELLA BHOLAGANJ"
573.0,"MEGHALAYA","JAINTIA HILLS","AMLAREM"
574.0,"MEGHALAYA","JAINTIA HILLS","KHLIEHRIAT"
575.0,"MEGHALAYA","JAINTIA HILLS","LASKEIN"
576.0,"MEGHALAYA","JAINTIA HILLS","THADLASKEIN"
577.0,"MEGHALAYA","RI BHOI","UMLING"
578.0,"MEGHALAYA","RI BHOI","UMSNING"
579.0,"MEGHALAYA","SOUTH GARO HILLS","BAGHMARA"
580.0,"MEGHALAYA","SOUTH GARO HILLS","CHOKPOT"
581.0,"MEGHALAYA","SOUTH GARO HILLS","RONGARA"
582.0,"MEGHALAYA","WEST GARO HILLS","BETASING"
583.0,"MEGHALAYA","WEST GARO HILLS","DADENGGIRI"
584.0,"MEGHALAYA","WEST GARO HILLS","DALU"
585.0,"MEGHALAYA","WEST GARO HILLS","RONGRAM"
586.0,"MEGHALAYA","WEST GARO HILLS","SELSELLA"
587.0,"MEGHALAYA","WEST GARO HILLS","TIKRIKILLA"
588.0,"MEGHALAYA","WEST GARO HILLS","ZIKZAK"
589.0,"MEGHALAYA","WEST KHASI HILLS","MAIRANG"
590.0,"MEGHALAYA","WEST KHASI HILLS","MAWKYRWAT"
591.0,"MEGHALAYA","WEST KHASI HILLS","MAWSHYNRUT"
592.0,"MEGHALAYA","WEST KHASI HILLS","NONGSTOIN"
593.0,"MEGHALAYA","WEST KHASI HILLS","RANIKOR"
594.0,"MIZORAM","AIZAWL","AIBAWK"
595.0,"MIZORAM","AIZAWL","DARLAWN"
596.0,"MIZORAM","AIZAWL","PHULLEN"
597.0,"MIZORAM","AIZAWL","THINGSULTHLIAH"
598.0,"MIZORAM","AIZAWL","TLANGNUAM"
599.0,"MIZORAM","CHAMPHAI","KHAWBUNG"
600.0,"MIZORAM","CHAMPHAI","KHAWZAWL"
601.0,"MIZORAM","CHAMPHAI","NGOPA"
602.0,"MIZORAM","KOLASIB","NORTH THINGDAWL"
603.0,"MIZORAM","LAWNGTLAI","CHAWNGTE"
604.0,"MIZORAM","LAWNGTLAI","LAWNGTLAI"
605.0,"MIZORAM","LUNGLEI","HNAHTHIAL"
606.0,"MIZORAM","LUNGLEI","LUNGLEI"
607.0,"MIZORAM","LUNGLEI","LUNGSEN"
608.0,"MIZORAM","LUNGLEI","WEST BUNGHMUN"
609.0,"MIZORAM","MAMIT","REIEK"
610.0,"MIZORAM","MAMIT","WEST PHAILENG"
611.0,"MIZORAM","MAMIT","ZAWLNUAM"
612.0,"MIZORAM","SAIHA","SANGAU"
613.0,"MIZORAM","SAIHA","TUIPANG"
614.0,"MIZORAM","SERCHHIP","EAST LUNGDAR"
615.0,"MIZORAM","SERCHHIP","SERCHHIP"
616.0,"NAGALAND","DIMAPUR","DHANSIRIPAR"
617.0,"NAGALAND","DIMAPUR","KUHUBOTO"
618.0,"NAGALAND","DIMAPUR","MEDZIPHEMA"
619.0,"NAGALAND","DIMAPUR","NIULAND"
620.0,"NAGALAND","KOHIMA","CHIEPHOBOZOU"
621.0,"NAGALAND","KOHIMA","JAKHAMA"
622.0,"NAGALAND","KOHIMA","KOHIMA"
623.0,"NAGALAND","KOHIMA","TSEMINYU"
624.0,"NAGALAND","MOKOKCHUNG","CHANTONGYA"
625.0,"NAGALAND","MOKOKCHUNG","KUBOLONG"
626.0,"NAGALAND","MOKOKCHUNG","LONGCHEM"
627.0,"NAGALAND","MOKOKCHUNG","MANGKOLEMBA"
628.0,"NAGALAND","MOKOKCHUNG","ONGPANGKONG(N)"
629.0,"NAGALAND","MOKOKCHUNG","ONGPANGKONG(S)"
630.0,"NAGALAND","MON","CHEN"
631.0,"NAGALAND","MON","MON"
632.0,"NAGALAND","MON","PHOMCHING"
633.0,"NAGALAND","MON","TIZIT"
634.0,"NAGALAND","MON","TOBU"
635.0,"NAGALAND","MON","WAKCHING"
636.0,"NAGALAND","PHEK","KIKRUMA"
637.0,"NAGALAND","PHEK","MELURI"
638.0,"NAGALAND","PHEK","PFUTSERO"
639.0,"NAGALAND","PHEK","PHEK"
640.0,"NAGALAND","PHEK","SEKRUZU"
641.0,"NAGALAND","TUENSANG","CHARE"
642.0,"NAGALAND","TUENSANG","CHESSORE"
643.0,"NAGALAND","TUENSANG","LONGKHIM"
644.0,"NAGALAND","TUENSANG","NOKLAK"
645.0,"NAGALAND","TUENSANG","NOKSEN"
646.0,"NAGALAND","TUENSANG","SANGSANGNYU"
647.0,"NAGALAND","TUENSANG","THONOKNYU"
648.0,"NAGALAND","WOKHA","BHANDARI"
649.0,"NAGALAND","WOKHA","CHUKITONG"
650.0,"NAGALAND","WOKHA","SANIS"
651.0,"NAGALAND","WOKHA","WOKHA"
652.0,"NAGALAND","WOKHA","WOZURO-RALAN"
653.0,"NAGALAND","ZUNHEBOTO","AKULUTO"
654.0,"NAGALAND","ZUNHEBOTO","GATHASHI"
655.0,"NAGALAND","ZUNHEBOTO","SATAKHA"
656.0,"NAGALAND","ZUNHEBOTO","SURUHOTO"
657.0,"NAGALAND","ZUNHEBOTO","TOKIYE"
658.0,"NAGALAND","ZUNHEBOTO","ZUNHEBOTO"
659.0,"ORISSA","GAJAPATI","GUMMA"
660.0,"ORISSA","GAJAPATI","MOHANA"
661.0,"ORISSA","GAJAPATI","NUAGADA"
662.0,"ORISSA","GAJAPATI","R. UDAYAGIRI"
663.0,"ORISSA","KANDHAMAL","DARINGIBADI"
664.0,"ORISSA","KANDHAMAL","KOTAGARH"
665.0,"ORISSA","RAYAGADA","CHANDRAPUR"
666.0,"ORISSA","RAYAGADA","GUNUPUR"
667.0,"ORISSA","SUNDARGARH","BALISANKARA"
668.0,"ORISSA","SUNDARGARH","GURUNDIA"
669.0,"ORISSA","SUNDARGARH","KUARMUNDA"
670.0,"ORISSA","SUNDARGARH","KUTRA"
671.0,"ORISSA","SUNDARGARH","NUAGAON"
672.0,"ORISSA","SUNDARGARH","RAJGANGPUR"
673.0,"ORISSA","SUNDARGARH","SUBDEGA"
674.0,"PUDUCHERRY","KARAIKAL","KARAIKAL"
675.0,"PUDUCHERRY","MAHE","MAHE (M)"
676.0,"PUNJAB","AMRITSAR","AJNALA"
677.0,"PUNJAB","AMRITSAR","CHOGAWAN"
678.0,"PUNJAB","AMRITSAR","JANDIALA GURU"
679.0,"PUNJAB","AMRITSAR","MAJITHA"
680.0,"PUNJAB","AMRITSAR","RAYYA"
681.0,"PUNJAB","AMRITSAR","TARSIKKA"
682.0,"PUNJAB","AMRITSAR","VERKA"
683.0,"PUNJAB","BARNALA","BARNALA"
684.0,"PUNJAB","BARNALA","MEHAL KALAN"
685.0,"PUNJAB","BARNALA","SEHNA"
686.0,"PUNJAB","BATHINDA","BATHINDA"
687.0,"PUNJAB","BATHINDA","MAUR"
688.0,"PUNJAB","BATHINDA","NATHANA"
689.0,"PUNJAB","BATHINDA","PHUL"
690.0,"PUNJAB","BATHINDA","RAMPURA"
691.0,"PUNJAB","BATHINDA","SANGAT"
692.0,"PUNJAB","BATHINDA","TALWANDI SABO"
693.0,"PUNJAB","FARIDKOT","FARIDKOT"
694.0,"PUNJAB","FARIDKOT","KOTKAPURA"
695.0,"PUNJAB","FATEHGARH SAHIB","AMLOH"
696.0,"PUNJAB","FATEHGARH SAHIB","BASSI PATHANAN"
697.0,"PUNJAB","FATEHGARH SAHIB","KHAMANO"
698.0,"PUNJAB","FATEHGARH SAHIB","KHERA"
699.0,"PUNJAB","FATEHGARH SAHIB","SIRHIND MANDI"
700.0,"PUNJAB","FAZILKA","ABOHAR"
701.0,"PUNJAB","FAZILKA","FAZILKA"
702.0,"PUNJAB","FAZILKA","JALALABAD"
703.0,"PUNJAB","FAZILKA","KHUIAN SARWAR"
704.0,"PUNJAB","FIROZEPUR","FEROZEPUR"
705.0,"PUNJAB","FIROZEPUR","GHALL KHURD"
706.0,"PUNJAB","FIROZEPUR","GURUHAR SAHAI"
707.0,"PUNJAB","FIROZEPUR","MAKHU"
708.0,"PUNJAB","FIROZEPUR","MAMDOT"
709.0,"PUNJAB","FIROZEPUR","ZIRA"
710.0,"PUNJAB","GURDASPUR","BATALA"
711.0,"PUNJAB","GURDASPUR","DERA BABA NANAK"
712.0,"PUNJAB","GURDASPUR","DHARIWAL"
713.0,"PUNJAB","GURDASPUR","DINA NAGAR"
714.0,"PUNJAB","GURDASPUR","FATEH GARH CHURIAN"
715.0,"PUNJAB","GURDASPUR","GURDASPUR"
716.0,"PUNJAB","GURDASPUR","KAHNUWAN"
717.0,"PUNJAB","GURDASPUR","KALANAUR"
718.0,"PUNJAB","GURDASPUR","QADIAN"
719.0,"PUNJAB","GURDASPUR","SRI HARGOBINDPUR"
720.0,"PUNJAB","HOSHIARPUR","BHUNGA"
721.0,"PUNJAB","HOSHIARPUR","DASUA"
722.0,"PUNJAB","HOSHIARPUR","GARH SHANKAR"
723.0,"PUNJAB","HOSHIARPUR","HOSHIARPUR  2"
724.0,"PUNJAB","HOSHIARPUR","HOSHIARPUR 1"
725.0,"PUNJAB","HOSHIARPUR","MAHILPUR"
726.0,"PUNJAB","HOSHIARPUR","MUKERIAN"
727.0,"PUNJAB","HOSHIARPUR","TANDA"
728.0,"PUNJAB","JALANDHAR","ADAMPUR"
729.0,"PUNJAB","JALANDHAR","BHOGPUR"
730.0,"PUNJAB","JALANDHAR","JALANDHAR EAST"
731.0,"PUNJAB","JALANDHAR","JALANDHAR WEST"
732.0,"PUNJAB","JALANDHAR","LOHIAN"
733.0,"PUNJAB","JALANDHAR","NAKODAR"
734.0,"PUNJAB","JALANDHAR","NURMAHAL"
735.0,"PUNJAB","JALANDHAR","PHILLAUR"
736.0,"PUNJAB","JALANDHAR","RURKA KALAN"
737.0,"PUNJAB","JALANDHAR","SHAHKOT"
738.0,"PUNJAB","KAPURTHALA","DHILWAN"
739.0,"PUNJAB","KAPURTHALA","KAPURTHALA"
740.0,"PUNJAB","KAPURTHALA","NADALA"
741.0,"PUNJAB","KAPURTHALA","PHAGWARA"
742.0,"PUNJAB","KAPURTHALA","SULTANPUR LODHI"
743.0,"PUNJAB","LUDHIANA","DEHLON"
744.0,"PUNJAB","LUDHIANA","DORAHA"
745.0,"PUNJAB","LUDHIANA","JAGRAON"
746.0,"PUNJAB","LUDHIANA","KHANNA"
747.0,"PUNJAB","LUDHIANA","LUDHIANA-I"
748.0,"PUNJAB","LUDHIANA","LUDHIANA-II"
749.0,"PUNJAB","LUDHIANA","MACHHIWARA"
750.0,"PUNJAB","LUDHIANA","PAKHOWAL"
751.0,"PUNJAB","LUDHIANA","SAMRALA"
752.0,"PUNJAB","LUDHIANA","SIDHWAN BET"
753.0,"PUNJAB","LUDHIANA","SUDHAR"
754.0,"PUNJAB","MANSA","BHIKHI"
755.0,"PUNJAB","MANSA","BUDHLADA"
756.0,"PUNJAB","MANSA","JHUNIR"
757.0,"PUNJAB","MANSA","MANSA"
758.0,"PUNJAB","MANSA","SARDULGARH"
759.0,"PUNJAB","MOGA","BAGHAPURANA"
760.0,"PUNJAB","MOGA","DHARAMKOT"
761.0,"PUNJAB","MOGA","MOGA-I"
762.0,"PUNJAB","MOGA","MOGA-II"
763.0,"PUNJAB","MOGA","NIHAL SINGH WALA"
764.0,"PUNJAB","MUKTSAR","LAMBI"
765.0,"PUNJAB","MUKTSAR","MALOUT"
766.0,"PUNJAB","MUKTSAR","MUKTSAR"
767.0,"PUNJAB","PATIALA","BHUNNERHERI"
768.0,"PUNJAB","PATIALA","GHANOUR"
769.0,"PUNJAB","PATIALA","NABHA"
770.0,"PUNJAB","PATIALA","PATIALA"
771.0,"PUNJAB","PATIALA","PATRAN"
772.0,"PUNJAB","PATIALA","RAJPURA"
773.0,"PUNJAB","PATIALA","SAMANA"
774.0,"PUNJAB","PATIALA","SANOUR"
775.0,"PUNJAB","RUPNAGAR","ANANDPUR SAHIB"
776.0,"PUNJAB","RUPNAGAR","CHAMKAUR SAHIB"
777.0,"PUNJAB","RUPNAGAR","MORINDA"
778.0,"PUNJAB","RUPNAGAR","NURPUR BEDI"
779.0,"PUNJAB","S A S NAGAR","DERA BASSI"
780.0,"PUNJAB","S A S NAGAR","KHARAR"
781.0,"PUNJAB","S A S NAGAR","MAJRI"
782.0,"PUNJAB","SANGRUR","ANDANA"
783.0,"PUNJAB","SANGRUR","BHAWANIGARH"
784.0,"PUNJAB","SANGRUR","DHURI"
785.0,"PUNJAB","SANGRUR","LEHRAGAGA"
786.0,"PUNJAB","SANGRUR","MALERKOTLA 1"
787.0,"PUNJAB","SANGRUR","MALERKOTLA 2"
788.0,"PUNJAB","SANGRUR","SANGRUR"
789.0,"PUNJAB","SANGRUR","SHERPUR"
790.0,"PUNJAB","SANGRUR","SUNAM"
791.0,"PUNJAB","SHAHEED BHAGAT SINGH NAGAR","AUR"
792.0,"PUNJAB","SHAHEED BHAGAT SINGH NAGAR","BALACHAUR"
793.0,"PUNJAB","SHAHEED BHAGAT SINGH NAGAR","BANGA"
794.0,"PUNJAB","SHAHEED BHAGAT SINGH NAGAR","NAWANSHAHR"
795.0,"PUNJAB","SHAHEED BHAGAT SINGH NAGAR","SAROYA"
796.0,"PUNJAB","TARN TARAN","BHIKHIWIND"
797.0,"PUNJAB","TARN TARAN","CHOHLA SAHIB"
798.0,"PUNJAB","TARN TARAN","GANDIWIND"
799.0,"PUNJAB","TARN TARAN","KHADOOR SAHIB"
800.0,"PUNJAB","TARN TARAN","NAUSHEHRA PANNUAN"
801.0,"PUNJAB","TARN TARAN","PATTI"
802.0,"PUNJAB","TARN TARAN","TARNTARAN"
803.0,"PUNJAB","TARN TARAN","VALTOHA"
804.0,"RAJASTHAN","ALWAR","KISHANGARH"
805.0,"RAJASTHAN","ALWAR","LAXMANGARH"
806.0,"RAJASTHAN","ALWAR","RAMGARH"
807.0,"RAJASTHAN","ALWAR","TIJARA"
808.0,"RAJASTHAN","BARMER","CHOHTAN"
809.0,"RAJASTHAN","BHARATPUR","KAMAN"
810.0,"RAJASTHAN","BHARATPUR","NAGAR"
811.0,"RAJASTHAN","GANGANAGAR","ANOOPGARH"
812.0,"RAJASTHAN","GANGANAGAR","GANGANAGAR"
813.0,"RAJASTHAN","GANGANAGAR","KARANPUR"
814.0,"RAJASTHAN","GANGANAGAR","PADAMPUR"
815.0,"RAJASTHAN","GANGANAGAR","RAISINGHNAGAR"
816.0,"RAJASTHAN","GANGANAGAR","SADULSHAHAR"
817.0,"RAJASTHAN","HANUMANGARH","HANUMANGARH"
818.0,"RAJASTHAN","JAISALMER","SAM"
819.0,"RAJASTHAN","JAISALMER","SANKRA"
820.0,"SIKKIM","EAST (GANGTOK)","GANGTOK"
821.0,"SIKKIM","EAST (GANGTOK)","PAKYONG"
822.0,"SIKKIM","EAST (GANGTOK)","RONGLI"
823.0,"SIKKIM","NORTH","CHUNGTHANG"
824.0,"SIKKIM","NORTH","MANGAN"
825.0,"SIKKIM","SOUTH","NAMCHI"
826.0,"SIKKIM","SOUTH","RAVANGLA"
827.0,"SIKKIM","WEST","GYALSHING"
828.0,"SIKKIM","WEST","SORENG"
829.0,"TAMIL NADU","KANNIYAKUMARI","AGASTHEESWARAM"
830.0,"TAMIL NADU","KANNIYAKUMARI","KILLIYUR"
831.0,"TAMIL NADU","KANNIYAKUMARI","KURUNTHENCODE"
832.0,"TAMIL NADU","KANNIYAKUMARI","MELPURAM"
833.0,"TAMIL NADU","KANNIYAKUMARI","MUNCHIRA"
834.0,"TAMIL NADU","KANNIYAKUMARI","RAJAKKAMANGALAM"
835.0,"TAMIL NADU","KANNIYAKUMARI","THAKKALAY"
836.0,"TAMIL NADU","KANNIYAKUMARI","THIRUVATTARU"
837.0,"TAMIL NADU","KANNIYAKUMARI","THOVALA"
838.0,"TAMIL NADU","NILGIRIS","GUDALUR"
839.0,"TAMIL NADU","PUDUKKOTTAI","MANAMELKUDI"
840.0,"TAMIL NADU","RAMANATHAPURAM","MANDAPAM"
841.0,"TAMIL NADU","RAMANATHAPURAM","TIRUVADANAI"
842.0,"TAMIL NADU","THOOTHUKUDI","ALWARTHIRUNGIRI"
843.0,"TAMIL NADU","THOOTHUKUDI","SATHANKULAM"
844.0,"TAMIL NADU","THOOTHUKUDI","UDANGUDI"
845.0,"TAMIL NADU","TIRUNELVELI","RADHAPURAM"
846.0,"TAMIL NADU","TIRUNELVELI","VALLIOOR"
847.0,"TRIPURA","DHALAI  ","CHAWMANU"
848.0,"TRIPURA","DHALAI  ","DUMBURNAGAR"
849.0,"TRIPURA","GOMATI","KARBOOK"
850.0,"TRIPURA","NORTH TRIPURA","DASDA"
851.0,"TRIPURA","NORTH TRIPURA","JAMPUI HILLS"
852.0,"TRIPURA","NORTH TRIPURA","KADAMTALA"
853.0,"TRIPURA","SEPAHIJALA","BOXANAGAR"
854.0,"TRIPURA","SEPAHIJALA","KATHALIA"
855.0,"TRIPURA","SEPAHIJALA","MELAGHAR"
856.0,"TRIPURA","SOUTH TRIPURA","RUPAICHARI"
857.0,"TRIPURA","UNAKOTI","GOURNAGAR"
858.0,"TRIPURA","UNAKOTI","PECHARTHAL"
859.0,"UTTAR PRADESH","AZAMGARH","MIRZAPUR"
860.0,"UTTAR PRADESH","AZAMGARH","MOHAMMADPUR"
861.0,"UTTAR PRADESH","AZAMGARH","SATHIYAON"
862.0,"UTTAR PRADESH","BAGHPAT","CHHAPRAULI"
863.0,"UTTAR PRADESH","BAGHPAT","PILANA"
864.0,"UTTAR PRADESH","BAHRAICH","BALAHA"
865.0,"UTTAR PRADESH","BAHRAICH","CHITAURA"
866.0,"UTTAR PRADESH","BAHRAICH","HUZOORPUR"
867.0,"UTTAR PRADESH","BAHRAICH","JARWAL"
868.0,"UTTAR PRADESH","BAHRAICH","KAISARGANJ"
869.0,"UTTAR PRADESH","BAHRAICH","NAWABGANJ"
870.0,"UTTAR PRADESH","BAHRAICH","PHAKHARPUR"
871.0,"UTTAR PRADESH","BAHRAICH","RISIA"
872.0,"UTTAR PRADESH","BAHRAICH","TEJWAPUR"
873.0,"UTTAR PRADESH","BALRAMPUR","GAINDAS BUZURG"
874.0,"UTTAR PRADESH","BALRAMPUR","GASARI"
875.0,"UTTAR PRADESH","BALRAMPUR","PACHPERWA"
876.0,"UTTAR PRADESH","BALRAMPUR","REHRA BAZAR"
877.0,"UTTAR PRADESH","BALRAMPUR","SHRI DUTT GANJ"
878.0,"UTTAR PRADESH","BALRAMPUR","TULSIPUR"
879.0,"UTTAR PRADESH","BALRAMPUR","UTRAULA"
880.0,"UTTAR PRADESH","BARABANKI","FATEHPUR"
881.0,"UTTAR PRADESH","BARABANKI","MASAULI"
882.0,"UTTAR PRADESH","BARABANKI","PUREDALAI"
883.0,"UTTAR PRADESH","BARABANKI","SIRAULI GAUSPUR"
