-----
{
 "description": "This Table give State-wise (2008-09 and 2009-10) and All India (2000-01 to 2009-10) data on Gross Irrigated Area like Rice, Wheat, Coarse Cereals, Pulses, Sugar-Cane, Spices, Fruits, Vegetables, Food Crops and Non-Food Crops.", 
 "file_name": "GROSS_IRRIGATED_AREA.xls", 
 "title": "Gross Irrigated Area ", 
 "url": "http://data.gov.in/sites/default/files/GROSS_IRRIGATED_AREA.xls"
}
-----
"Year/State/ Union Territory","Rice","Wheat","Coarse Cereals","Total Cereals and Millets","Total Pulses","Sugarcane","Spices,Fruits and Vegetables","Total Food Crops","Total Non-Food Crops","Total irrigated Area"
" 2000-01",24337.0,22798.0,3780.0,50914.0,2695.0,4297.0,6278.0,64183.0,12003.0,76187.0
" 2001-02",24419.0,23311.0,3342.0,51072.0,3097.0,4431.0,7031.0,65630.0,12790.0,78420.0
" 2002-03",21180.0,22448.0,3462.0,47095.0,3003.0,4411.0,7107.0,61614.0,11796.0,73411.0
" 2003-04 ",22360.0,24172.0,3382.0,49949.0,3355.0,4153.0,7600.0,65056.0,13090.0,78147.0
" 2004-05 ",23542.0,24172.0,3645.0,51405.0,3371.0,3979.0,7586.0,66337.0,14844.0,81181.0
" 2005-06 ",24955.0,24098.0,3922.0,53026.0,3443.0,4331.0,7921.0,68722.0,15535.0,84257.0
" 2006-07 ",25258.0,25726.0,3932.0,54969.0,3626.0,4858.0,7919.0,71372.0,15393.0,86765.0
" 2007-08 ",25199.0,26033.0,4195.0,55479.0,3926.0,4842.0,8532.0,72780.0,15140.0,87920.0
" 2008-09",26597.0,25681.0,4193.0,56475.0,3892.0,4571.0,8473.0,73411.0,15449.0,88867.0
" 2009-10",24545.0,26209.0,4159.0,54759.0,3882.0,4297.0,8641.0,71582.0,14841.0,86423.0
