-----
{
 "description": "This data is based upon 56th Annual Report on the Working and Administration of the Companies Act, 1956 for year ended 31st March, 2012. Report has been published by The Ministry of Corporate Affairs, Government of India.", 
 "file_name": "Paid-up_Capital_of_Govt_Companies_Ltd_by_Shares_As_On_31st_March_12-State_Wise_1.xls", 
 "title": "Paid-up Capital of Government Companies Limited By Shares As On 31st March 2012 - State-wise Distribution ", 
 "url": "http://data.gov.in/sites/default/files/Paid-up_Capital_of_Govt_Companies_Ltd_by_Shares_As_On_31st_March_12-State_Wise_1.xls"
}
-----
"STATES/UT","Public Limited - No. of Companies","Public Limited - Paid up Capital*","Private Limited - No. of Companies","Private Limited - Paid up Capital*","Total No. of Companies","Total Paid up Capital*"
"ANDHRA PRADESH",35.0,14483.43,17.0,332.58,52.0,14816.01
"ARUNACHAL PRADESH",1.0,5.0,3.0,3.16,4.0,8.16
"ASSAM",23.0,1753.58,15.0,514.27,38.0,2267.85
"BIHAR",16.0,334.72,4.0,104.39,20.0,439.11
"CHHATISGARH",14.0,9789.11,4.0,389.55,18.0,10178.66
"GOA",12.0,281.89,1.0,0.62,13.0,282.51
"GUJARAT",58.0,41918.46,2.0,0.02,60.0,41918.48
"HARYANA",15.0,19707.95,2.0,117.08,17.0,19825.03
"HIMACHAL PRADESH",8.0,4218.09,7.0,1177.98,15.0,5396.07
"JAMMU & KASHMIR",10.0,152.68,4.0,5.11,14.0,157.79
"JHARKHAND",11.0,3105.22,10.0,2134.85,21.0,5240.07
"KARNATAKA",62.0,26918.98,10.0,154.63,72.0,27073.61
"KERALA",60.0,2149.03,27.0,594.71,87.0,2743.74
"MADHYA PRADESH",38.0,16274.66,13.0,256.29,51.0,16530.95
"MAHARASHTRA",96.0,35253.31,47.0,441.04,143.0,35694.35
"MANIPUR",1.0,98.46,0.0,0.0,1.0,98.46
"MEGHALAYA",7.0,3366.69,6.0,105.35,13.0,3472.04
"MIZORAM",1.0,15.78,1.0,19.78,2.0,35.56
"NAGALAND",1.0,12.02,2.0,1.7,3.0,13.72
"ORISSA",36.0,4084.92,5.0,160.92,41.0,4245.84
"PUNJAB",7.0,1397.26,2.0,0.27,9.0,1397.53
"RAJASTHAN",45.0,12913.59,2.0,24.06,47.0,12937.65
"TAMIL NADU",54.0,26537.74,10.0,63.99,64.0,26601.73
"TRIPURA",7.0,178.69,3.0,70.33,10.0,249.02
"UTTAR PRADESH",79.0,33722.46,6.0,19.58,85.0,33742.04
"UTTRAKHAND",15.0,4246.54,2.0,41.01,17.0,4287.55
"WEST BENGAL",69.0,21767.25,18.0,342.42,87.0,22109.67
"DELHI",98.0,71394.67,21.0,1980.4,119.0,73375.07
"A & N ISLAND",1.0,1.0,1.0,10.97,2.0,11.97
"CHANDIGARH",18.0,405.21,9.0,115.64,27.0,520.85
"DAMAN & DIU",1.0,26.07,0.0,0.0,1.0,26.07
"D & N HAVELI",1.0,4.93,0.0,0.0,1.0,4.93
"LAKSHDWEEP",0.0,0.0,1.0,6.5,1.0,6.5
"PUDUCHERRY",0.0,0.0,15.0,630.82,15.0,630.82
"TOTAL",900.0,356519.39,270.0,9820.02,1170.0,366339.41
