-----
{
 "description": "This table provides data on Area, Production and Productivity of major Fruits and Vegetables producing Countries in the World from 2009-10 to 2010-11 (such as China, India, Brazil, USA, Italy, Spain, Mexico, Indonesia, Philippines, Iran, Turkey and Others).", 
 "file_name": "MAJOR_FRUITS_AND_VEGETABLES_PRODUCING_COUNTRIES_IN_THE_WORLD.xls", 
 "title": "Area / Production And Productivity of Major Fruits and Vegetables Producing Countries In The World ", 
 "url": "http://data.gov.in/sites/default/files/MAJOR_FRUITS_AND_VEGETABLES_PRODUCING_COUNTRIES_IN_THE_WORLD.xls"
}
-----
"Country","Fruits 2009-10 Area (In Hectare)","Fruits 2010-11 Area (In Hectare)","Fruits2009-10 Production (In Tonnes)","Fruits2010-11 Production (In Tonnes)","Fruits2009-10 Productivity (In Tonnes/Hectare)","Fruits2010-11 Productivity (In Tonnes/Hectare)","Vegetables 2009-10 Area (In Hectare)","Vegetables 2010-11 Area (In Hectare)","Vegetables2009-10 Production (In Tonnes)","Vegetables2010-11 Production (In Tonnes)","Vegetables2009-10 Productivity (In Tonnes/Hectare)","Vegetables2010-11 Productivity (In Tonnes/Hectare)"
"China",11057621.0,11402073.0,109615629.0,122184944.0,9.9,10.7,24080078.0,21047200.0,457830386.0,473062941.0,19.0128281976,22.5
"India",6329200.0,6383000.0,71515500.0,74878000.0,11.3,11.7,7984800.0,8495000.0,133737600.0,146554000.0,16.749023144,17.3
"Brazil",2449758.0,2441430.0,38683456.0,39286781.0,15.8,16.1,1158911.0,1123800.0,37252110.0,35293556.0,32.1440645572,31.4
"USA",1159589.0,1145475.0,27762483.0,25383917.0,23.9,22.2,1106103.0,1089805.0,27163932.0,25831193.0,24.5582301106,23.7
"Italy",1267386.0,1277347.0,17646110.0,16907895.0,13.9,13.2,592757.0,711857.0,14974532.0,18678490.0,25.2625139813,26.2
"Spain",1743165.0,1562160.0,16277697.0,15184420.0,9.3,9.7,523843.0,536799.0,13696421.0,13499277.0,26.1460418484,25.1
"Mexico",1201897.0,1212387.0,16122211.0,15255598.0,13.4,12.6,767820.0,759100.0,14349110.0,13233450.0,18.6881170066,17.4
"Indonesia",721258.0,662800.0,16028273.0,14867762.0,22.2,22.4,724047.0,758383.0,19171905.0,19516402.0,26.4788128395,25.7
"Philippines",1123530.0,1155871.0,15620664.0,16181731.0,13.9,14.0,352845.0,340600.0,12621874.0,12679700.0,35.7717241282,37.2
"Iran",1264574.0,"NA",13183703.0,"NA",10.4,"",668970.0,656124.0,12100851.0,12125391.0,18.0887797659,18.5
"Turkey",1036528.0,1092623.0,12829520.0,13945604.0,12.4,12.8,307263.0,"NA",11278249.0,"NA",36.7055226305,"NA"
"Others",26242703.0,26751915.0,228947458.0,245223757.0,8.7,9.2,16878300.0,18458398.0,221293175.0,242049765.0,13.1111056801,13.1
"World+",55011784.0,55087081.0,579926404.0,599300409.0,10.5,10.9,53709937.0,53977066.0,9310850545.0,1012524165.0,173.354337485,18.8
