-----
{
 "description": "This table gives All India (2000-01 to 2010-11) of Production, Availability and Consumption of Primary Sources of Conventional Energy like coal, lignite, crude petroleum, natural gas, hydro and nuclear electricity etc.", 
 "file_name": "CONVENTIONAL_ENERGY.xls", 
 "title": "Production, Availability And Consumption Of Primary Sources Of Conventional Energy ", 
 "url": "http://data.gov.in/sites/default/files/CONVENTIONAL_ENERGY.xls"
}
-----
"Product","Production","Avalability","% Production 
of Availability","Consumption","% Production 
of Consumption"
"Coal (million tonnes)",532.69,589.87,90.3063386848,592.99,89.8311944552
"Lignite (million tonnes)",37.73,37.73,100.0,37.69,100.106128947
"Crude Petroleum(million tonnes)",37.71,206.15,18.2925054572,206.15,18.2925054572
"Natual Gas (Billion Cubic Metres)",52.22,51.25,101.892682927,51.25,101.892682927
"Electricity (GWh)",140524.0,140524.0,100.0,607760.0,23.121626958
