-----
{
 "description": "This table gives All India (2000-01 to 2010-11) data on Electricity Generated (From Utility), Distributed, Sold to ultimate consumers and other countries and Lost in transmission.", 
 "file_name": "ELECTRICITY_GENERATED_DISTRIBUTED_SOLD_AND_LOST_1.xls", 
 "title": "Electricity Generated (From Utility), Distributed, Sold And Lost ", 
 "url": "http://data.gov.in/sites/default/files/ELECTRICITY_GENERATED_DISTRIBUTED_SOLD_AND_LOST_1.xls"
}
-----
"Year","Gross Electricity Generated from Utilities","Consum- ption in Power Station Auxiliaries","Net Electricity Generated from Utilities","Purchases from Non-Utilities plus Imported from Other Countries","Net Electricity Available for Supply","Sold to Ultimate Consumers and Other Countries"," Loss in transm-ission"," Loss in transm-ission (Percentage)"
"2000-01",501204.0,34932.0,466272.0,5596.0,471868.0,316795.0,155073.0,32.8636398315
"2001-02 ",517439.0,36606.0,480833.0,7969.0,488802.0,322691.0,166111.0,33.9832897574
"2002-03 ",532693.0,38256.0,494437.0,8219.0,502656.0,339773.0,162883.0,32.4044674688
"2003-04",565102.0,39801.0,525301.0,9730.0,535031.0,360996.0,174035.0,32.5280217408
"2004-05",594456.0,41590.0,552866.0,8843.0,561709.0,386174.0,175535.0,31.2501669014
"2005-06",623819.0,41970.0,581849.0,10345.0,592194.0,412096.0,180098.0,30.411993367
"2006-07",670654.0,43577.0,627077.0,11931.0,639008.0,455964.0,183043.0,28.6448682959
"2007-08",722626.0,45531.0,677095.0,12685.0,689780.0,502267.0,187513.0,27.1844646119
"2008-09",746626.0,47572.6176882,699053.382312,13486.6503227,712540.032634,553272.055007,180322.0,25.3069289782
"2009-10 ",796281.0,49706.0,746576.0,15359.0,761934.0,610457.0,151477.0,19.8805933322
"2010-11(P)",844846.0,52380.0,792466.0,16989.0,809455.0,663392.0,146063.0,18.0446102625
