-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on all India and state-wise number of persons arrested under different Indian Penal Code (IPC) crimes by sex.", 
 "file_name": "NUMBER_OF_PERSONS_ARRESTED_UNDER_DIFFERENT_IPC_CRIMES_BY_SEX.xls", 
 "title": "All India And State-wise details on Number of Persons Arrested Under Different IPC Crimes By Sex ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_PERSONS_ARRESTED_UNDER_DIFFERENT_IPC_CRIMES_BY_SEX.xls"
}
-----
"State","Year","Total Cognizable Crimes - Male","Total Cognizable Crimes - Female","Murder - Male","Murder - Female","Culpable Homocide not amounting to murder - Male","Culpable Homocide not amounting to murder - Female","Rape - Male","Rape - Female","Kidnapping and Abduction - Male","Kidnapping and Abduction - Female","Dacoity - Male","Dacoity - Female","Robbery - Male","Robbery - Female","Burglary - Male","Burglary - Female","Theft - Male","Theft - Female","Riots - Male","Riots - Female","Criminal Breach of Trust - Male","Criminal Breach of Trust - Female","Cheating - Male","Cheating - Female","Counterfeiting - Male","Counterfeiting - Female"
"Total 2009",2009.0,2669731.0,179294.0,58658.0,4007.0,6366.0,113.0,25096.0,749.0,39722.0,2031.0,17217.0,289.0,33008.0,251.0,67186.0,1269.0,187357.0,6991.0,286458.0,17144.0,18972.0,623.0,64587.0,3249.0,2948.0,59.0
"Andhra Pradesh",2009.0,218717.0,16203.0,4240.0,364.0,229.0,11.0,1431.0,56.0,2416.0,105.0,459.0,6.0,875.0,9.0,6401.0,183.0,17818.0,616.0,11561.0,671.0,1067.0,52.0,6405.0,469.0,271.0,18.0
"Arunachal Pradesh",2009.0,2755.0,62.0,83.0,0.0,4.0,0.0,60.0,0.0,61.0,0.0,47.0,0.0,52.0,1.0,169.0,1.0,331.0,2.0,140.0,0.0,24.0,0.0,40.0,0.0,4.0,0.0
"Assam",2009.0,68637.0,2990.0,1824.0,42.0,56.0,0.0,1643.0,1.0,2830.0,45.0,915.0,0.0,1145.0,0.0,4254.0,4.0,9306.0,682.0,8399.0,289.0,891.0,9.0,1086.0,48.0,134.0,0.0
"Bihar",2009.0,196015.0,8990.0,5179.0,215.0,380.0,5.0,1075.0,11.0,4513.0,214.0,1994.0,0.0,2873.0,0.0,2680.0,5.0,8588.0,95.0,37248.0,784.0,1520.0,34.0,2971.0,77.0,127.0,0.0
"Chhattisgarh",2009.0,63358.0,3712.0,1628.0,111.0,30.0,1.0,1122.0,6.0,369.0,4.0,403.0,3.0,891.0,0.0,2726.0,46.0,3483.0,77.0,5108.0,301.0,164.0,3.0,820.0,28.0,45.0,0.0
"Goa",2009.0,2887.0,237.0,81.0,7.0,11.0,1.0,53.0,3.0,40.0,0.0,16.0,0.0,49.0,2.0,246.0,2.0,393.0,37.0,258.0,47.0,44.0,2.0,105.0,15.0,7.0,0.0
"Gujarat",2009.0,140741.0,13938.0,1992.0,138.0,35.0,4.0,584.0,26.0,1724.0,124.0,1005.0,11.0,1427.0,25.0,3173.0,57.0,9970.0,293.0,9833.0,733.0,1833.0,153.0,1489.0,96.0,104.0,6.0
"Haryana",2009.0,64181.0,2971.0,1735.0,107.0,100.0,3.0,798.0,50.0,869.0,40.0,539.0,1.0,1214.0,0.0,2749.0,86.0,5725.0,130.0,5299.0,166.0,570.0,40.0,1339.0,46.0,49.0,1.0
"Himachal Pradesh",2009.0,16821.0,2178.0,167.0,24.0,25.0,1.0,236.0,14.0,136.0,12.0,28.0,0.0,39.0,0.0,463.0,50.0,599.0,6.0,2459.0,543.0,104.0,4.0,200.0,14.0,3.0,1.0
"Jammu & Kashmir",2009.0,31127.0,2292.0,417.0,15.0,20.0,0.0,303.0,0.0,679.0,46.0,10.0,0.0,110.0,0.0,757.0,5.0,3140.0,8.0,5307.0,530.0,129.0,0.0,467.0,3.0,52.0,0.0
"Jharkhand",2009.0,48886.0,2672.0,1836.0,139.0,106.0,4.0,760.0,5.0,786.0,50.0,788.0,0.0,779.0,0.0,634.0,0.0,3786.0,76.0,7211.0,288.0,507.0,12.0,771.0,55.0,35.0,0.0
"Karnataka",2009.0,138636.0,11345.0,3026.0,261.0,111.0,1.0,560.0,35.0,995.0,99.0,843.0,25.0,1727.0,85.0,3274.0,72.0,6840.0,170.0,23299.0,2484.0,352.0,6.0,2467.0,304.0,112.0,6.0
"Kerala",2009.0,156544.0,5472.0,669.0,41.0,150.0,7.0,671.0,23.0,428.0,8.0,581.0,5.0,1083.0,30.0,2368.0,40.0,4145.0,294.0,35784.0,993.0,221.0,19.0,2574.0,227.0,102.0,0.0
"Madhya Pradesh",2009.0,315634.0,16344.0,4930.0,335.0,209.0,9.0,4098.0,145.0,1560.0,70.0,700.0,1.0,3411.0,19.0,6606.0,76.0,12881.0,335.0,15718.0,646.0,659.0,26.0,2261.0,86.0,66.0,0.0
"Maharashtra",2009.0,265935.0,28818.0,5167.0,737.0,149.0,14.0,1932.0,143.0,1819.0,224.0,3843.0,219.0,4982.0,41.0,12039.0,458.0,29311.0,1309.0,49381.0,4960.0,2323.0,142.0,8073.0,658.0,291.0,9.0
"Manipur",2009.0,1310.0,132.0,79.0,6.0,0.0,0.0,20.0,2.0,96.0,23.0,0.0,0.0,0.0,0.0,30.0,0.0,69.0,5.0,39.0,2.0,6.0,2.0,61.0,3.0,1.0,0.0
"Meghalaya",2009.0,1625.0,52.0,127.0,3.0,9.0,0.0,109.0,1.0,58.0,0.0,119.0,0.0,65.0,0.0,91.0,0.0,308.0,18.0,3.0,1.0,23.0,0.0,34.0,0.0,7.0,0.0
"Mizoram",2009.0,2016.0,23.0,29.0,0.0,10.0,0.0,81.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,313.0,0.0,797.0,5.0,2.0,0.0,27.0,2.0,64.0,7.0,18.0,2.0
"Nagaland",2009.0,1057.0,46.0,22.0,5.0,5.0,0.0,27.0,0.0,65.0,8.0,3.0,1.0,91.0,5.0,45.0,0.0,257.0,3.0,5.0,0.0,8.0,0.0,79.0,3.0,2.0,2.0
"Orissa",2009.0,75957.0,4638.0,1620.0,239.0,61.0,5.0,1081.0,38.0,988.0,25.0,1490.0,1.0,2109.0,1.0,2287.0,13.0,6162.0,101.0,7834.0,356.0,384.0,40.0,1128.0,38.0,49.0,0.0
"Punjab",2009.0,43091.0,3171.0,1303.0,186.0,144.0,13.0,590.0,91.0,708.0,108.0,101.0,0.0,292.0,0.0,1963.0,17.0,4197.0,109.0,3.0,0.0,247.0,19.0,3288.0,373.0,148.0,4.0
"Rajasthan",2009.0,176635.0,13362.0,2109.0,188.0,99.0,3.0,1365.0,23.0,1753.0,75.0,208.0,4.0,1215.0,9.0,3404.0,72.0,8244.0,155.0,4924.0,668.0,268.0,4.0,4123.0,236.0,76.0,1.0
