-----
{
 "description": "This table gives All India (2000-01 to 2010-11) of Consumption Of Petroleum Products (in million tonnes) like LPG, petrol, naptha, kerosene, ATF, HSDo, LDO, fuel oils, lubricants, bitumen, petroleum coke, refinery fuel and others.", 
 "file_name": "CONSUMPTION_OF_PETROLEUM_PRODUCTS_2.xls", 
 "title": "Consumption Of Petroleum Products ", 
 "url": "http://data.gov.in/sites/default/files/CONSUMPTION_OF_PETROLEUM_PRODUCTS_2.xls"
}
-----
"Year ","Light Distillates - Liquified Petroleum Gas","Light Distillates - Petrol","Light Distillates - Naphtha","Middle Distillates - Kerosene","Middle Distillates - Aviation Turbine Fuel","Middle Distillates - High Speed Diesel Oil","Middle Distillates - Light Diesel Oil","Heavy Ends - Fuel Oils","Heavy Ends - Lubricants","Heavy Ends - Bitumen","Heavy Ends - Petroleum Coke","Refinery Fuel","Others*","Total"
"2000-01",7.016,6.613,11.673,11.307,2.249,37.958,1.399,12.653,1.115,2.774,0.448,6.9,4.869,106.974
"2001-02 ",7.73,7.01,11.73,10.43,2.26,36.55,1.59,12.98,1.14,2.58,1.8,7.27,4.64,107.71
"2002-03 ",8.35,7.57,11.93,10.41,2.27,36.64,2.06,12.74,1.25,2.99,2.56,7.65,5.36,111.78
"2003-04",9.31,7.9,11.86,10.23,2.48,37.07,1.62,12.95,1.43,3.37,2.88,8.24,6.65,115.99
"2004-05",10.25,8.25,13.99,9.4,2.81,39.65,1.48,13.54,1.35,3.34,3.13,8.54,4.46,120.17
"2005-06",10.456,8.647,12.194,9.541,3.296,40.191,0.883,12.825,2.081,3.508,4.928,9.141,4.663,122.354
"2006-07",10.849,9.285,13.886,9.505,3.983,42.896,0.72,12.618,1.9,3.833,5.441,10.92,5.833,131.669
"2007-08",12.165,10.332,13.294,9.365,4.543,47.669,0.667,12.717,2.29,4.506,5.95,11.751,5.448,140.697
"2008-09",12.19,11.258,13.88,9.303,4.46,51.67,0.552,12.44,2.15,4.71,5.87,11.912,4.94,145.31
"2009-10 ",13.12,12.82,10.24,9.3,4.63,56.32,0.46,11.59,2.66,4.92,6.75,11.61,5.4,149.8
"2010-11(P)",14.33,14.19,10.69,8.93,5.08,59.99,0.46,10.88,2.51,4.57,5.49,15.87,4.68,157.66
