-----
{
 "description": "This table presents data regarding per capita annual earnings of factory workers by industry code in manufacturing sectors from 2002 onwards.", 
 "file_name": "AVERAGE_PER_CAPITA_ANNUAL_EARNINGS_OF_FACTORY_LABOUR.xls", 
 "title": "Average Per Capita Annual Earnings Of Factory Labour In Manufacturing Industries. ", 
 "url": "http://data.gov.in/sites/default/files/AVERAGE_PER_CAPITA_ANNUAL_EARNINGS_OF_FACTORY_LABOUR.xls"
}
-----
"Industry           ","2010 (') 000"
"  10.MANUFACTURE OF FOOD PRODUCTS","79132"
"  11.MANUFACTURE OF BEVERAGES","56410"
"  12.MANUFACTURE OF TOBACCO PRODUCTS","62702"
"  13. MANUFACTURE OF TEXTILES","55302"
"  14. MANUFACTURE OF WEARING APPAREL","67788"
"  15.MANUFACTURE OF LEATHER AND RELATED PRODUCTS.","69610"
"  16 .MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT   FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS.","71750"
"  17. MANUFACTURE OF PAPER AND PAPER PRODUCTS.","72267"
"  18. PRINTING AND REPORODUCTION OF RECORDED MEDIA(This division excludes publishing activities)","85938"
"  19.MANUFACTURE OF COKE AND REFINED POETROLEUM PRODUCTS ","71274"
"  20.MANUFACTURE OF CHEMICALS AND CHEMICAL   PRODUCTS","67160"
"  21.MANUFACTURE OF PHARMACEUTICALS,MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS.","78537"
"  22.MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS","69389"
"  23.MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS","62738"
"  24. MANUFACTURE OF BASIC METALS","59282"
"  25. MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT","90538"
"  26. MANUFACTURE OFCOMPUTER,ELECTRONIC AND OPTICAL PRDUCTS.","59865"
"  27. MANUFACTURE OF ELECTRICAL EQUIPMENT.","62947"
"  28.  MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","70207"
"  29.  MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS.","77832"
"  30.MANUFACTURE OF OTHER TRANSPORT EQUIPMENMT","73798"
"  31. MANUFACTURE OF FURNITURE; ","78305"
"  32.  OTHER MANUFACTURING",78618.0
"ALL MANUFACTURING INDUSTRIES",65943.0
