"Year/State/Union Territory","Food grains (cereals) - Rice 2009-10","Food grains (cereals) - Rice 2010-11","Food grains (cereals) - Jowar 2009-10","Food grains (cereals) - Jowar 2010-11","Food grains (cereals) - Bajra 2009-10","Food grains (cereals) - Bajra 2010-11","Food grains (cereals) - Maize 2009-10","Food grains (cereals) - Maize 2010-11","Food grains (cereals) - Ragi 2009-10","Food grains (cereals) - Ragi 2010-11","Food grains (cereals) - Small millets 2009-10","Food grains (cereals) - Small millets 2010-11","Food grains (cereals) - Wheat 2009-10","Food grains (cereals) - Wheat 2010-11","Food grains (cereals) - Barley 2009-10","Food grains (cereals) - Barley 2010-11","Total cereals 2009-10","Total cereals 2010-11","Food grains(pulses) - Gram 2009-10","Food grains(pulses) - Gram 2010-11","Food grains(pulses) - Tur 2009-10","Food grains(pulses) - Tur 2010-11","Other Pulses 2009-10","Other Pulses 2010-11","Total Pulses 2009-10","Total Pulses 2010-11","Total food grains 2009-10","Total food grains 2010-11","Oilseeds - Ground nut 2009-10","Oilseeds - Ground nut 2010-11","Oilseeds - Sesamum 2009-10","Oilseeds - Sesamum 2010-11","Oilseeds - Rapeseed and mustard 2009-10","Oilseeds - Rapeseed and mustard 2010-11","Oilseeds - Linseed 2009-10","Oilseeds - Linseed 2010-11","Oilseeds - Castor seed 2009-10","Oilseeds - Castor seed 2010-11","Total oilseeds 2009-10","Total oilseeds 2010-11","Cotton 2009-10","Cotton 2010-11 #","Jute 2009-10","Jute 2010-11","Mesta 2009-10","Mesta 2010-11","Tea 2009-10","Tea 2010-11","Coffee 2009-10","Coffee 2010-11","Natural Rubber 2009-10","Natural Rubber 2010-11 P"," Banana 2009-10"," Banana 2010-11","Sugar cane 2009-10","Sugar cane 2010-11","Tobacco 2009-10 P","Tobacco 2010-11"," Potato 2009-10"," Potato 2010-11","Black Pepper 2009-10","Black Pepper 2010-11","Chillies 2009-10","Chillies 2010-11","Ginger 2009-10","Ginger 2010-11","Coconut 2009-10","Coconut 2010-11","Turmeric 2009-10","Turmeric 2010-11"
" 2009-10 P",21.3,22.4,8.6,9.5,7.3,10.8,20.2,25.4,14.9,17.1,4.6,8.2,28.4,29.9,21.7,23.6,20.8,22.6,9.2,9.0,7.1,6.6,4.5,5.6,6.3,6.9,18.0,19.3,9.9,14.1,3.0,4.3,11.8,11.9,4.5,4.1,13.7,15.3,9.6,11.9,4.0,5.0,24.9,23.3,11.2,11.2,17.1,"NA",8.2,8.4,17.8,18.1,34.4,35.9,700.2,700.9,15.6,"16.9P",19.9,22.7,2.6,2.8,15.7,15.4,35.8,47.1,57.1,57.2,43.8,50.9
" Andhra Pradesh",30.62,30.35,11.35,12.13,11.78,15.07,35.27,53.17,11.78,11.9,5.2,9.7,10.0,13.0,"NA","NA",29.29,32.0,13.08,12.3,4.38,4.2,8.11,8.11,7.4,6.8,22.94,25.3,7.73,9.0,2.22,2.1,5.0,5.2,"NA","NA",4.32,6.4,7.24,8.6,3.74,4.8,"NA","NA",15.02,16.1,"NA","NA","NA","NA","NA","NA",35.0,35.0,741.01,779.4,"NA",17.9,"NA",20.0,"NA",2.0,32.87,30.0,44.15,71.9,"NA","NA",63.64,62.0
" Arunachal Pradesh",17.76,19.25,"NA","NA","NA","NA",13.63,14.35,"NA","NA",8.6,9.3,15.05,16.0,"NA","NA",15.77,16.9,"NA","NA",8.33,8.33,21.98,21.98,10.9,10.6,15.55,16.6,"NA",7.3,6.36,7.3,9.19,8.9,"NA","NA","NA","NA",9.28,9.2,"NA","NA","NA","NA","NA","NA",16.2,"NA","NA","NA","NA","NA","NA",2.5,180.67,193.3,"NA","NA","NA",7.9,"NA","NA",14.21,21.2,73.88,77.9,"NA",64.1,40.0,47.7
" Assam",17.37,18.43,"NA","NA","NA","NA",7.23,7.23,"NA","NA",4.7,5.1,10.87,11.8,"NA","NA",17.12,18.2,5.0,5.0,7.1,7.2,5.53,5.53,5.6,5.6,16.62,17.6,"NA","NA",5.63,5.63,5.25,5.8,5.17,5.17,4.17,4.17,5.26,5.8,0.8,"NA",19.72,18.1,7.27,9.1,15.5,"NA","NA","NA","NA","NA",15.1,15.2,390.77,362.0,"NA",5.3,6.8,8.5,"NA",19.8,6.4,7.4,"NA",71.9,"NA",53.7,7.26,8.3
" Bihar",11.2,10.95,10.59,10.65,11.0,11.0,23.41,22.3,8.08,8.0,7.5,7.6,20.84,19.5,11.22,12.6,15.95,15.4,10.14,11.9,15.13,14.0,16.29,16.29,8.36,8.8,15.3,14.8,17.5,10.0,7.79,7.79,10.08,10.3,8.46,8.9,10.0,9.5,10.42,10.5,"NA","NA",16.38,16.38,17.07,15.2,4.4,"NA","NA","NA","NA","NA",45.6,47.6,434.22,514.7,"NA",19.0,17.2,18.4,"NA","NA",10.34,10.3,24.11,15.0,"NA","NA",10.0,10.0
"Chhattisgarh",11.2,23.58,12.55,14.41,"NA","NA",13.99,18.07,2.65,2.8,1.83,2.1,10.86,11.4,7.74,5.3,10.89,15.9,8.8,9.6,5.1,4.4,8.53,8.53,6.04,6.2,10.08,14.2,13.53,14.6,4.41,3.3,4.19,4.1,3.0,2.6,"NA",2.9,6.07,6.9,2.55,"NA","NA","NA",3.21,3.6,"NA","NA","NA","NA","NA","NA","NA",23.8,23.55,26.3,"NA","NA","NA",14.5,"NA","NA",3.4,5.0,"NA",13.2,"NA",90.0,8.57,8.5
" Goa",21.36,24.67,"NA","NA","NA","NA",60.0,"NA",10.0,5.0,"NA",30.8,"NA","NA","NA","NA",21.39,28.7,"NA","NA","NA","NA",18.43,18.43,10.76,10.6,19.87,27.8,27.78,28.6,"NA","NA","NA","NA","NA","NA","NA","NA",27.93,28.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.7,581.11,545.6,"NA","NA","NA","NA",2.68,2.6,"NA","NA","NA","NA","NA",34.4,"NA","NA"
" Gujarat",19.03,18.52,10.49,11.12,12.32,12.5,10.72,16.37,7.86,7.0,9.83,11.2,26.79,31.6,"NA","NA",17.71,21.0,9.47,11.4,9.06,9.9,11.47,11.47,7.05,8.1,15.6,18.4,9.64,18.6,3.56,4.4,15.79,15.7,"NA","NA",19.74,20.1,11.09,16.9,5.51,6.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",61.0,61.5,805.19,724.2,"NA",19.0,27.6,28.8,"NA","NA",8.91,12.4,21.05,158.8,"NA",67.6,141.0,147.0
" Haryana",30.08,27.89,5.0,5.0,15.93,17.93,22.5,19.0,"NA","NA","NA","NA",42.13,46.2,32.62,34.9,34.61,36.3,7.38,9.8,10.45,10.8,13.33,13.33,7.58,9.0,33.83,35.3,10.0,10.0,3.33,4.0,16.55,18.7,"NA","NA",12.5,12.0,16.45,18.6,6.46,6.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",720.95,710.8,"NA","NA",21.5,22.3,"NA","NA",8.57,95.3,110.0,125.6,"NA","NA",230.0,91.7
" Himachal Pradesh",13.81,16.73,"NA","NA",8.26,5.0,18.39,22.63,8.15,9.1,3.53,6.0,9.28,15.3,7.64,12.4,13.22,18.1,5.71,10.0,"NA","NA",17.59,17.59,6.81,12.1,12.97,17.9,6.7,7.4,1.04,3.4,2.87,5.3,2.25,2.7,"NA","NA",2.71,5.1,0.38,"NA","NA","NA","NA","NA",2.6,"NA","NA","NA","NA","NA","NA",3.4,207.27,225.3,"NA","NA","NA",13.5,"NA","NA",2.58,14.5,87.94,76.9,"NA","NA",5.26,5.3
