-----
{
 "description": "This table consists of product wise, group wise and year wise production of major petrochemicals products during 2006-07 to 2012-13 (upto September 2012) in India. Production figures have been aggregated based on Monthly Production returns received directly by the Department of Chemicals and...", 
 "file_name": "Production_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2012-13_upto_Sep12.xls", 
 "title": "Production of Major Petrochemicals - Product-wise / Group-wise from 2006-07 to 2012-13 (upto September 2012) ", 
 "url": "http://data.gov.in/sites/default/files/Production_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2012-13_upto_Sep12.xls"
}
-----
"Major Groups","Products","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13 (April to Sep.)"
"FIBRE INTERMEDIATES","Acrylonitrile (ACN)",37.0,39.0,30.0,39.0,38.0,38.0,17.0
"FIBRE INTERMEDIATES","Caprolactum",121.0,86.0,84.0,123.0,123.0,118.0,54.0
"FIBRE INTERMEDIATES","Mono Ethylene Glycol (MEG)",872.0,923.0,783.0,738.0,746.0,997.0,527.0
"FIBRE INTERMEDIATES","Purified Terephthalic Acid (PTA)",2379.0,2059.0,2154.0,2985.0,3191.0,3308.0,1695.0
"BUILDING BLOCKS: OLEFINS","Ethylene",2683.0,2810.0,2639.0,2515.0,2665.0,3320.0,1671.0
"BUILDING BLOCKS: OLEFINS","Propylene",2089.0,2157.0,1887.0,1859.0,1930.0,2528.0,1308.0
"BUILDING BLOCKS: OLEFINS","Butadiene",223.0,244.0,214.0,205.0,242.0,250.0,124.0
"BUILDING BLOCKS: AROMATICS","Benzene",886.0,867.0,880.0,823.0,945.0,1002.0,525.0
"BUILDING BLOCKS: AROMATICS","Toluene",147.0,142.0,139.0,137.0,128.0,132.0,54.0
"BUILDING BLOCKS: AROMATICS","Mixed Xylene",58.0,74.0,78.0,55.0,44.0,51.0,21.0
"BUILDING BLOCKS: AROMATICS","Ortho-xylene",431.0,269.0,224.0,358.0,400.0,390.0,233.0
"BUILDING BLOCKS: AROMATICS","Paraxylene",1925.0,2137.0,2155.0,2223.0,2137.0,2394.0,1187.0
