-----
{
 "description": "Year wise Data of Electronics and IT Production in the country is provided in this dataset. This data is collected from Electronic and Information Technology  Annual Report 2011-12.", 
 "file_name": "Electronic_IT_Production.csv", 
 "title": "Electronics and IT Production ", 
 "url": "http://data.gov.in/sites/default/files/Electronic_IT_Production.csv"
}
-----
Item,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12 (Estimated),,,,,,,,,,,,,,,,,
Consumer Electronics    ,"11,950","12,700","13,800","15,200","16,800","18,000","20,000","22,600","25,550","29,000","32,000","34,300",,,,,,,,,,,,,,,,,
Industrial Electronics ,"4,000","4,500","5,550","6,100","8,300","8,800","10,400","11,910","12,740","15,160","17,000","18,700",,,,,,,,,,,,,,,,,
Computer Hardware       ,"3,400","3,550","4,250","6,800","8,800","10,800","12,800","15,870","13,490","14,970","14,970","16,500",,,,,,,,,,,,,,,,,
Communication &    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcast Equipments,"4,500","4,500","4,800","5,350","4,800","7,000","9,500","18,700","26,600","31,000","35,400","40,500",,,,,,,,,,,,,,,,,
Strategic Electronics   ,"1,750","1,800","2,500","2,750","3,000","3,200","4,500","5,700","6,800","6,980","7,700","8,500",,,,,,,,,,,,,,,,,
Electronics Components    ,500,"5,700","6,600","7,600","8,800","8,800","8,800","9,630","12,040","13,610","21,800","24,800",,,,,,,,,,,,,,,,,
Software for Exports   ,"28,350","36,500","46,100","58,240","80,180","1,04,100","1,41,000","1,64,400","2,16,190","2,37,000","2,68,610","3,32,445",,,,,,,,,,,,,,,,,
Domestic Software   ,"9,400","10,874","13,400","16,250","21,740","29,600","37,000","47,010","59,000","67,800","78,700","91,765",,,,,,,,,,,,,,,,,
Total                       ,"68,850","80,124","97,000","1,18,290","1,52,420","1,90,300","2,44,000","2,95,820","3,72,450","4,15,520","4,76,180","5,67,510",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{HOME}/FCCNA1.Q100~{?}~/FS{ESC}{?}~R/FR{ESC}{ESC}C:\123R23\MMH~
