"Sl. No.","Agency","8th Plan (1992-97) - Outlay","8th Plan (1992-97) - A.E.","9th Plan (1997-2002) - Outlay","9th Plan (1997-2002) - A.E.","10th Plan (2002-07) - Outlay","10th Plan (2002-07) - A.E.","11th Plan (2007-12) - Outlay"
1.0,"DAE",600.0,663.91,1500.0,1525.6,3501.35,3199.45,11000.0
2.0,"DOD/ MoES",130.0,199.4,510.62,452.11,1125.0,1048.69,7004.0
3.0,"DST",640.0,936.71,1497.35,1502.32,3400.0,3998.12,11028.0
4.0,"DBT",265.0,395.84,675.0,621.72,1450.0,1649.66,6389.0
5.0,"DSIR/CSIR",655.0,774.93,1327.48,1356.02,2575.0,2785.77,9000.0
6.0,"DOS",1804.0,3154.85,6511.72,6615.35,13250.0,10870.51,30883.0
"Total","Total",4094.0,6125.64,12022.17,12073.12,25301.35,23552.2,75304.0
