-----
{
 "description": "This table shows ministry/ department wise , group wise number of sanctioned posts and position of estimated number  of central government employees during 2009-10 to 2010-11.", 
 "file_name": "GROUP-WISE_ESTIMATED_NUMBER_OF_CENTRAL_GOVERNMENT_CIVILIAN_REGULAR_EMPLOYEES.xls", 
 "title": "Group-Wise Estimated Number Of Central Government Civilian Regular Employees. ", 
 "url": "http://data.gov.in/sites/default/files/GROUP-WISE_ESTIMATED_NUMBER_OF_CENTRAL_GOVERNMENT_CIVILIAN_REGULAR_EMPLOYEES.xls"
}
-----
"Year/
Ministry/
Department","Number of Sanctioned Posts A(G)* 2009-10","Number of Sanctioned Posts A(G)* 2010-11","Number of Sanctioned Posts B(G) 2009-10","Number of Sanctioned Posts B(G) 2010-11","Number of Sanctioned Posts B(NG) 2009-10","Number of Sanctioned Posts B(NG) 2010-11","Number of Sanctioned Posts C(NG)$ 2009-10","Number of Sanctioned Posts C(NG)$ 2010-11","Number of Sanctioned Posts D 2009-10","Number of Sanctioned Posts D 2010-11","Number of Sanctioned Posts Unclassified 2009-10","Number of Sanctioned Posts Unclassified 2010-11","Number of Sanctioned Posts Total 2009-10","Number of Sanctioned Posts Total 2010-11","Number in Position A(G)* 2009-10","Number in Position A(G)* 2010-11","Number in Position B(G) 2009-10","Number in Position B(G) 2010-11","Number in Position B(NG) 2009-10","Number in Position B(NG) 2010-11","Number in Position C(NG)$ 2009-10","Number in Position C(NG)$ 2010-11","Number in Position D 2009-10","Number in Position D 2010-11","Number in Position Unclassified 2009-10","Number in Position Unclassified 2010-11","Number in Position Total 2009-10","Number in Position Total 2010-11"
"Railways",8748.0,8748.0,7652.0,7652.0,"NA","NA",1560388.0,1560388.0,"NA","NA","NA","NA",1576788.0,1576788.0,8988.0,8961.0,7863.0,7839.0,"NA","NA",1344668.0,1311400.0,"NA","NA","NA","NA",1361519.0,1328200.0
"Home Affairs",17281.0,18818.0,6638.0,2917.0,21558.0,43862.0,814585.0,843145.0,"NA","NA","NA","NA",860062.0,908742.0,12802.0,13812.0,4234.0,2280.0,18278.0,35085.0,720035.0,749915.0,"NA","NA","NA","NA",755349.0,801092.0
"Defence (Civilian)",13628.0,14024.0,12084.0,12436.0,14366.0,4783.0,438570.0,451306.0,"NA","NA","NA","NA",478648.0,492548.0,13046.0,13425.0,11723.0,12063.0,11057.0,11378.0,328892.0,338443.0,"NA","NA","NA","NA",364718.0,375309.0
"# Posts**",623.0,588.0,1858.0,1114.0,5533.0,5919.0,198320.0,201426.0,"NA","NA","NA","NA",206334.0,209047.0,623.0,588.0,1858.0,1114.0,5533.0,5919.0,198320.0,201426.0,"NA","NA","NA","NA",206334.0,209047.0
"Finance ",8479.0,8669.0,25789.0,23752.0,28819.0,31217.0,75588.0,76501.0,"NA","NA","NA","NA",138677.0,140139.0,6376.0,6344.0,23346.0,20939.0,22451.0,24629.0,54836.0,52248.0,"NA","NA","NA","NA",107009.0,104160.0
"Indian Audit & Accounts",695.0,695.0,18093.0,18527.0,"NA","NA",48970.0,49528.0,"NA","NA","NA","NA",67758.0,68750.0,501.0,557.0,15230.0,15301.0,"NA","NA",28928.0,28406.0,"NA","NA","NA","NA",44659.0,44264.0
"Atomic Energy",9478.0,9791.0,1021.0,849.0,11249.0,11319.0,15009.0,14900.0,"NA","NA","NA","NA",36757.0,36859.0,8649.0,9228.0,885.0,786.0,10501.0,10142.0,12136.0,11887.0,"NA","NA","NA","NA",32171.0,32043.0
"Health & Family Welfare**",2787.0,2616.0,766.0,720.0,1268.0,1147.0,20334.0,19286.0,"NA","NA","NA","NA",25141.0,23769.0,2765.0,2616.0,754.0,720.0,1250.0,1147.0,20274.0,19286.0,"NA","NA","NA","NA",25041.0,23769.0
"Urban Development@",2696.0,2312.0,575.0,971.0,2479.0,5485.0,18685.0,15566.0,"NA","NA","NA","NA",24435.0,24334.0,2409.0,2104.0,537.0,833.0,2141.0,4837.0,13868.0,11128.0,"NA","NA","NA","NA",18955.0,18902.0
"Space",7780.0,7849.0,515.0,520.0,2879.0,2904.0,5272.0,5318.0,"NA","NA","NA","NA",16446.0,16591.0,7878.0,7728.0,465.0,456.0,2594.0,2545.0,3758.0,3686.0,"NA","NA","NA","NA",14695.0,14415.0
