-----
{
 "description": "This table provides All India (2001 onwards) and State-wise (2008-09) statistics of employment in respect of Shops, Commercial Establishments and restaurants and theaters.", 
 "file_name": "EMPLOYMENT_IN_SHOPS_AND_COMMERCIAL_ESTABLISHMENTS.xls", 
 "title": "Employment In Shops And Commercial Establishments ", 
 "url": "http://data.gov.in/sites/default/files/EMPLOYMENT_IN_SHOPS_AND_COMMERCIAL_ESTABLISHMENTS.xls"
}
-----
" State/ Union Territory","Shops No. 2008  ('000 number)","Shops No. 2009(P) ('000 number)","Shops Workers 2008  ('000 number)","Shops Workers 2009(P) ('000 number)","Commercial establishment No. 2008  ('000 number)","Commercial establishment No. 2009(P) ('000 number)","Commercial establishment Workers 2008  ('000 number)","Commercial establishment Workers 2009(P) ('000 number)","Restaurants, theaters etc. No. 2008  ('000 number)","Restaurants, theaters etc. No. 2009(P) ('000 number)","Restaurants, theaters etc. Workers 2008  ('000 number)","Restaurants, theaters etc. Workers 2009(P) ('000 number)","All establishments No. 2008  ('000 number)","All establishments No. 2009(P) ('000 number)","All establishments Workers 2008  ('000 number)","All establishments Workers 2009(P) ('000 number)"
" Andhra Pradesh",378.0,312.0,397.0,352.0,35.0,31.0,373.0,262.0,19.0,17.0,95.0,96.0,432.0,360.0,865.0,710.0
" Assam",61.0,57.0,55.0,53.0,10.0,10.0,29.0,30.0,5.0,4.0,14.0,13.0,76.0,71.0,98.0,96.0
" Bihar",169.0,173.0,193.0,195.0,72.0,72.0,646.0,647.0,8.0,8.0,94.0,95.0,248.0,253.0,933.0,937.0
" Chhattisgarh $","NA",87.0,"NA",103.0,"NA",9.0,"NA",19.0,"NA",4.0,"NA",6.0,"NA",100.0,"NA",128.0
" Goa $","NA",1.0,"NA",1.0,"NA",1.0,"NA",4.0,"NA","NA","NA",2.0,"NA",2.0,"NA",7.0
" Gujarat $",801.0,"NA",681.0,"NA",254.0,"NA",470.0,"NA",24.0,"NA",96.0,"NA",1079.0,"NA",1247.0,"NA"
" Haryana $","NA",203.0,"NA",162.0,"NA",11.0,"NA",158.0,"NA",5.0,"NA",14.0,"NA",220.0,"NA",334.0
" Himachal Pradesh",47.0,47.0,13.0,14.0,6.0,6.0,11.0,12.0,8.0,8.0,11.0,12.0,60.0,61.0,35.0,38.0
" Jammu & Kashmir",168.0,176.0,22.0,25.0,11.0,12.0,29.0,32.0,13.0,13.0,15.0,16.0,192.0,201.0,66.0,73.0
" Jharkhand $","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Karnataka $",194.0,"NA",263.0,"NA",102.0,"NA",777.0,"NA",15.0,"NA",102.0,"NA",311.0,"NA",1142.0,"NA"
" Kerala",225.0,235.0,255.0,265.0,36.0,37.0,105.0,118.0,18.0,20.0,59.0,67.0,279.0,292.0,419.0,450.0
" Madhya Pradesh $","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Maharashtra $",330.0,"NA",764.0,"NA",360.0,"NA",1994.0,"NA",67.0,"NA",312.0,"NA",757.0,"NA",3070.0,0.0
" Manipur $","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Meghalaya @",6.0,7.0,21.0,24.0,"NA","NA",2.0,2.0,"NA",1.0,4.0,4.0,6.0,8.0,27.0,30.0
" Orissa $","NA",14.0,"NA",41.0,"NA",13.0,"NA",51.0,"NA",5.0,"NA",18.0,"NA",32.0,"NA",110.0
" Punjab",214.0,213.0,99.0,98.0,34.0,27.0,91.0,81.0,6.0,8.0,15.0,16.0,254.0,248.0,205.0,195.0
" Rajasthan",522.0,515.0,188.0,204.0,39.0,39.0,134.0,135.0,31.0,20.0,67.0,71.0,592.0,574.0,389.0,410.0
" Tamil Nadu",167.0,287.0,236.0,242.0,13.0,15.0,88.0,83.0,1.0,17.0,7.0,50.0,181.0,319.0,331.0,375.0
" Tripura $","NA",41.0,"NA",21.0,"NA",1.0,"NA",3.0,"NA",1.0,"NA",3.0,"NA",43.0,"NA",27.0
" Uttar Pradesh $","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Uttarakhand $","NA",54.0,"NA",11.0,"NA",3.0,"NA",9.0,"NA",4.0,"NA",20.0,"NA",61.0,"NA",40.0
" West Bengal",561.0,"NA",427.0,"NA",87.0,"NA",217.0,"NA",42.0,"NA",103.0,"NA",690.0,"NA",747.0,"NA"
" A. & N. Islands $ @",1.0,"NA",3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.0,0.0
" Chandigarh $","NA",15.0,"NA",18.0,"NA",5.0,"NA",26.0,"NA",2.0,"NA",7.0,"NA",22.0,"NA",51.0
" Delhi $","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu #","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Puducherry",16.0,16.0,34.0,35.0,2.0,2.0,8.0,9.0,2.0,2.0,7.0,7.0,20.0,20.0,49.0,51.0
