"Head","1999-2000","2000-2001","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","Total/(Average per year)"
"Help Groups formed",292426.0,223265.0,434387.0,398873.0,392136.0,266230.0,276414.0,246309.0,306688.0,563530.0,389259.0,311314.0,4100831.0
"Women SHGs formed ",176263.0,153285.0,296175.0,221085.0,233136.0,191666.0,213213.0,176712.0,231670.0,404972.0,292788.0,207280.0,2798245.0
"%age of Women SHGs ",60.27610404,68.6560813383,68.1822890648,55.4274167467,59.4528428912,71.9926379446,77.1353838807,71.7440288418,75.5393103088,71.8634322929,75.22,66.58,68.24
"No. of SHGs passed Grade-I ",125402.0,214011.0,176002.0,189634.0,204987.0,219604.0,210639.0,222029.0,251163.0,322322.0,439275.0,280575.0,2855643.0
"No. of SHGs passed Grade-II ",74234.0,101291.0,54040.0,94754.0,90673.0,105839.0,91920.0,156353.0,116878.0,138641.0,161496.0,171657.0,1357776.0
"SHGs taken up Eco. Activities ",29017.0,26317.0,30576.0,35525.0,50717.0,68102.0,80130.0,137931.0,181386.0,114452.0,136411.0,312288.0,1202852.0
"SHGs Swarozgaris Assisted ",347912.0,318803.0,364676.0,414419.0,577532.0,788573.0,873485.0,1472066.0,1154269.0,1470032.0,1736214.0,1743536.0,11261517.0
"Individual Swarozgaris Assisted",585956.0,687349.0,572792.0,411848.0,319363.0,327355.0,277631.0,219860.0,253503.0,291392.0,278136.0,296113.0,4521298.0
"Swarozgaris assisted under Special Project ","NA","NA","NA","NA","NA","NA","NA","NA",291523.0,100451.0,70827.0,70147.0,532948.0
"Total Swarozgaris Assisted",933868.0,1006152.0,937468.0,826267.0,896895.0,1115928.0,1151116.0,1691926.0,1699295.0,1861875.0,2085177.0,2109796.0,16315763.0
"%age of SHGs Swarogaris Assisted",37.2549439535,31.685371594,38.9001011235,"NA","NA","NA",133.47,155.07,125.62,105.63,114.41,96.9,"NA"
"SC Swarogaris Assisted ",278938.0,310886.0,284040.0,249556.0,274893.0,352864.0,383124.0,600364.0,561052.0,601299.0,753640.0,734775.0,5385431.0
"ST Swarozgaris Assisted ",134944.0,137850.0,143619.0,130260.0,138909.0,149115.0,165407.0,241291.0,251783.0,274530.0,322142.0,362051.0,2451901.0
"Total SC/ST Swarogaris Assisted ",413882.0,448736.0,427659.0,379816.0,413802.0,501979.0,548531.0,841655.0,812835.0,875829.0,1075782.0,1096826.0,7837332.0
"Minorities Swarozgaris Assisted ","NA","NA","NA","NA","NA","NA","NA",60494.0,142399.0,275121.0,241866.0,244225.0,964105.0
"Women Swarozgaris Assisted ",416690.0,409842.0,385891.0,382613.0,470740.0,606141.0,662764.0,1247132.0,1083905.0,1206513.0,1502285.0,1424059.0,9798575.0
"Disabled Swarozgaris Assisted ",8529.0,6737.0,6059.0,6118.0,8504.0,12680.0,14793.0,31864.0,36113.0,42315.0,45869.0,40838.0,260419.0
"%age of SC/STs Assisted",44.3191114804,44.5992255643,45.6185171121,45.9677077748,46.1371732477,44.9830992681,47.6521045664,49.745378935,47.8336604298,47.0401611279,51.59,51.99,47.2896782922
"%age of Minorities assisted ","NA","NA","NA","NA","NA","NA","NA",3.57545188147,8.37988695312,14.7765558912,11.6,11.58,6.0
"%age of Women Assisted",44.6197963738,40.7336068507,41.1631117009,46.3062182079,52.4855194867,54.3172140138,57.5757786357,73.7107887697,63.7855698981,64.8009667674,72.05,67.5,60.06
"%age of Disabled Assisted ",0.913298239152,0.669580739292,0.646315394232,0.740438623351,0.94816004103,1.13627402485,1.28510071965,1.88329749646,2.1251754404,2.27270896274,2.2,1.94,1.6
